"PriorityRank","InstallKey","ComponentSerial","ComponentCode","ComponentName","Criticality","TailNumber","BaseCode","BaseName","PositionNo","InstalledDate","FlightHours","StressHours","IntervalFlightHours","IntervalStressHours","PctOfHourInterval","PctOfStressInterval","IsOverdueByHours","IsOverdueByStress","IsHiddenOverdue","StressPerFlightHour","RemainingStressHours","ProjectedFlightHoursToStressLimit","LeadTimeFlightHours","ActionCode","JobHours","CumulativeJobHours","IsThisWeek","RecommendedAction"
"11","1048","MOTOR-ESC-00288","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-021","ACADEMY","Training Academy","3","6/27/2025 12:00:00 AM","179.7000","336.7168","200.0","200.0","89.85","168.36","0","1","1","1.9149","-136.7168","-71.40","12.0","GROUND_AND_REPLACE","4.5","49.50","1","Ground MU-021. Motor and speed controller at position 3 is at 168.36% of its stress interval while reading 89.85% on the hour meter."
"12","1001","MOTOR-ESC-00274","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-020","HIGHLND","Highland Operations","2","2/2/2026 12:00:00 AM","158.3329","336.7002","200.0","200.0","79.17","168.35","0","1","1","2.2582","-136.7002","-60.54","12.0","GROUND_AND_REPLACE","4.5","54.00","1","Ground MU-020. Motor and speed controller at position 2 is at 168.35% of its stress interval while reading 79.17% on the hour meter."
"13","1476","MOTOR-ESC-00403","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-030","PORT","Port Logistics Hub","1","2/5/2026 12:00:00 AM","163.8167","335.5017","200.0","200.0","81.91","167.75","0","1","1","1.9627","-135.5017","-69.04","12.0","GROUND_AND_REPLACE","4.5","58.50","1","Ground MU-030. Motor and speed controller at position 1 is at 167.75% of its stress interval while reading 81.91% on the hour meter."
"14","262","ROTOR-ASSY-00099","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-005","PORT","Port Logistics Hub","4","2/27/2026 12:00:00 AM","140.7332","284.2317","150.0","150.0","93.82","189.49","0","1","1","1.9127","-134.2317","-70.18","18.0","GROUND_AND_REPLACE","4.5","63.00","1","Ground MU-005. Rotor assembly and bearing at position 4 is at 189.49% of its stress interval while reading 93.82% on the hour meter."
"15","903","ROTOR-ASSY-00325","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-018","HIGHLND","Highland Operations","3","2/13/2026 12:00:00 AM","131.1003","281.8172","150.0","150.0","87.40","187.88","0","1","1","2.1969","-131.8172","-60.00","18.0","GROUND_AND_REPLACE","4.5","67.50","1","Ground MU-018. Rotor assembly and bearing at position 3 is at 187.88% of its stress interval while reading 87.40% on the hour meter."
"16","687","ROTOR-ASSY-00246","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-014","PORT","Port Logistics Hub","3","3/4/2026 12:00:00 AM","139.4500","276.6985","150.0","150.0","92.97","184.47","0","1","1","1.8671","-126.6985","-67.86","18.0","GROUND_AND_REPLACE","4.5","72.00","1","Ground MU-014. Rotor assembly and bearing at position 3 is at 184.47% of its stress interval while reading 92.97% on the hour meter."
"17","209","BATT-PACK-00049","BATT-PACK","Main battery pack","FlightCritical","MU-005","PORT","Port Logistics Hub","1","3/28/2026 12:00:00 AM","121.5000","246.2652","120.0","120.0","101.25","205.22","1","1","0","1.9127","-126.2652","-66.01","8.0","GROUND_AND_REPLACE","4.5","76.50","1","Ground MU-005. Main battery pack at position 1 is at 205.22% of its stress interval while reading 101.25% on the hour meter."
"18","671","MOTOR-ESC-00188","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-014","PORT","Port Logistics Hub","3","1/10/2026 12:00:00 AM","164.9166","325.9035","200.0","200.0","82.46","162.95","0","1","1","1.8671","-125.9035","-67.43","12.0","GROUND_AND_REPLACE","4.5","81.00","1","Ground MU-014. Motor and speed controller at position 3 is at 162.95% of its stress interval while reading 82.46% on the hour meter."
"19","981","BATT-PACK-00213","BATT-PACK","Main battery pack","FlightCritical","MU-020","HIGHLND","Highland Operations","1","4/9/2026 12:00:00 AM","111.8997","244.5730","120.0","120.0","93.25","203.81","0","1","1","2.2582","-124.5730","-55.16","8.0","GROUND_AND_REPLACE","4.5","85.50","1","Ground MU-020. Main battery pack at position 1 is at 203.81% of its stress interval while reading 93.25% on the hour meter."
"20","1018","ROTOR-ASSY-00363","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-020","HIGHLND","Highland Operations","2","3/21/2026 12:00:00 AM","126.0496","267.9824","150.0","150.0","84.03","178.65","0","1","1","2.2582","-117.9824","-52.25","18.0","GROUND_AND_REPLACE","4.5","90.00","1","Ground MU-020. Rotor assembly and bearing at position 2 is at 178.65% of its stress interval while reading 84.03% on the hour meter."
"21","339","ROTOR-ASSY-00123","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-007","ACADEMY","Training Academy","2","10/2/2025 12:00:00 AM","143.2165","266.1467","150.0","150.0","95.48","177.43","0","1","1","1.7137","-116.1467","-67.78","18.0","GROUND_AND_REPLACE","4.5","94.50","1","Ground MU-007. Rotor assembly and bearing at position 2 is at 177.43% of its stress interval while reading 95.48% on the hour meter."
"22","215","BATT-PACK-00055","BATT-PACK","Main battery pack","FlightCritical","MU-005","PORT","Port Logistics Hub","2","3/31/2026 12:00:00 AM","116.6166","235.2122","120.0","120.0","97.18","196.01","0","1","1","1.9127","-115.2122","-60.24","8.0","GROUND_AND_REPLACE","4.5","99.00","1","Ground MU-005. Main battery pack at position 2 is at 196.01% of its stress interval while reading 97.18% on the hour meter."
"23","352","BATT-PACK-00077","BATT-PACK","Main battery pack","FlightCritical","MU-008","HIGHLND","Highland Operations","1","4/7/2026 12:00:00 AM","104.8330","233.0981","120.0","120.0","87.36","194.25","0","1","1","2.3105","-113.0981","-48.95","8.0","GROUND_AND_REPLACE","4.5","103.50","1","Ground MU-008. Main battery pack at position 1 is at 194.25% of its stress interval while reading 87.36% on the hour meter."
"24","775","MOTOR-ESC-00210","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-016","PORT","Port Logistics Hub","1","2/14/2026 12:00:00 AM","158.4834","312.4206","200.0","200.0","79.24","156.21","0","1","1","1.9188","-112.4206","-58.59","12.0","GROUND_AND_REPLACE","4.5","108.00","1","Ground MU-016. Motor and speed controller at position 1 is at 156.21% of its stress interval while reading 79.24% on the hour meter."
"25","536","MOTOR-ESC-00151","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-011","HIGHLND","Highland Operations","3","2/16/2026 12:00:00 AM","142.2998","306.1695","200.0","200.0","71.15","153.08","0","1","1","2.1761","-106.1695","-48.79","12.0","GROUND_AND_REPLACE","4.5","112.50","1","Ground MU-011. Motor and speed controller at position 3 is at 153.08% of its stress interval while reading 71.15% on the hour meter."
"26","233","MOTOR-ESC-00064","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-005","PORT","Port Logistics Hub","3","2/17/2026 12:00:00 AM","150.5832","304.9320","200.0","200.0","75.29","152.47","0","1","1","1.9127","-104.9320","-54.86","12.0","GROUND_AND_REPLACE","4.5","117.00","1","Ground MU-005. Motor and speed controller at position 3 is at 152.47% of its stress interval while reading 75.29% on the hour meter."
"27","1227","BATT-PACK-00266","BATT-PACK","Main battery pack","FlightCritical","MU-025","HIGHLND","Highland Operations","1","4/11/2026 12:00:00 AM","102.7169","223.4371","120.0","120.0","85.60","186.20","0","1","1","2.1718","-103.4371","-47.63","8.0","GROUND_AND_REPLACE","4.5","121.50","0","Ground MU-025. Main battery pack at position 1 is at 186.20% of its stress interval while reading 85.60% on the hour meter."
"28","986","BATT-PACK-00218","BATT-PACK","Main battery pack","FlightCritical","MU-020","HIGHLND","Highland Operations","2","5/1/2026 12:00:00 AM","100.4331","217.0288","120.0","120.0","83.69","180.86","0","1","1","2.2582","-97.0288","-42.97","8.0","GROUND_AND_REPLACE","4.5","126.00","0","Ground MU-020. Main battery pack at position 2 is at 180.86% of its stress interval while reading 83.69% on the hour meter."
"29","799","ROTOR-ASSY-00285","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-016","PORT","Port Logistics Hub","2","3/31/2026 12:00:00 AM","123.6502","243.9636","150.0","150.0","82.43","162.64","0","1","1","1.9188","-93.9636","-48.97","18.0","GROUND_AND_REPLACE","4.5","130.50","0","Ground MU-016. Rotor assembly and bearing at position 2 is at 162.64% of its stress interval while reading 82.43% on the hour meter."
"30","358","BATT-PACK-00083","BATT-PACK","Main battery pack","FlightCritical","MU-008","HIGHLND","Highland Operations","2","5/2/2026 12:00:00 AM","96.6497","213.1795","120.0","120.0","80.54","177.65","0","1","1","2.3105","-93.1795","-40.33","8.0","GROUND_AND_REPLACE","4.5","135.00","0","Ground MU-008. Main battery pack at position 2 is at 177.65% of its stress interval while reading 80.54% on the hour meter."
"31","674","MOTOR-ESC-00191","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-014","PORT","Port Logistics Hub","4","2/18/2026 12:00:00 AM","146.8166","291.7109","200.0","200.0","73.41","145.86","0","1","1","1.8671","-91.7109","-49.12","12.0","GROUND_AND_REPLACE","4.5","139.50","0","Ground MU-014. Motor and speed controller at position 4 is at 145.86% of its stress interval while reading 73.41% on the hour meter."
"32","783","MOTOR-ESC-00218","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-016","PORT","Port Logistics Hub","3","3/9/2026 12:00:00 AM","145.7668","285.8197","200.0","200.0","72.88","142.91","0","1","1","1.9188","-85.8197","-44.73","12.0","GROUND_AND_REPLACE","4.5","144.00","0","Ground MU-016. Motor and speed controller at position 3 is at 142.91% of its stress interval while reading 72.88% on the hour meter."
"33","1302","MOTOR-ESC-00357","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-026","ACADEMY","Training Academy","2","9/29/2025 12:00:00 AM","149.6839","283.0056","200.0","200.0","74.84","141.50","0","1","1","1.9301","-83.0056","-43.01","12.0","GROUND_AND_REPLACE","4.5","148.50","0","Ground MU-026. Motor and speed controller at position 2 is at 141.50% of its stress interval while reading 74.84% on the hour meter."
"34","30","MOTOR-ESC-00010","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-001","PORT","Port Logistics Hub","3","3/13/2026 12:00:00 AM","135.4004","279.4877","200.0","200.0","67.70","139.74","0","1","1","2.0638","-79.4877","-38.52","12.0","GROUND_AND_REPLACE","4.5","153.00","0","Ground MU-001. Motor and speed controller at position 3 is at 139.74% of its stress interval while reading 67.70% on the hour meter."
"35","403","ROTOR-ASSY-00150","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-008","HIGHLND","Highland Operations","4","4/22/2026 12:00:00 AM","102.3497","227.5985","150.0","150.0","68.23","151.73","0","1","1","2.3105","-77.5985","-33.59","18.0","GROUND_AND_REPLACE","4.5","157.50","0","Ground MU-008. Rotor assembly and bearing at position 4 is at 151.73% of its stress interval while reading 68.23% on the hour meter."
"36","558","ROTOR-ASSY-00204","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-011","HIGHLND","Highland Operations","4","4/3/2026 12:00:00 AM","105.4332","225.0208","150.0","150.0","70.29","150.01","0","1","1","2.1761","-75.0208","-34.47","18.0","GROUND_AND_REPLACE","4.5","162.00","0","Ground MU-011. Rotor assembly and bearing at position 4 is at 150.01% of its stress interval while reading 70.29% on the hour meter."
"37","1293","BATT-PACK-00280","BATT-PACK","Main battery pack","FlightCritical","MU-026","ACADEMY","Training Academy","2","1/21/2026 12:00:00 AM","101.7670","189.7509","120.0","120.0","84.81","158.13","0","1","1","1.9301","-69.7509","-36.14","8.0","GROUND_AND_REPLACE","4.5","166.50","0","Ground MU-026. Main battery pack at position 2 is at 158.13% of its stress interval while reading 84.81% on the hour meter."
"38","325","MOTOR-ESC-00085","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-007","ACADEMY","Training Academy","1","9/27/2025 12:00:00 AM","146.0165","269.6915","200.0","200.0","73.01","134.85","0","1","1","1.7137","-69.6915","-40.67","12.0","GROUND_AND_REPLACE","4.5","171.00","0","Ground MU-007. Motor and speed controller at position 1 is at 134.85% of its stress interval while reading 73.01% on the hour meter."
"39","861","BATT-PACK-00194","BATT-PACK","Main battery pack","FlightCritical","MU-018","HIGHLND","Highland Operations","2","4/18/2026 12:00:00 AM","85.1502","186.8278","120.0","120.0","70.96","155.69","0","1","1","2.1969","-66.8278","-30.42","8.0","GROUND_AND_REPLACE","4.5","175.50","0","Ground MU-018. Main battery pack at position 2 is at 155.69% of its stress interval while reading 70.96% on the hour meter."
"40","540","MOTOR-ESC-00155","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-011","HIGHLND","Highland Operations","4","3/11/2026 12:00:00 AM","123.5665","266.7160","200.0","200.0","61.78","133.36","0","1","1","2.1761","-66.7160","-30.66","12.0","GROUND_AND_REPLACE","4.5","180.00","0","Ground MU-011. Motor and speed controller at position 4 is at 133.36% of its stress interval while reading 61.78% on the hour meter."
"41","787","MOTOR-ESC-00222","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-016","PORT","Port Logistics Hub","4","3/20/2026 12:00:00 AM","135.1001","265.7542","200.0","200.0","67.55","132.88","0","1","1","1.9188","-65.7542","-34.27","12.0","GROUND_AND_REPLACE","4.5","184.50","0","Ground MU-016. Motor and speed controller at position 4 is at 132.88% of its stress interval while reading 67.55% on the hour meter."
"42","544","ROTOR-ASSY-00190","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-011","HIGHLND","Highland Operations","1","4/27/2026 12:00:00 AM","98.7499","212.9961","150.0","150.0","65.83","142.00","0","1","1","2.1761","-62.9961","-28.95","18.0","GROUND_AND_REPLACE","4.5","189.00","0","Ground MU-011. Rotor assembly and bearing at position 1 is at 142.00% of its stress interval while reading 65.83% on the hour meter."
"43","1370","ROTOR-ASSY-00494","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-027","HIGHLND","Highland Operations","3","4/30/2026 12:00:00 AM","104.6832","210.9122","150.0","150.0","69.79","140.61","0","1","1","1.9080","-60.9122","-31.92","18.0","GROUND_AND_REPLACE","4.5","193.50","0","Ground MU-027. Rotor assembly and bearing at position 3 is at 140.61% of its stress interval while reading 69.79% on the hour meter."
"44","513","BATT-PACK-00110","BATT-PACK","Main battery pack","FlightCritical","MU-011","HIGHLND","Highland Operations","1","5/25/2026 12:00:00 AM","81.1666","178.9957","120.0","120.0","67.64","149.16","0","1","1","2.1761","-58.9957","-27.11","8.0","GROUND_AND_REPLACE","4.5","198.00","0","Ground MU-011. Main battery pack at position 1 is at 149.16% of its stress interval while reading 67.64% on the hour meter."
"45","319","BATT-PACK-00072","BATT-PACK","Main battery pack","FlightCritical","MU-007","ACADEMY","Training Academy","2","1/19/2026 12:00:00 AM","96.4998","177.7908","120.0","120.0","80.42","148.16","0","1","1","1.7137","-57.7908","-33.72","8.0","GROUND_AND_REPLACE","4.5","202.50","0","Ground MU-007. Main battery pack at position 2 is at 148.16% of its stress interval while reading 80.42% on the hour meter."
"46","327","MOTOR-ESC-00087","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-007","ACADEMY","Training Academy","2","10/8/2025 12:00:00 AM","137.9166","255.3424","200.0","200.0","68.96","127.67","0","1","1","1.7137","-55.3424","-32.29","12.0","GROUND_AND_REPLACE","4.5","207.00","0","Ground MU-007. Motor and speed controller at position 2 is at 127.67% of its stress interval while reading 68.96% on the hour meter."
"47","329","MOTOR-ESC-00089","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-007","ACADEMY","Training Academy","3","10/8/2025 12:00:00 AM","137.9166","255.3424","200.0","200.0","68.96","127.67","0","1","1","1.7137","-55.3424","-32.29","12.0","GROUND_AND_REPLACE","4.5","211.50","0","Ground MU-007. Motor and speed controller at position 3 is at 127.67% of its stress interval while reading 68.96% on the hour meter."
"48","7","BATT-PACK-00006","BATT-PACK","Main battery pack","FlightCritical","MU-001","PORT","Port Logistics Hub","1","6/2/2026 12:00:00 AM","78.4668","161.8788","120.0","120.0","65.39","134.90","0","1","1","2.0638","-41.8788","-20.29","8.0","GROUND_AND_REPLACE","4.5","216.00","0","Ground MU-001. Main battery pack at position 1 is at 134.90% of its stress interval while reading 65.39% on the hour meter."
"49","683","ROTOR-ASSY-00242","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-014","PORT","Port Logistics Hub","2","5/18/2026 12:00:00 AM","95.3167","191.0269","150.0","150.0","63.54","127.35","0","1","1","1.8671","-41.0269","-21.97","18.0","GROUND_AND_REPLACE","4.5","220.50","0","Ground MU-014. Rotor assembly and bearing at position 2 is at 127.35% of its stress interval while reading 63.54% on the hour meter."
"50","554","ROTOR-ASSY-00200","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-011","HIGHLND","Highland Operations","3","5/13/2026 12:00:00 AM","87.1999","189.0756","150.0","150.0","58.13","126.05","0","1","1","2.1761","-39.0756","-17.96","18.0","GROUND_AND_REPLACE","4.5","225.00","0","Ground MU-011. Rotor assembly and bearing at position 3 is at 126.05% of its stress interval while reading 58.13% on the hour meter."
"51","1141","MOTOR-ESC-00315","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-023","COASTAL","Coastal Survey Base","3","10/29/2025 12:00:00 AM","195.4000","237.7907","200.0","200.0","97.70","118.90","0","1","1","1.2827","-37.7907","-29.46","12.0","GROUND_AND_REPLACE","4.5","229.50","0","Ground MU-023. Motor and speed controller at position 3 is at 118.90% of its stress interval while reading 97.70% on the hour meter."
"52","1144","MOTOR-ESC-00318","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-023","COASTAL","Coastal Survey Base","4","10/29/2025 12:00:00 AM","195.4000","237.7907","200.0","200.0","97.70","118.90","0","1","1","1.2827","-37.7907","-29.46","12.0","GROUND_AND_REPLACE","4.5","234.00","0","Ground MU-023. Motor and speed controller at position 4 is at 118.90% of its stress interval while reading 97.70% on the hour meter."
"53","1486","MOTOR-ESC-00413","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-030","PORT","Port Logistics Hub","4","4/24/2026 12:00:00 AM","115.1500","236.3293","200.0","200.0","57.58","118.16","0","1","1","1.9627","-36.3293","-18.51","12.0","GROUND_AND_REPLACE","4.5","238.50","0","Ground MU-030. Motor and speed controller at position 4 is at 118.16% of its stress interval while reading 57.58% on the hour meter."
"54","1307","MOTOR-ESC-00362","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-026","ACADEMY","Training Academy","4","11/27/2025 12:00:00 AM","126.0338","235.9918","200.0","200.0","63.02","118.00","0","1","1","1.9301","-35.9918","-18.65","12.0","GROUND_AND_REPLACE","4.5","243.00","0","Ground MU-026. Motor and speed controller at position 4 is at 118.00% of its stress interval while reading 63.02% on the hour meter."
"55","679","ROTOR-ASSY-00238","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-014","PORT","Port Logistics Hub","1","5/28/2026 12:00:00 AM","92.4167","185.4382","150.0","150.0","61.61","123.63","0","1","1","1.8671","-35.4382","-18.98","18.0","GROUND_AND_REPLACE","4.5","247.50","0","Ground MU-014. Rotor assembly and bearing at position 1 is at 123.63% of its stress interval while reading 61.61% on the hour meter."
"56","1086","MOTOR-ESC-00295","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-022","COASTAL","Coastal Survey Base","1","11/18/2025 12:00:00 AM","190.4336","234.8751","200.0","200.0","95.22","117.44","0","1","1","1.2703","-34.8751","-27.45","12.0","GROUND_AND_REPLACE","4.5","252.00","0","Ground MU-022. Motor and speed controller at position 1 is at 117.44% of its stress interval while reading 95.22% on the hour meter."
"57","876","MOTOR-ESC-00239","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-018","HIGHLND","Highland Operations","2","3/16/2026 12:00:00 AM","108.5671","233.2459","200.0","200.0","54.28","116.62","0","1","1","2.1969","-33.2459","-15.13","12.0","GROUND_AND_REPLACE","4.5","256.50","0","Ground MU-018. Motor and speed controller at position 2 is at 116.62% of its stress interval while reading 54.28% on the hour meter."
"58","62","BATT-PACK-00018","BATT-PACK","Main battery pack","FlightCritical","MU-002","HIGHLND","Highland Operations","1","6/26/2026 12:00:00 AM","67.4332","151.3844","120.0","120.0","56.19","126.15","0","1","1","2.2807","-31.3844","-13.76","8.0","GROUND_AND_REPLACE","4.5","261.00","0","Ground MU-002. Main battery pack at position 1 is at 126.15% of its stress interval while reading 56.19% on the hour meter."
"59","1342","MOTOR-ESC-00365","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-027","HIGHLND","Highland Operations","1","4/21/2026 12:00:00 AM","112.7832","229.4611","200.0","200.0","56.39","114.73","0","1","1","1.9080","-29.4611","-15.44","12.0","GROUND_AND_REPLACE","4.5","265.50","0","Ground MU-027. Motor and speed controller at position 1 is at 114.73% of its stress interval while reading 56.39% on the hour meter."
"60","891","ROTOR-ASSY-00313","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-018","HIGHLND","Highland Operations","1","4/28/2026 12:00:00 AM","80.0502","175.2986","150.0","150.0","53.37","116.87","0","1","1","2.1969","-25.2986","-11.52","18.0","GROUND_AND_REPLACE","4.5","270.00","0","Ground MU-018. Rotor assembly and bearing at position 1 is at 116.87% of its stress interval while reading 53.37% on the hour meter."
"61","1089","MOTOR-ESC-00298","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-022","COASTAL","Coastal Survey Base","2","12/4/2025 12:00:00 AM","181.9003","224.5887","200.0","200.0","90.95","112.29","0","1","1","1.2703","-24.5887","-19.36","12.0","GROUND_AND_REPLACE","4.5","274.50","0","Ground MU-022. Motor and speed controller at position 2 is at 112.29% of its stress interval while reading 90.95% on the hour meter."
"62","1092","MOTOR-ESC-00301","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-022","COASTAL","Coastal Survey Base","3","12/4/2025 12:00:00 AM","181.9003","224.5887","200.0","200.0","90.95","112.29","0","1","1","1.2703","-24.5887","-19.36","12.0","GROUND_AND_REPLACE","4.5","279.00","0","Ground MU-022. Motor and speed controller at position 3 is at 112.29% of its stress interval while reading 90.95% on the hour meter."
"63","1095","MOTOR-ESC-00304","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-022","COASTAL","Coastal Survey Base","4","12/4/2025 12:00:00 AM","181.9003","224.5887","200.0","200.0","90.95","112.29","0","1","1","1.2703","-24.5887","-19.36","12.0","GROUND_AND_REPLACE","4.5","283.50","0","Ground MU-022. Motor and speed controller at position 4 is at 112.29% of its stress interval while reading 90.95% on the hour meter."
"64","1148","ROTOR-ASSY-00407","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-023","COASTAL","Coastal Survey Base","1","1/30/2026 12:00:00 AM","144.9000","173.6421","150.0","150.0","96.60","115.76","0","1","1","1.2827","-23.6421","-18.43","18.0","GROUND_AND_REPLACE","4.5","288.00","0","Ground MU-023. Rotor assembly and bearing at position 1 is at 115.76% of its stress interval while reading 96.60% on the hour meter."
