"VibThreshold","ComponentCode","Population","Failures","AlertsRaised","TP","FP","FN","TN","ActionableTP","LateTP","PrecisionPct","RecallPct","ActionableLeadTimePct","PreventableFailurePct","MedianLeadTimeFlightHours","LeadTimeFlightHours"
"2.400","ROTOR-ASSY","432","184","311","184","127","0","121","169","15","59.16","100.00","91.85","91.85","37.36","18.0"
"2.450","ROTOR-ASSY","432","184","303","184","119","0","129","166","18","60.73","100.00","90.22","90.22","36.36","18.0"
"2.500","ROTOR-ASSY","432","184","297","184","113","0","135","164","20","61.95","100.00","89.13","89.13","34.87","18.0"
"2.550","ROTOR-ASSY","432","184","293","184","109","0","139","163","21","62.80","100.00","88.59","88.59","33.36","18.0"
"2.600","ROTOR-ASSY","432","184","292","184","108","0","140","161","23","63.01","100.00","87.50","87.50","32.48","18.0"
"2.650","ROTOR-ASSY","432","184","285","184","101","0","147","160","24","64.56","100.00","86.96","86.96","31.97","18.0"
"2.700","ROTOR-ASSY","432","184","281","184","97","0","151","157","27","65.48","100.00","85.33","85.33","30.71","18.0"
"2.750","ROTOR-ASSY","432","184","274","184","90","0","158","154","30","67.15","100.00","83.70","83.70","29.85","18.0"
"2.800","ROTOR-ASSY","432","184","269","184","85","0","163","150","34","68.40","100.00","81.52","81.52","28.87","18.0"
"2.850","ROTOR-ASSY","432","184","267","184","83","0","165","148","36","68.91","100.00","80.43","80.43","28.18","18.0"
"2.900","ROTOR-ASSY","432","184","265","184","81","0","167","148","36","69.43","100.00","80.43","80.43","26.62","18.0"
"2.950","ROTOR-ASSY","432","184","264","183","81","1","167","143","40","69.32","99.46","78.14","77.72","25.38","18.0"
"3.000","ROTOR-ASSY","432","184","263","183","80","1","168","140","43","69.58","99.46","76.50","76.09","24.65","18.0"
"3.050","ROTOR-ASSY","432","184","260","182","78","2","170","133","49","70.00","98.91","73.08","72.28","24.19","18.0"
"3.100","ROTOR-ASSY","432","184","256","181","75","3","173","127","54","70.70","98.37","70.17","69.02","23.57","18.0"
"3.150","ROTOR-ASSY","432","184","255","181","74","3","174","121","60","70.98","98.37","66.85","65.76","22.77","18.0"
"3.200","ROTOR-ASSY","432","184","247","180","67","4","181","118","62","72.87","97.83","65.56","64.13","21.83","18.0"
"3.250","ROTOR-ASSY","432","184","245","180","65","4","183","116","64","73.47","97.83","64.44","63.04","20.78","18.0"
"3.300","ROTOR-ASSY","432","184","243","180","63","4","185","112","68","74.07","97.83","62.22","60.87","19.88","18.0"
"3.350","ROTOR-ASSY","432","184","242","180","62","4","186","105","75","74.38","97.83","58.33","57.07","19.42","18.0"
"3.400","ROTOR-ASSY","432","184","241","180","61","4","187","98","82","74.69","97.83","54.44","53.26","18.93","18.0"
"3.450","ROTOR-ASSY","432","184","238","180","58","4","190","92","88","75.63","97.83","51.11","50.00","18.35","18.0"
"3.500","ROTOR-ASSY","432","184","234","179","55","5","193","80","99","76.50","97.28","44.69","43.48","17.20","18.0"
"3.550","ROTOR-ASSY","432","184","229","178","51","6","197","72","106","77.73","96.74","40.45","39.13","16.62","18.0"
"3.600","ROTOR-ASSY","432","184","226","178","48","6","200","66","112","78.76","96.74","37.08","35.87","15.77","18.0"
"3.650","ROTOR-ASSY","432","184","225","178","47","6","201","57","121","79.11","96.74","32.02","30.98","14.33","18.0"
"3.700","ROTOR-ASSY","432","184","222","177","45","7","203","39","138","79.73","96.20","22.03","21.20","13.52","18.0"
"3.750","ROTOR-ASSY","432","184","221","177","44","7","204","36","141","80.09","96.20","20.34","19.57","12.45","18.0"
"3.800","ROTOR-ASSY","432","184","219","177","42","7","206","26","151","80.82","96.20","14.69","14.13","11.88","18.0"
"3.850","ROTOR-ASSY","432","184","217","177","40","7","208","20","157","81.57","96.20","11.30","10.87","11.05","18.0"
"3.900","ROTOR-ASSY","432","184","215","177","38","7","210","12","165","82.33","96.20","6.78","6.52","10.53","18.0"
"3.950","ROTOR-ASSY","432","184","212","177","35","7","213","8","169","83.49","96.20","4.52","4.35","10.23","18.0"
"4.000","ROTOR-ASSY","432","184","209","177","32","7","216","7","170","84.69","96.20","3.95","3.80","9.23","18.0"
