"CheckCode","CheckName","Severity","EntityType","EntityRef","Detail","AffectsCurrentWear"
"DQ-01","Duplicate sortie record","High","Sortie","D-00010227","Airframe MU-031 on 2024-12-04: 2 identical sorties (117 min, 2 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","S-00001342","Airframe MU-005 on 2024-04-12: 2 identical sorties (40 min, 5 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-01","Duplicate sortie record","High","Sortie","D-00001342","Airframe MU-005 on 2024-04-12: 2 identical sorties (40 min, 5 landings, same profile). Flight and stress hours are double counted.","0"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00002432","Airframe MU-008 on 2024-06-21: 62 flight minutes and 0 landings. Cycle stress is understated for this sortie.","0"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00003241","Airframe MU-010 on 2024-12-11: 134 flight minutes and 0 landings. Cycle stress is understated for this sortie.","0"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00004312","Airframe MU-013 on 2025-10-01: 73 flight minutes and 0 landings. Cycle stress is understated for this sortie.","0"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00004421","Airframe MU-014 on 2024-12-23: 153 flight minutes and 0 landings. Cycle stress is understated for this sortie.","0"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00005188","Airframe MU-016 on 2025-08-06: 83 flight minutes and 0 landings. Cycle stress is understated for this sortie.","0"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00007306","Airframe MU-022 on 2025-09-24: 62 flight minutes and 0 landings. Cycle stress is understated for this sortie.","1"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00007459","Airframe MU-023 on 2024-01-17: 126 flight minutes and 0 landings. Cycle stress is understated for this sortie.","0"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00008559","Airframe MU-025 on 2026-05-08: 66 flight minutes and 0 landings. Cycle stress is understated for this sortie.","1"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00008565","Airframe MU-025 on 2026-05-20: 157 flight minutes and 0 landings. Cycle stress is understated for this sortie.","1"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00008832","Airframe MU-026 on 2026-01-22: 126 flight minutes and 0 landings. Cycle stress is understated for this sortie.","1"
"DQ-02","Flight time recorded with zero landings","High","Sortie","S-00010256","Airframe MU-031 on 2025-02-26: 126 flight minutes and 0 landings. Cycle stress is understated for this sortie.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","MOTOR-ESC-00036","Reading on 2025-02-14 against MOTOR-ESC-00036, fitted 2024-03-03 and removed 2024-12-28. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","ROTOR-ASSY-00067","Reading on 2026-07-09 against ROTOR-ASSY-00067, fitted 2025-01-16 and removed 2025-08-22. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","MOTOR-ESC-00054","Reading on 2025-12-27 against MOTOR-ESC-00054, fitted 2025-01-21 and removed 2025-11-20. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","BATT-PACK-00067","Reading on 2026-05-29 against BATT-PACK-00067, fitted 2025-04-01 and removed 2026-01-19. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","ROTOR-ASSY-00166","Reading on 2026-06-05 against ROTOR-ASSY-00166, fitted 2024-01-13 and removed 2024-09-04. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","GIMBAL-00044","Reading on 2025-08-13 against GIMBAL-00044, fitted 2024-02-13 and removed 2025-01-04. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","ROTOR-ASSY-00357","Reading on 2026-05-15 against ROTOR-ASSY-00357, fitted 2025-07-09 and removed 2025-10-31. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","ROTOR-ASSY-00369","Reading on 2026-08-01 against ROTOR-ASSY-00369, fitted 2024-04-18 and removed 2024-12-20. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","BATT-PACK-00223","Reading on 2025-11-20 against BATT-PACK-00223, fitted 2024-01-08 and removed 2024-11-23. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","ROTOR-ASSY-00382","Reading on 2026-07-06 against ROTOR-ASSY-00382, fitted 2025-01-17 and removed 2026-02-10. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","BATT-PACK-00238","Reading on 2024-12-23 against BATT-PACK-00238, fitted 2024-01-04 and removed 2024-07-18. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","BATT-PACK-00304","Reading on 2026-09-30 against BATT-PACK-00304, fitted 2024-03-16 and removed 2024-10-10. The component was not on the aircraft.","0"
"DQ-03","Sensor reading outside the component fitted window","High","SensorReading","ROTOR-ASSY-00517","Reading on 2025-09-15 against ROTOR-ASSY-00517, fitted 2024-12-11 and removed 2025-06-13. The component was not on the aircraft.","0"
"DQ-04","Maintenance event precedes component installation","Medium","MaintenanceEvent","ME-000173","Event ME-000173 dated 2024-05-20 against BATT-PACK-00040 installed 2024-06-03. Downtime is attributed to a component that was not yet fitted.","0"
"DQ-04","Maintenance event precedes component installation","Medium","MaintenanceEvent","ME-000254","Event ME-000254 dated 2024-07-04 against BATT-PACK-00244 installed 2024-07-18. Downtime is attributed to a component that was not yet fitted.","0"
"DQ-04","Maintenance event precedes component installation","Medium","MaintenanceEvent","ME-000245","Event ME-000245 dated 2024-07-19 against ROTOR-ASSY-00485 installed 2024-08-02. Downtime is attributed to a component that was not yet fitted.","0"
"DQ-04","Maintenance event precedes component installation","Medium","MaintenanceEvent","ME-000462","Event ME-000462 dated 2024-07-26 against ROTOR-ASSY-00476 installed 2024-08-09. Downtime is attributed to a component that was not yet fitted.","0"
"DQ-04","Maintenance event precedes component installation","Medium","MaintenanceEvent","ME-001063","Event ME-001063 dated 2024-07-27 against AIRDATA-00061 installed 2024-08-10. Downtime is attributed to a component that was not yet fitted.","0"
"DQ-04","Maintenance event precedes component installation","Medium","MaintenanceEvent","ME-000788","Event ME-000788 dated 2025-05-20 against MOTOR-ESC-00169 installed 2025-06-03. Downtime is attributed to a component that was not yet fitted.","0"
"DQ-04","Maintenance event precedes component installation","Medium","MaintenanceEvent","ME-000561","Event ME-000561 dated 2025-05-29 against ROTOR-ASSY-00148 installed 2025-06-12. Downtime is attributed to a component that was not yet fitted.","0"
"DQ-05","Component removed before it was installed","High","ComponentInstall","BATT-PACK-00287","BATT-PACK-00287 installed 2024-08-02, removed 2024-07-24. Accrued life for this instance is meaningless.","0"
"DQ-05","Component removed before it was installed","High","ComponentInstall","ROTOR-ASSY-00351","ROTOR-ASSY-00351 installed 2024-08-12, removed 2024-08-03. Accrued life for this instance is meaningless.","0"
"DQ-05","Component removed before it was installed","High","ComponentInstall","ROTOR-ASSY-00462","ROTOR-ASSY-00462 installed 2024-10-19, removed 2024-10-10. Accrued life for this instance is meaningless.","0"
"DQ-05","Component removed before it was installed","High","ComponentInstall","ROTOR-ASSY-00235","ROTOR-ASSY-00235 installed 2024-10-31, removed 2024-10-22. Accrued life for this instance is meaningless.","0"
"DQ-05","Component removed before it was installed","High","ComponentInstall","ROTOR-ASSY-00023","ROTOR-ASSY-00023 installed 2024-12-27, removed 2024-12-18. Accrued life for this instance is meaningless.","0"
"DQ-05","Component removed before it was installed","High","ComponentInstall","ROTOR-ASSY-00122","ROTOR-ASSY-00122 installed 2025-05-22, removed 2025-05-13. Accrued life for this instance is meaningless.","0"
