"InstallKey","ComponentSerial","ComponentCode","ComponentName","Criticality","LeadTimeFlightHours","TailNumber","ModelCode","BaseCode","BaseName","PositionNo","InstalledDate","Sorties","Landings","FlightHours","StressHours","IntervalFlightHours","IntervalStressHours","PctOfHourInterval","PctOfStressInterval","IsOverdueByHours","IsOverdueByStress","IsHiddenOverdue","StressPerFlightHour","RemainingStressHours","RemainingFlightHours","ProjectedFlightHoursToStressLimit","LastSortieDate"
"986","BATT-PACK-00218","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-020","MRD-8X","HIGHLND","Highland Operations","2","5/1/2026 12:00:00 AM","60","115","100.4331","217.0288","120.0","120.0","83.69","180.86","0","1","1","2.2582","-97.0288","19.5669","-42.97","9/25/2026 12:00:00 AM"
"1018","ROTOR-ASSY-00363","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-020","MRD-8X","HIGHLND","Highland Operations","2","3/21/2026 12:00:00 AM","74","147","126.0496","267.9824","150.0","150.0","84.03","178.65","0","1","1","2.2582","-117.9824","23.9504","-52.25","9/25/2026 12:00:00 AM"
"1029","AIRDATA-00042","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-021","MRD-8X","ACADEMY","Training Academy","1","1/8/2024 12:00:00 AM","382","3076","380.1999","712.3306","400.0","400.0","95.05","178.08","0","1","1","1.9149","-312.3306","19.8001","-163.11","9/28/2026 12:00:00 AM"
"358","BATT-PACK-00083","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-008","MRD-12H","HIGHLND","Highland Operations","2","5/2/2026 12:00:00 AM","59","115","96.6497","213.1795","120.0","120.0","80.54","177.65","0","1","1","2.3105","-93.1795","23.3503","-40.33","9/28/2026 12:00:00 AM"
"339","ROTOR-ASSY-00123","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-007","MRD-12H","ACADEMY","Training Academy","2","10/2/2025 12:00:00 AM","145","1134","143.2165","266.1467","150.0","150.0","95.48","177.43","0","1","1","1.7137","-116.1467","6.7835","-67.78","9/26/2026 12:00:00 AM"
"722","MOTOR-ESC-00198","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-015","MRD-12H","PORT","Port Logistics Hub","2","1/21/2026 12:00:00 AM","97","205","177.5832","348.3593","200.0","200.0","88.79","174.18","0","1","1","1.9216","-148.3593","22.4168","-77.21","9/29/2026 12:00:00 AM"
"521","GIMBAL-00028","GIMBAL","Payload gimbal","MissionCritical","24.0","MU-011","MRD-12H","HIGHLND","Highland Operations","1","9/8/2025 12:00:00 AM","142","278","242.0667","516.5486","300.0","300.0","80.69","172.18","0","1","1","2.1761","-216.5486","57.9333","-99.51","9/29/2026 12:00:00 AM"
"23","MOTOR-ESC-00003","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","1/20/2026 12:00:00 AM","102","245","171.0173","343.0481","200.0","200.0","85.51","171.52","0","1","1","2.0638","-143.0481","28.9827","-69.31","9/29/2026 12:00:00 AM"
"26","MOTOR-ESC-00006","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-001","MRD-8X","PORT","Port Logistics Hub","2","1/20/2026 12:00:00 AM","102","245","171.0173","343.0481","200.0","200.0","85.51","171.52","0","1","1","2.0638","-143.0481","28.9827","-69.31","9/29/2026 12:00:00 AM"
"85","MOTOR-ESC-00022","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-002","MRD-8X","HIGHLND","Highland Operations","2","2/21/2026 12:00:00 AM","90","158","150.2001","341.8081","200.0","200.0","75.10","170.90","0","1","1","2.2807","-141.8081","49.7999","-62.18","9/29/2026 12:00:00 AM"
"1044","MOTOR-ESC-00284","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-021","MRD-8X","ACADEMY","Training Academy","1","6/27/2025 12:00:00 AM","180","1450","179.7000","336.7168","200.0","200.0","89.85","168.36","0","1","1","1.9149","-136.7168","20.3000","-71.40","9/28/2026 12:00:00 AM"
"1046","MOTOR-ESC-00286","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-021","MRD-8X","ACADEMY","Training Academy","2","6/27/2025 12:00:00 AM","180","1450","179.7000","336.7168","200.0","200.0","89.85","168.36","0","1","1","1.9149","-136.7168","20.3000","-71.40","9/28/2026 12:00:00 AM"
"1048","MOTOR-ESC-00288","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-021","MRD-8X","ACADEMY","Training Academy","3","6/27/2025 12:00:00 AM","180","1450","179.7000","336.7168","200.0","200.0","89.85","168.36","0","1","1","1.9149","-136.7168","20.3000","-71.40","9/28/2026 12:00:00 AM"
"1001","MOTOR-ESC-00274","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-020","MRD-8X","HIGHLND","Highland Operations","2","2/2/2026 12:00:00 AM","91","186","158.3329","336.7002","200.0","200.0","79.17","168.35","0","1","1","2.2582","-136.7002","41.6671","-60.54","9/25/2026 12:00:00 AM"
"1476","MOTOR-ESC-00403","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-030","MRD-8X","PORT","Port Logistics Hub","1","2/5/2026 12:00:00 AM","94","284","163.8167","335.5017","200.0","200.0","81.91","167.75","0","1","1","1.9627","-135.5017","36.1833","-69.04","9/30/2026 12:00:00 AM"
"657","GIMBAL-00034","GIMBAL","Payload gimbal","MissionCritical","24.0","MU-014","MRD-6L","PORT","Port Logistics Hub","1","9/22/2025 12:00:00 AM","145","372","248.2503","496.0759","300.0","300.0","82.75","165.36","0","1","1","1.8671","-196.0759","51.7497","-105.02","9/30/2026 12:00:00 AM"
"671","MOTOR-ESC-00188","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-014","MRD-6L","PORT","Port Logistics Hub","3","1/10/2026 12:00:00 AM","96","255","164.9166","325.9035","200.0","200.0","82.46","162.95","0","1","1","1.8671","-125.9035","35.0834","-67.43","9/30/2026 12:00:00 AM"
"799","ROTOR-ASSY-00285","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-016","MRD-6L","PORT","Port Logistics Hub","2","3/31/2026 12:00:00 AM","69","169","123.6502","243.9636","150.0","150.0","82.43","162.64","0","1","1","1.9188","-93.9636","26.3498","-48.97","9/30/2026 12:00:00 AM"
"1293","BATT-PACK-00280","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-026","MRD-8X","ACADEMY","Training Academy","2","1/21/2026 12:00:00 AM","101","802","101.7670","189.7509","120.0","120.0","84.81","158.13","0","1","1","1.9301","-69.7509","18.2330","-36.14","9/28/2026 12:00:00 AM"
"312","AIRDATA-00013","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-007","MRD-12H","ACADEMY","Training Academy","1","5/10/2024 12:00:00 AM","340","2698","337.9662","628.6641","400.0","400.0","84.49","157.17","0","1","1","1.7137","-228.6641","62.0338","-133.43","9/26/2026 12:00:00 AM"
"56","AIRDATA-00004","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","7/30/2025 12:00:00 AM","170","309","285.5001","626.4798","400.0","400.0","71.38","156.62","0","1","1","2.2807","-226.4798","114.4999","-99.30","9/29/2026 12:00:00 AM"
"775","MOTOR-ESC-00210","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-016","MRD-6L","PORT","Port Logistics Hub","1","2/14/2026 12:00:00 AM","88","216","158.4834","312.4206","200.0","200.0","79.24","156.21","0","1","1","1.9188","-112.4206","41.5166","-58.59","9/30/2026 12:00:00 AM"
"861","BATT-PACK-00194","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-018","MRD-12H","HIGHLND","Highland Operations","2","4/18/2026 12:00:00 AM","52","101","85.1502","186.8278","120.0","120.0","70.96","155.69","0","1","1","2.1969","-66.8278","34.8498","-30.42","9/30/2026 12:00:00 AM"
"536","MOTOR-ESC-00151","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-011","MRD-12H","HIGHLND","Highland Operations","3","2/16/2026 12:00:00 AM","83","154","142.2998","306.1695","200.0","200.0","71.15","153.08","0","1","1","2.1761","-106.1695","57.7002","-48.79","9/29/2026 12:00:00 AM"
"233","MOTOR-ESC-00064","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-005","MRD-8X","PORT","Port Logistics Hub","3","2/17/2026 12:00:00 AM","88","193","150.5832","304.9320","200.0","200.0","75.29","152.47","0","1","1","1.9127","-104.9320","49.4168","-54.86","9/29/2026 12:00:00 AM"
"403","ROTOR-ASSY-00150","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-008","MRD-12H","HIGHLND","Highland Operations","4","4/22/2026 12:00:00 AM","62","120","102.3497","227.5985","150.0","150.0","68.23","151.73","0","1","1","2.3105","-77.5985","47.6503","-33.59","9/28/2026 12:00:00 AM"
"558","ROTOR-ASSY-00204","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-011","MRD-12H","HIGHLND","Highland Operations","4","4/3/2026 12:00:00 AM","62","116","105.4332","225.0208","150.0","150.0","70.29","150.01","0","1","1","2.1761","-75.0208","44.5668","-34.47","9/29/2026 12:00:00 AM"
"513","BATT-PACK-00110","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-011","MRD-12H","HIGHLND","Highland Operations","1","5/25/2026 12:00:00 AM","48","91","81.1666","178.9957","120.0","120.0","67.64","149.16","0","1","1","2.1761","-58.9957","38.8334","-27.11","9/29/2026 12:00:00 AM"
"319","BATT-PACK-00072","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-007","MRD-12H","ACADEMY","Training Academy","2","1/19/2026 12:00:00 AM","96","747","96.4998","177.7908","120.0","120.0","80.42","148.16","0","1","1","1.7137","-57.7908","23.5002","-33.72","9/26/2026 12:00:00 AM"
"674","MOTOR-ESC-00191","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-014","MRD-6L","PORT","Port Logistics Hub","4","2/18/2026 12:00:00 AM","85","218","146.8166","291.7109","200.0","200.0","73.41","145.86","0","1","1","1.8671","-91.7109","53.1834","-49.12","9/30/2026 12:00:00 AM"
"1376","AIRDATA-00056","AIRDATA","Air data and pitot module","MissionCritical","6.0","MU-028","MRD-8X","ACADEMY","Training Academy","1","7/1/2024 12:00:00 AM","312","2450","315.3168","578.9008","400.0","400.0","78.83","144.73","0","1","1","1.7297","-178.9008","84.6832","-103.43","9/26/2026 12:00:00 AM"
"715","LANDGEAR-00046","LANDGEAR","Landing gear assembly","Degraded","4.0","MU-015","MRD-12H","PORT","Port Logistics Hub","1","1/15/2026 12:00:00 AM","100","209","182.7165","360.0029","250.0","250.0","73.09","144.00","0","1","1","1.9216","-110.0029","67.2835","-57.25","9/29/2026 12:00:00 AM"
"771","LANDGEAR-00049","LANDGEAR","Landing gear assembly","Degraded","4.0","MU-016","MRD-6L","PORT","Port Logistics Hub","1","1/20/2026 12:00:00 AM","102","248","182.1000","358.3421","250.0","250.0","72.84","143.34","0","1","1","1.9188","-108.3421","67.9000","-56.46","9/30/2026 12:00:00 AM"
"783","MOTOR-ESC-00218","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-016","MRD-6L","PORT","Port Logistics Hub","3","3/9/2026 12:00:00 AM","81","199","145.7668","285.8197","200.0","200.0","72.88","142.91","0","1","1","1.9188","-85.8197","54.2332","-44.73","9/30/2026 12:00:00 AM"
"544","ROTOR-ASSY-00190","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-011","MRD-12H","HIGHLND","Highland Operations","1","4/27/2026 12:00:00 AM","57","106","98.7499","212.9961","150.0","150.0","65.83","142.00","0","1","1","2.1761","-62.9961","51.2501","-28.95","9/29/2026 12:00:00 AM"
"1302","MOTOR-ESC-00357","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-026","MRD-8X","ACADEMY","Training Academy","2","9/29/2025 12:00:00 AM","152","1222","149.6839","283.0056","200.0","200.0","74.84","141.50","0","1","1","1.9301","-83.0056","50.3161","-43.01","9/28/2026 12:00:00 AM"
"1370","ROTOR-ASSY-00494","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-027","MRD-8X","HIGHLND","Highland Operations","3","4/30/2026 12:00:00 AM","62","104","104.6832","210.9122","150.0","150.0","69.79","140.61","0","1","1","1.9080","-60.9122","45.3168","-31.92","9/30/2026 12:00:00 AM"
"30","MOTOR-ESC-00010","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-001","MRD-8X","PORT","Port Logistics Hub","3","3/13/2026 12:00:00 AM","80","191","135.4004","279.4877","200.0","200.0","67.70","139.74","0","1","1","2.0638","-79.4877","64.5996","-38.52","9/29/2026 12:00:00 AM"
"1042","LANDGEAR-00066","LANDGEAR","Landing gear assembly","Degraded","4.0","MU-021","MRD-8X","ACADEMY","Training Academy","1","6/12/2025 12:00:00 AM","186","1492","185.1667","346.6550","250.0","250.0","74.07","138.66","0","1","1","1.9149","-96.6550","64.8333","-50.48","9/28/2026 12:00:00 AM"
"7","BATT-PACK-00006","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","6/2/2026 12:00:00 AM","46","108","78.4668","161.8788","120.0","120.0","65.39","134.90","0","1","1","2.0638","-41.8788","41.5332","-20.29","9/29/2026 12:00:00 AM"
"325","MOTOR-ESC-00085","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-007","MRD-12H","ACADEMY","Training Academy","1","9/27/2025 12:00:00 AM","147","1141","146.0165","269.6915","200.0","200.0","73.01","134.85","0","1","1","1.7137","-69.6915","53.9835","-40.67","9/26/2026 12:00:00 AM"
"221","LANDGEAR-00016","LANDGEAR","Landing gear assembly","Degraded","4.0","MU-005","MRD-8X","PORT","Port Logistics Hub","1","1/16/2026 12:00:00 AM","96","209","164.7832","335.2502","250.0","250.0","65.91","134.10","0","1","1","1.9127","-85.2502","85.2168","-44.57","9/29/2026 12:00:00 AM"
"540","MOTOR-ESC-00155","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-011","MRD-12H","HIGHLND","Highland Operations","4","3/11/2026 12:00:00 AM","72","135","123.5665","266.7160","200.0","200.0","61.78","133.36","0","1","1","2.1761","-66.7160","76.4335","-30.66","9/29/2026 12:00:00 AM"
"787","MOTOR-ESC-00222","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-016","MRD-6L","PORT","Port Logistics Hub","4","3/20/2026 12:00:00 AM","75","183","135.1001","265.7542","200.0","200.0","67.55","132.88","0","1","1","1.9188","-65.7542","64.8999","-34.27","9/30/2026 12:00:00 AM"
"1470","GIMBAL-00075","GIMBAL","Payload gimbal","MissionCritical","24.0","MU-030","MRD-8X","PORT","Port Logistics Hub","1","12/25/2025 12:00:00 AM","110","324","193.3667","395.8284","300.0","300.0","64.46","131.94","0","1","1","1.9627","-95.8284","106.6333","-48.82","9/30/2026 12:00:00 AM"
"1297","LANDGEAR-00082","LANDGEAR","Landing gear assembly","Degraded","4.0","MU-026","MRD-8X","ACADEMY","Training Academy","1","8/8/2025 12:00:00 AM","173","1382","169.5337","319.9060","250.0","250.0","67.81","127.96","0","1","1","1.9301","-69.9060","80.4663","-36.22","9/28/2026 12:00:00 AM"
"327","MOTOR-ESC-00087","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-007","MRD-12H","ACADEMY","Training Academy","2","10/8/2025 12:00:00 AM","139","1084","137.9166","255.3424","200.0","200.0","68.96","127.67","0","1","1","1.7137","-55.3424","62.0834","-32.29","9/26/2026 12:00:00 AM"
"329","MOTOR-ESC-00089","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-007","MRD-12H","ACADEMY","Training Academy","3","10/8/2025 12:00:00 AM","139","1084","137.9166","255.3424","200.0","200.0","68.96","127.67","0","1","1","1.7137","-55.3424","62.0834","-32.29","9/26/2026 12:00:00 AM"
"683","ROTOR-ASSY-00242","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-014","MRD-6L","PORT","Port Logistics Hub","2","5/18/2026 12:00:00 AM","55","146","95.3167","191.0269","150.0","150.0","63.54","127.35","0","1","1","1.8671","-41.0269","54.6833","-21.97","9/30/2026 12:00:00 AM"
"62","BATT-PACK-00018","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","6/26/2026 12:00:00 AM","42","66","67.4332","151.3844","120.0","120.0","56.19","126.15","0","1","1","2.2807","-31.3844","52.5668","-13.76","9/29/2026 12:00:00 AM"
"554","ROTOR-ASSY-00200","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-011","MRD-12H","HIGHLND","Highland Operations","3","5/13/2026 12:00:00 AM","52","99","87.1999","189.0756","150.0","150.0","58.13","126.05","0","1","1","2.1761","-39.0756","62.8001","-17.96","9/29/2026 12:00:00 AM"
"77","LANDGEAR-00007","LANDGEAR","Landing gear assembly","Degraded","4.0","MU-002","MRD-8X","HIGHLND","Highland Operations","1","3/7/2026 12:00:00 AM","83","142","136.9167","311.4790","250.0","250.0","54.77","124.59","0","1","1","2.2807","-61.4790","113.0833","-26.96","9/29/2026 12:00:00 AM"
"679","ROTOR-ASSY-00238","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-014","MRD-6L","PORT","Port Logistics Hub","1","5/28/2026 12:00:00 AM","52","138","92.4167","185.4382","150.0","150.0","61.61","123.63","0","1","1","1.8671","-35.4382","57.5833","-18.98","9/30/2026 12:00:00 AM"
"17","GIMBAL-00004","GIMBAL","Payload gimbal","MissionCritical","24.0","MU-001","MRD-8X","PORT","Port Logistics Hub","1","12/31/2025 12:00:00 AM","110","257","184.0339","369.0321","300.0","300.0","61.34","123.01","0","1","1","2.0638","-69.0321","115.9661","-33.45","9/29/2026 12:00:00 AM"
"1127","GIMBAL-00058","GIMBAL","Payload gimbal","MissionCritical","24.0","MU-023","MRD-6L","COASTAL","Coastal Survey Base","1","5/5/2025 12:00:00 AM","201","463","297.0004","364.5200","300.0","300.0","99.00","121.51","0","1","1","1.2827","-64.5200","2.9996","-50.30","9/29/2026 12:00:00 AM"
"1141","MOTOR-ESC-00315","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-023","MRD-6L","COASTAL","Coastal Survey Base","3","10/29/2025 12:00:00 AM","132","280","195.4000","237.7907","200.0","200.0","97.70","118.90","0","1","1","1.2827","-37.7907","4.6000","-29.46","9/29/2026 12:00:00 AM"
"1144","MOTOR-ESC-00318","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-023","MRD-6L","COASTAL","Coastal Survey Base","4","10/29/2025 12:00:00 AM","132","280","195.4000","237.7907","200.0","200.0","97.70","118.90","0","1","1","1.2827","-37.7907","4.6000","-29.46","9/29/2026 12:00:00 AM"
"1486","MOTOR-ESC-00413","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-030","MRD-8X","PORT","Port Logistics Hub","4","4/24/2026 12:00:00 AM","65","190","115.1500","236.3293","200.0","200.0","57.58","118.16","0","1","1","1.9627","-36.3293","84.8500","-18.51","9/30/2026 12:00:00 AM"
"1307","MOTOR-ESC-00362","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-026","MRD-8X","ACADEMY","Training Academy","4","11/27/2025 12:00:00 AM","127","1008","126.0338","235.9918","200.0","200.0","63.02","118.00","0","1","1","1.9301","-35.9918","73.9662","-18.65","9/28/2026 12:00:00 AM"
"1086","MOTOR-ESC-00295","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-022","MRD-6L","COASTAL","Coastal Survey Base","1","11/18/2025 12:00:00 AM","131","310","190.4336","234.8751","200.0","200.0","95.22","117.44","0","1","1","1.2703","-34.8751","9.5664","-27.45","9/30/2026 12:00:00 AM"
"891","ROTOR-ASSY-00313","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-018","MRD-12H","HIGHLND","Highland Operations","1","4/28/2026 12:00:00 AM","49","92","80.0502","175.2986","150.0","150.0","53.37","116.87","0","1","1","2.1969","-25.2986","69.9498","-11.52","9/30/2026 12:00:00 AM"
"876","MOTOR-ESC-00239","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-018","MRD-12H","HIGHLND","Highland Operations","2","3/16/2026 12:00:00 AM","66","125","108.5671","233.2459","200.0","200.0","54.28","116.62","0","1","1","2.1969","-33.2459","91.4329","-15.13","9/30/2026 12:00:00 AM"
"746","ROTOR-ASSY-00268","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-015","MRD-12H","PORT","Port Logistics Hub","3","5/27/2026 12:00:00 AM","49","93","89.5333","173.6418","150.0","150.0","59.69","115.76","0","1","1","1.9216","-23.6418","60.4667","-12.30","9/29/2026 12:00:00 AM"
"1148","ROTOR-ASSY-00407","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-023","MRD-6L","COASTAL","Coastal Survey Base","1","1/30/2026 12:00:00 AM","98","203","144.9000","173.6421","150.0","150.0","96.60","115.76","0","1","1","1.2827","-23.6421","5.1000","-18.43","9/29/2026 12:00:00 AM"
"1162","ROTOR-ASSY-00421","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-023","MRD-6L","COASTAL","Coastal Survey Base","4","1/30/2026 12:00:00 AM","98","203","144.9000","173.6421","150.0","150.0","96.60","115.76","0","1","1","1.2827","-23.6421","5.1000","-18.43","9/29/2026 12:00:00 AM"
"1119","BATT-PACK-00242","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-023","MRD-6L","COASTAL","Coastal Survey Base","1","3/10/2026 12:00:00 AM","77","157","113.8331","138.4921","120.0","120.0","94.86","115.41","0","1","1","1.2827","-18.4921","6.1669","-14.42","9/29/2026 12:00:00 AM"
"1342","MOTOR-ESC-00365","MOTOR-ESC","Motor and speed controller","FlightCritical","12.0","MU-027","MRD-8X","HIGHLND","Highland Operations","1","4/21/2026 12:00:00 AM","66","110","112.7832","229.4611","200.0","200.0","56.39","114.73","0","1","1","1.9080","-29.4611","87.2168","-15.44","9/30/2026 12:00:00 AM"
"1023","ROTOR-ASSY-00368","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-020","MRD-8X","HIGHLND","Highland Operations","3","6/6/2026 12:00:00 AM","45","80","77.2831","171.9613","150.0","150.0","51.52","114.64","0","1","1","2.2582","-21.9613","72.7169","-9.73","9/25/2026 12:00:00 AM"
"1099","ROTOR-ASSY-00390","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","18.0","MU-022","MRD-6L","COASTAL","Coastal Survey Base","1","1/27/2026 12:00:00 AM","95","211","138.9170","171.9201","150.0","150.0","92.61","114.61","0","1","1","1.2703","-21.9201","11.0830","-17.26","9/30/2026 12:00:00 AM"
