"InstallKey","ComponentSerial","ComponentCode","ComponentName","Criticality","LeadTimeFlightHours","TailNumber","ModelCode","BaseCode","BaseName","PositionNo","InstalledDate","RemovedDate","RemovalReason","DaysFitted","Sorties","Landings","FlightHours","StressHours","StressRatio","IntervalFlightHours","IntervalStressHours","WeibullShape","PctOfHourInterval","PctOfStressInterval","IsFailure","IsCensored","EventType","DowntimeHours"
"120","BATT-PACK-00028","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-003","MRD-12H","PORT","Port Logistics Hub","1","9/2/2024 12:00:00 AM","2/28/2025 12:00:00 AM","Scheduled","179","75","184","122.9165","228.2615","1.8570","120.0","120.0","1.80","102.43","190.22","0","1","Scheduled","4.2"
"121","BATT-PACK-00029","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-003","MRD-12H","PORT","Port Logistics Hub","1","2/28/2025 12:00:00 AM","8/18/2025 12:00:00 AM","Scheduled","171","68","154","122.5828","243.1925","1.9839","120.0","120.0","1.80","102.15","202.66","0","1","Scheduled","4.2"
"122","BATT-PACK-00030","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-003","MRD-12H","PORT","Port Logistics Hub","1","8/18/2025 12:00:00 AM","9/21/2025 12:00:00 AM","AirframeRetired","34","15","40","26.4498","52.9995","2.0038","120.0","120.0","1.80","22.04","44.17","0","1","Inspection","3.1"
"123","BATT-PACK-00031","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-003","MRD-12H","PORT","Port Logistics Hub","2","3/3/2024 12:00:00 AM","9/2/2024 12:00:00 AM","Scheduled","183","72","199","120.1333","238.3522","1.9841","120.0","120.0","1.80","100.11","198.63","0","1","Scheduled","4.0"
"124","BATT-PACK-00032","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-003","MRD-12H","PORT","Port Logistics Hub","2","9/2/2024 12:00:00 AM","2/28/2025 12:00:00 AM","Scheduled","179","75","184","122.9165","228.2615","1.8570","120.0","120.0","1.80","102.43","190.22","0","1","Scheduled","6.7"
"125","BATT-PACK-00033","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-003","MRD-12H","PORT","Port Logistics Hub","2","2/28/2025 12:00:00 AM","8/18/2025 12:00:00 AM","Scheduled","171","68","154","122.5828","243.1925","1.9839","120.0","120.0","1.80","102.15","202.66","0","1","Scheduled","5.1"
"126","BATT-PACK-00034","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-003","MRD-12H","PORT","Port Logistics Hub","2","8/18/2025 12:00:00 AM","9/21/2025 12:00:00 AM","AirframeRetired","34","15","40","26.4498","52.9995","2.0038","120.0","120.0","1.80","22.04","44.17","0","1","Inspection","7.0"
"158","BATT-PACK-00035","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","1","6/3/2024 12:00:00 AM","12/5/2024 12:00:00 AM","Failure","185","75","179","115.4167","133.4083","1.1559","120.0","120.0","1.80","96.18","111.17","1","0","Unscheduled","18.4"
"159","BATT-PACK-00036","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","1","12/5/2024 12:00:00 AM","5/10/2025 12:00:00 AM","Scheduled","156","78","175","120.0335","141.1168","1.1756","120.0","120.0","1.80","100.03","117.60","0","1","Scheduled","3.2"
"160","BATT-PACK-00037","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","1","5/10/2025 12:00:00 AM","11/6/2025 12:00:00 AM","Scheduled","180","80","149","121.9167","139.4231","1.1436","120.0","120.0","1.80","101.60","116.19","0","1","Scheduled","3.2"
"161","BATT-PACK-00038","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","1","11/6/2025 12:00:00 AM","5/20/2026 12:00:00 AM","Scheduled","195","82","168","121.2999","140.8427","1.1611","120.0","120.0","1.80","101.08","117.37","0","1","Scheduled","5.5"
"163","BATT-PACK-00040","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","2","6/3/2024 12:00:00 AM","12/11/2024 12:00:00 AM","Scheduled","191","79","187","121.1668","139.8924","1.1545","120.0","120.0","1.80","100.97","116.58","0","1","Scheduled","5.4"
"164","BATT-PACK-00041","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","2","12/11/2024 12:00:00 AM","4/8/2025 12:00:00 AM","Failure","118","60","138","91.3668","109.7416","1.2011","120.0","120.0","1.80","76.14","91.45","1","0","Unscheduled","16.3"
"165","BATT-PACK-00042","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","2","4/8/2025 12:00:00 AM","10/9/2025 12:00:00 AM","Scheduled","184","80","147","122.4499","138.3442","1.1298","120.0","120.0","1.80","102.04","115.29","0","1","Scheduled","5.4"
"166","BATT-PACK-00043","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-004","MRD-12H","COASTAL","Coastal Survey Base","2","10/9/2025 12:00:00 AM","4/8/2026 12:00:00 AM","Scheduled","181","80","163","120.9166","141.3620","1.1691","120.0","120.0","1.80","100.76","117.80","0","1","Scheduled","3.4"
"205","BATT-PACK-00045","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","1","3/9/2024 12:00:00 AM","8/30/2024 12:00:00 AM","Scheduled","174","74","173","121.5163","238.6612","1.9640","120.0","120.0","1.80","101.26","198.88","0","1","Scheduled","6.8"
"206","BATT-PACK-00046","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","1","8/30/2024 12:00:00 AM","3/22/2025 12:00:00 AM","Scheduled","204","75","195","120.8166","238.2357","1.9719","120.0","120.0","1.80","100.68","198.53","0","1","Scheduled","3.1"
"207","BATT-PACK-00047","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","1","3/22/2025 12:00:00 AM","9/10/2025 12:00:00 AM","Scheduled","172","70","175","122.4667","245.0164","2.0007","120.0","120.0","1.80","102.06","204.18","0","1","Scheduled","7.8"
"208","BATT-PACK-00048","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","1","9/10/2025 12:00:00 AM","3/28/2026 12:00:00 AM","Scheduled","199","68","154","121.3498","243.6469","2.0078","120.0","120.0","1.80","101.12","203.04","0","1","Scheduled","3.9"
"210","BATT-PACK-00050","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","2","3/9/2024 12:00:00 AM","5/17/2024 12:00:00 AM","Failure","69","32","77","54.5500","113.0745","2.0729","120.0","120.0","1.80","45.46","94.23","1","0","Unscheduled","14.9"
"211","BATT-PACK-00051","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","2","5/17/2024 12:00:00 AM","12/18/2024 12:00:00 AM","Scheduled","215","77","192","120.4330","226.8109","1.8833","120.0","120.0","1.80","100.36","189.01","0","1","Scheduled","3.8"
"212","BATT-PACK-00052","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","2","12/18/2024 12:00:00 AM","5/6/2025 12:00:00 AM","Failure","139","62","149","110.6499","225.4322","2.0373","120.0","120.0","1.80","92.21","187.86","1","0","Unscheduled","13.7"
"213","BATT-PACK-00053","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","2","5/6/2025 12:00:00 AM","11/22/2025 12:00:00 AM","Scheduled","200","71","177","121.9500","240.2985","1.9705","120.0","120.0","1.80","101.63","200.25","0","1","Scheduled","7.7"
"214","BATT-PACK-00054","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-005","MRD-8X","PORT","Port Logistics Hub","2","11/22/2025 12:00:00 AM","3/31/2026 12:00:00 AM","Failure","129","47","105","83.4499","170.9971","2.0491","120.0","120.0","1.80","69.54","142.50","1","0","Unscheduled","10.8"
"265","BATT-PACK-00056","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-006","MRD-8X","COASTAL","Coastal Survey Base","1","2/10/2024 12:00:00 AM","9/16/2024 12:00:00 AM","Scheduled","219","80","165","123.6333","138.8605","1.1232","120.0","120.0","1.80","103.03","115.72","0","1","Scheduled","7.7"
"266","BATT-PACK-00057","BATT-PACK","Main battery pack","FlightCritical","8.0","MU-006","MRD-8X","COASTAL","Coastal Survey Base","1","9/16/2024 12:00:00 AM","4/1/2025 12:00:00 AM","Failure","197","85","171","118.3666","138.0734","1.1665","120.0","120.0","1.80","98.64","115.06","1","0","Unscheduled","17.2"
