"MonthEndDate","MetricName","MetricValue"
"7/31/2025 12:00:00 AM","OverdueFlightCritical","96.00"
"7/31/2025 12:00:00 AM","StressCompliancePct","65.42"
"7/31/2025 12:00:00 AM","UnscheduledRatePct","35.92"
"8/31/2025 12:00:00 AM","HourCompliancePct","99.75"
"8/31/2025 12:00:00 AM","OverdueFlightCritical","106.00"
"8/31/2025 12:00:00 AM","StressCompliancePct","62.69"
"8/31/2025 12:00:00 AM","UnscheduledRatePct","36.51"
"9/30/2025 12:00:00 AM","HourCompliancePct","99.74"
"9/30/2025 12:00:00 AM","OverdueFlightCritical","100.00"
"9/30/2025 12:00:00 AM","StressCompliancePct","65.04"
"9/30/2025 12:00:00 AM","UnscheduledRatePct","35.80"
"10/31/2025 12:00:00 AM","HourCompliancePct","100.00"
"10/31/2025 12:00:00 AM","OverdueFlightCritical","85.00"
"10/31/2025 12:00:00 AM","StressCompliancePct","69.23"
"10/31/2025 12:00:00 AM","UnscheduledRatePct","33.59"
"11/30/2025 12:00:00 AM","HourCompliancePct","99.74"
"11/30/2025 12:00:00 AM","OverdueFlightCritical","98.00"
"11/30/2025 12:00:00 AM","StressCompliancePct","65.38"
"11/30/2025 12:00:00 AM","UnscheduledRatePct","33.59"
"12/31/2025 12:00:00 AM","HourCompliancePct","100.00"
"12/31/2025 12:00:00 AM","OverdueFlightCritical","107.00"
"12/31/2025 12:00:00 AM","StressCompliancePct","63.59"
"12/31/2025 12:00:00 AM","UnscheduledRatePct","33.46"
"1/31/2026 12:00:00 AM","HourCompliancePct","100.00"
"1/31/2026 12:00:00 AM","OverdueFlightCritical","96.00"
"1/31/2026 12:00:00 AM","StressCompliancePct","66.31"
"1/31/2026 12:00:00 AM","UnscheduledRatePct","32.68"
"2/28/2026 12:00:00 AM","HourCompliancePct","100.00"
"2/28/2026 12:00:00 AM","OverdueFlightCritical","90.00"
"2/28/2026 12:00:00 AM","StressCompliancePct","68.97"
"2/28/2026 12:00:00 AM","UnscheduledRatePct","32.90"
"3/31/2026 12:00:00 AM","HourCompliancePct","100.00"
"3/31/2026 12:00:00 AM","OverdueFlightCritical","77.00"
"3/31/2026 12:00:00 AM","StressCompliancePct","71.98"
"3/31/2026 12:00:00 AM","UnscheduledRatePct","34.09"
"4/30/2026 12:00:00 AM","HourCompliancePct","99.73"
"4/30/2026 12:00:00 AM","OverdueFlightCritical","80.00"
"4/30/2026 12:00:00 AM","StressCompliancePct","72.25"
"4/30/2026 12:00:00 AM","UnscheduledRatePct","34.17"
"5/31/2026 12:00:00 AM","HourCompliancePct","100.00"
"5/31/2026 12:00:00 AM","OverdueFlightCritical","83.00"
"5/31/2026 12:00:00 AM","StressCompliancePct","71.70"
"5/31/2026 12:00:00 AM","UnscheduledRatePct","33.86"
"6/30/2026 12:00:00 AM","HourCompliancePct","99.73"
"6/30/2026 12:00:00 AM","OverdueFlightCritical","98.00"
"6/30/2026 12:00:00 AM","StressCompliancePct","67.86"
"6/30/2026 12:00:00 AM","UnscheduledRatePct","34.92"
"7/31/2026 12:00:00 AM","HourCompliancePct","100.00"
"7/31/2026 12:00:00 AM","OverdueFlightCritical","89.00"
"7/31/2026 12:00:00 AM","StressCompliancePct","69.51"
"7/31/2026 12:00:00 AM","UnscheduledRatePct","36.82"
"8/31/2026 12:00:00 AM","HourCompliancePct","99.45"
"8/31/2026 12:00:00 AM","OverdueFlightCritical","96.00"
"8/31/2026 12:00:00 AM","StressCompliancePct","67.03"
"8/31/2026 12:00:00 AM","UnscheduledRatePct","36.19"
"9/30/2026 12:00:00 AM","HourCompliancePct","99.73"
"9/30/2026 12:00:00 AM","OverdueFlightCritical","90.00"
"9/30/2026 12:00:00 AM","StressCompliancePct","68.41"
"9/30/2026 12:00:00 AM","UnscheduledRatePct","36.13"
