"InvoiceNo","CustomerID","CustomerName","Segment","Region","SalesRep","RiskTier","CreditLimit","CollectorID","CollectorName","Team","TermsCode","NetDays","DiscountPct","InvoiceDate","DueDate","InvoiceAmount","PaidToDate","DiscountToDate","CreditMemoToDate","WriteOffToDate","OpenBalance","OverAppliedAmount","IsOpen","IsPastDue","DaysPastDue","BucketKey","BucketName","RiskWeight","IsDisputedOpen","DisputeReason"
"INV-005808","C0215","Silverline Medical Center","Institutional","Southeast","Luis Moreno","Low","155000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2024-05-27","2024-07-26","4011.74","0.00","0.00","0.00","0.00","4011.74","0.00","1","1","523","5","90+","1.00","0",""
"INV-006171","C0095","Stonegate Fabrication","OEM Manufacturer","West","Owen Price","Low","600000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2024-06-04","2024-08-03","2762.41","0.00","0.00","0.00","0.00","2762.41","0.00","1","1","515","5","90+","1.00","0",""
"INV-006583","C0182","Lakeshore Parts & Service","MRO Reseller","Midwest","Hana Sato","Medium","50000.00","COL-06","Sam Horowitz","Small Business","NET30","30","0.00","2024-06-13","2024-07-13","574.59","0.00","0.00","0.00","0.00","574.59","0.00","1","1","536","5","90+","1.00","0",""
"INV-006640","C0141","Lakeshore Contracting","Contractor","Southwest","Kevin Ames","Low","95000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2024-06-14","2024-07-14","930.63","0.00","0.00","0.00","0.00","930.63","0.00","1","1","535","5","90+","1.00","0",""
"INV-006691","C0042","Bluewater Industries","OEM Manufacturer","Southwest","Kevin Ames","High","355000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2024-06-17","2024-08-16","3658.04","0.00","0.00","0.00","0.00","3658.04","0.00","1","1","502","5","90+","1.00","0",""
"INV-007455","C0369","Lakeshore Components","OEM Manufacturer","Midwest","Hana Sato","High","545000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2024-07-03","2024-09-01","4927.43","0.00","0.00","0.00","0.00","4927.43","0.00","1","1","486","5","90+","1.00","0",""
"INV-007586","C0151","Riverbend MRO Services - Northeast 3","MRO Reseller","Northeast","Adrian Cole","Low","120000.00","COL-05","Grace Lindqvist","Small Business","NET30","30","0.00","2024-07-08","2024-08-07","2414.29","0.00","0.00","0.00","0.00","2414.29","0.00","1","1","511","5","90+","1.00","0",""
"INV-007845","C0206","Oakmont Manufacturing","OEM Manufacturer","Southeast","Dana Whitfield","Medium","590000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2024-07-12","2024-09-10","2962.54","0.00","0.00","0.00","0.00","2962.54","0.00","1","1","477","5","90+","1.00","0",""
"INV-007847","C0210","Harbor Construction - Southwest","Contractor","Southwest","Rosa Delgado","Low","80000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2024-07-12","2024-08-11","3195.97","0.00","0.00","0.00","0.00","3195.97","0.00","1","1","507","5","90+","1.00","0",""
"INV-007898","C0115","Ironbridge Contracting","Contractor","Northeast","Adrian Cole","Low","65000.00","COL-03","Elena Ruiz","Commercial","NET30","30","0.00","2024-07-15","2024-08-14","1417.00","0.00","0.00","0.00","0.00","1417.00","0.00","1","1","504","5","90+","1.00","0",""
"INV-008060","C0298","Cedar Ridge Contracting - Northeast","Contractor","Northeast","Nadia Farouk","Low","150000.00","COL-01","Priya Natarajan","Strategic Accounts","NET30","30","0.00","2024-07-17","2024-08-16","862.74","517.64","0.00","0.00","0.00","345.10","0.00","1","1","502","5","90+","1.00","0",""
"INV-008084","C0068","Harbor Industries","OEM Manufacturer","Southwest","Rosa Delgado","High","600000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2024-07-18","2024-09-16","6753.52","0.00","0.00","0.00","0.00","6753.52","0.00","1","1","471","5","90+","1.00","0",""
"INV-008166","C0251","Silverline Mechanical - Southwest","Contractor","Southwest","Kevin Ames","Low","140000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2024-07-19","2024-08-18","800.42","0.00","0.00","0.00","0.00","800.42","0.00","1","1","500","5","90+","1.00","0",""
"INV-008744","C0246","Lakeshore Industrial Supply","MRO Reseller","Southeast","Luis Moreno","Low","90000.00","COL-06","Sam Horowitz","Small Business","NET30","30","0.00","2024-08-02","2024-09-01","471.72","0.00","0.00","0.00","0.00","471.72","0.00","1","1","486","5","90+","1.00","0",""
"INV-009897","C0058","Lakeshore Builders","Contractor","Southwest","Kevin Ames","Low","55000.00","COL-03","Elena Ruiz","Commercial","NET30","30","0.00","2024-08-30","2024-09-29","1653.18","0.00","0.00","0.00","0.00","1653.18","0.00","1","1","458","5","90+","1.00","0",""
"INV-010244","C0170","Titan Industries","OEM Manufacturer","Northeast","Adrian Cole","Low","580000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2024-09-06","2024-10-21","2548.35","1019.34","0.00","0.00","0.00","1529.01","0.00","1","1","436","5","90+","1.00","0",""
"INV-010640","C0378","Silverline Fabrication - Southwest","OEM Manufacturer","Southwest","Rosa Delgado","Medium","585000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2024-09-16","2024-10-31","2173.55","0.00","0.00","0.00","0.00","2173.55","0.00","1","1","426","5","90+","1.00","0",""
"INV-011380","C0328","Westbrook Industries","OEM Manufacturer","Midwest","Ben Kowalczyk","Low","590000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2024-10-03","2024-11-17","3169.41","0.00","0.00","0.00","0.00","3169.41","0.00","1","1","409","5","90+","1.00","0",""
"INV-011902","C0196","Lakeshore MRO Services - Midwest","MRO Reseller","Midwest","Hana Sato","Low","75000.00","COL-06","Sam Horowitz","Small Business","2/10NET30","30","2.00","2024-10-17","2024-11-16","514.98","0.00","0.00","0.00","0.00","514.98","0.00","1","1","410","5","90+","1.00","0",""
"INV-012038","C0393","Silverline Components - West 3","OEM Manufacturer","West","Owen Price","Low","415000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2024-10-21","2024-12-05","2607.46","0.00","0.00","0.00","0.00","2607.46","0.00","1","1","391","5","90+","1.00","0",""
"INV-012135","C0301","Titan Builders - Midwest 4","Contractor","Midwest","Ben Kowalczyk","Medium","105000.00","COL-03","Elena Ruiz","Commercial","NET30","30","0.00","2024-10-23","2024-11-22","2303.59","0.00","0.00","0.00","0.00","2303.59","0.00","1","1","404","5","90+","1.00","0",""
"INV-012446","C0034","Crestview Contracting","Contractor","Southwest","Rosa Delgado","Low","75000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2024-10-31","2024-11-30","1402.84","0.00","0.00","0.00","0.00","1402.84","0.00","1","1","396","5","90+","1.00","0",""
"INV-012705","C0001","Silverline MRO Services","MRO Reseller","Northeast","Adrian Cole","Medium","120000.00","COL-05","Grace Lindqvist","Small Business","NET30","30","0.00","2024-11-07","2024-12-07","1263.09","0.00","0.00","0.00","0.00","1263.09","0.00","1","1","389","5","90+","1.00","0",""
"INV-012753","C0380","Silverline Construction","Contractor","Southwest","Kevin Ames","Low","30000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2024-11-07","2024-12-07","3971.58","0.00","0.00","0.00","0.00","3971.58","0.00","1","1","389","5","90+","1.00","0",""
"INV-012971","C0068","Harbor Industries","OEM Manufacturer","Southwest","Rosa Delgado","High","600000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2024-11-14","2025-01-13","1941.39","0.00","0.00","0.00","0.00","1941.39","0.00","1","1","352","5","90+","1.00","0",""
"INV-013383","C0107","Silverline Mechanical","Contractor","Southeast","Dana Whitfield","Low","145000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2024-11-25","2024-12-25","4939.05","0.00","0.00","0.00","0.00","4939.05","0.00","1","1","371","5","90+","1.00","0",""
"INV-013737","C0206","Oakmont Manufacturing","OEM Manufacturer","Southeast","Dana Whitfield","Medium","590000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2024-12-03","2025-02-01","2881.20","0.00","0.00","0.00","0.00","2881.20","0.00","1","1","333","5","90+","1.00","0",""
"INV-014282","C0008","Silverline Maintenance Supply","MRO Reseller","Southwest","Kevin Ames","Low","105000.00","COL-06","Sam Horowitz","Small Business","NET30","30","0.00","2024-12-17","2025-01-16","507.20","0.00","0.00","0.00","0.00","507.20","0.00","1","1","349","5","90+","1.00","0",""
"INV-015207","C0049","Westbrook Mechanical","Contractor","Southwest","Rosa Delgado","Medium","145000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2025-01-09","2025-02-08","3683.79","0.00","0.00","0.00","0.00","3683.79","0.00","1","1","326","5","90+","1.00","0",""
"INV-015296","C0017","Silverline Fabrication","OEM Manufacturer","Southwest","Kevin Ames","Low","500000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2025-01-13","2025-02-27","3923.60","0.00","0.00","0.00","0.00","3923.60","0.00","1","1","307","5","90+","1.00","0",""
"INV-015483","C0349","Granite Manufacturing","OEM Manufacturer","Northeast","Nadia Farouk","High","490000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2025-01-16","2025-03-17","11345.74","0.00","0.00","0.00","0.00","11345.74","0.00","1","1","289","5","90+","1.00","0",""
"INV-015832","C0226","Lakeshore Industries","OEM Manufacturer","Midwest","Hana Sato","Medium","410000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2025-01-27","2025-03-28","4228.56","0.00","0.00","0.00","0.00","4228.56","0.00","1","1","278","5","90+","1.00","0",""
"INV-015896","C0359","Stonegate Fabrication - West","OEM Manufacturer","West","Maya Brennan","High","380000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2025-01-28","2025-03-29","8807.44","5284.46","0.00","0.00","0.00","3522.98","0.00","1","1","277","5","90+","1.00","0",""
"INV-016012","C0031","Stonegate Machine Works","OEM Manufacturer","Northeast","Adrian Cole","Low","515000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2025-01-31","2025-04-01","1675.15","0.00","0.00","0.00","0.00","1675.15","0.00","1","1","274","5","90+","1.00","0",""
"INV-016708","C0126","Oakmont Parts & Service","MRO Reseller","West","Owen Price","Medium","65000.00","COL-06","Sam Horowitz","Small Business","NET30","30","0.00","2025-02-20","2025-03-22","450.00","0.00","0.00","0.00","0.00","450.00","0.00","1","1","284","5","90+","1.00","0",""
"INV-016753","C0038","Summit Fabrication","OEM Manufacturer","Northeast","Adrian Cole","High","430000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2025-02-21","2025-04-07","4494.00","0.00","0.00","0.00","0.00","4494.00","0.00","1","1","268","5","90+","1.00","0",""
"INV-016866","C0139","Harbor Machine Works","OEM Manufacturer","Midwest","Ben Kowalczyk","Medium","570000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2025-02-25","2025-04-11","3403.44","0.00","0.00","0.00","0.00","3403.44","0.00","1","1","264","5","90+","1.00","0",""
"INV-017223","C0095","Stonegate Fabrication","OEM Manufacturer","West","Owen Price","Low","600000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2025-03-06","2025-05-05","4788.73","1915.49","0.00","0.00","0.00","2873.24","0.00","1","1","240","5","90+","1.00","0",""
"INV-017321","C0076","Cedar Ridge Construction","Contractor","West","Maya Brennan","Low","110000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2025-03-10","2025-04-09","912.52","547.51","0.00","0.00","0.00","365.01","0.00","1","1","266","5","90+","1.00","0",""
"INV-017446","C0134","Frontier MRO Services","MRO Reseller","Northeast","Adrian Cole","Medium","90000.00","COL-05","Grace Lindqvist","Small Business","2/10NET30","30","2.00","2025-03-12","2025-04-11","902.13","0.00","0.00","0.00","0.00","902.13","0.00","1","1","264","5","90+","1.00","0",""
"INV-017797","C0257","Granite Supply Co.","MRO Reseller","West","Owen Price","Medium","40000.00","COL-06","Sam Horowitz","Small Business","NET30","30","0.00","2025-03-20","2025-04-19","635.50","0.00","0.00","0.00","0.00","635.50","0.00","1","1","256","5","90+","1.00","0",""
"INV-018178","C0183","Oakmont Maintenance Supply","MRO Reseller","West","Maya Brennan","High","100000.00","COL-05","Grace Lindqvist","Small Business","NET30","30","0.00","2025-03-31","2025-04-30","1677.21","0.00","0.00","0.00","0.00","1677.21","0.00","1","1","245","5","90+","1.00","0",""
"INV-018489","C0186","Redline Parts & Service - Northeast","MRO Reseller","Northeast","Nadia Farouk","Low","100000.00","COL-05","Grace Lindqvist","Small Business","NET30","30","0.00","2025-04-07","2025-05-07","1041.56","0.00","0.00","0.00","0.00","1041.56","0.00","1","1","238","5","90+","1.00","0",""
"INV-019187","C0009","Ironbridge Fabrication","OEM Manufacturer","Northeast","Nadia Farouk","Medium","590000.00","COL-02","Marcus Bell","Strategic Accounts","NET45","45","0.00","2025-04-23","2025-06-07","2451.75","1471.05","0.00","0.00","0.00","980.70","0.00","1","1","207","5","90+","1.00","0",""
"INV-019661","C0119","Titan Builders","Contractor","Northeast","Nadia Farouk","Medium","105000.00","COL-04","Tomas Okafor","Commercial","2/10NET30","30","2.00","2025-05-05","2025-06-04","877.69","0.00","0.00","0.00","0.00","877.69","0.00","1","1","210","5","90+","1.00","0",""
"INV-019941","C0265","Westbrook Mechanical - Southwest 3","Contractor","Southwest","Kevin Ames","Medium","85000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2025-05-09","2025-06-08","822.99","0.00","0.00","0.00","0.00","822.99","0.00","1","1","206","5","90+","1.00","0",""
"INV-020157","C0048","Stonegate Industries","OEM Manufacturer","Northeast","Nadia Farouk","Medium","415000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2025-05-15","2025-06-29","1838.06","0.00","0.00","0.00","0.00","1838.06","0.00","1","1","185","5","90+","1.00","0",""
"INV-020275","C0028","Keystone Parts & Service","MRO Reseller","Southeast","Dana Whitfield","Medium","25000.00","COL-06","Sam Horowitz","Small Business","NET30","30","0.00","2025-05-19","2025-06-18","465.74","0.00","0.00","0.00","0.00","465.74","0.00","1","1","196","5","90+","1.00","0",""
"INV-020325","C0036","Harbor Builders - West","Contractor","West","Owen Price","Low","145000.00","COL-03","Elena Ruiz","Commercial","NET30","30","0.00","2025-05-20","2025-06-19","1424.76","569.90","0.00","0.00","0.00","854.86","0.00","1","1","195","5","90+","1.00","0",""
"INV-020975","C0326","Pioneer Manufacturing","OEM Manufacturer","Northeast","Adrian Cole","Low","315000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2025-06-03","2025-07-18","1707.37","1024.42","0.00","0.00","0.00","682.95","0.00","1","1","166","5","90+","1.00","0",""
"INV-021108","C0389","Ironbridge Components - Southeast","OEM Manufacturer","Southeast","Dana Whitfield","Medium","590000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2025-06-05","2025-08-04","9541.80","0.00","0.00","0.00","0.00","9541.80","0.00","1","1","149","5","90+","1.00","0",""
"INV-021110","C0009","Ironbridge Fabrication","OEM Manufacturer","Northeast","Nadia Farouk","Medium","590000.00","COL-02","Marcus Bell","Strategic Accounts","NET45","45","0.00","2025-06-06","2025-07-21","2073.37","0.00","0.00","0.00","0.00","2073.37","0.00","1","1","163","5","90+","1.00","0",""
"INV-021239","C0045","Lakeshore Machine Works","OEM Manufacturer","Southeast","Dana Whitfield","Low","265000.00","COL-02","Marcus Bell","Strategic Accounts","NET45","45","0.00","2025-06-10","2025-07-25","3814.59","1525.84","0.00","0.00","0.00","2288.75","0.00","1","1","159","5","90+","1.00","0",""
"INV-021975","C0079","Cedar Ridge Machine Works","OEM Manufacturer","West","Owen Price","Low","555000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2025-06-26","2025-08-25","13482.79","8089.67","0.00","0.00","0.00","5393.12","0.00","1","1","128","5","90+","1.00","0",""
"INV-022020","C0023","Harbor Builders","Contractor","West","Owen Price","High","120000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2025-06-27","2025-07-27","1085.45","0.00","0.00","0.00","0.00","1085.45","0.00","1","1","157","5","90+","1.00","0",""
"INV-022060","C0349","Granite Manufacturing","OEM Manufacturer","Northeast","Nadia Farouk","High","490000.00","COL-02","Marcus Bell","Strategic Accounts","NET60","60","0.00","2025-06-27","2025-08-26","2133.05","0.00","0.00","0.00","0.00","2133.05","0.00","1","1","127","5","90+","1.00","0",""
"INV-022196","C0132","Keystone Contracting","Contractor","West","Maya Brennan","High","105000.00","COL-04","Tomas Okafor","Commercial","NET60","60","0.00","2025-07-02","2025-08-31","4464.13","0.00","0.00","0.00","0.00","4464.13","0.00","1","1","122","5","90+","1.00","0",""
"INV-022361","C0386","Bluewater Electric","Contractor","West","Maya Brennan","High","100000.00","COL-03","Elena Ruiz","Commercial","NET60","60","0.00","2025-07-04","2025-09-02","6197.24","0.00","0.00","0.00","0.00","6197.24","0.00","1","1","120","5","90+","1.00","0",""
"INV-022395","C0232","Titan Builders - Southwest","Contractor","Southwest","Kevin Ames","High","105000.00","COL-04","Tomas Okafor","Commercial","2/10NET30","30","2.00","2025-07-07","2025-08-06","7374.40","0.00","0.00","0.00","0.00","7374.40","0.00","1","1","147","5","90+","1.00","0",""
"INV-022618","C0059","Apex Mechanical","Contractor","Midwest","Ben Kowalczyk","High","150000.00","COL-02","Marcus Bell","Strategic Accounts","NET30","30","0.00","2025-07-11","2025-08-10","3541.08","0.00","0.00","0.00","0.00","3541.08","0.00","1","1","143","5","90+","1.00","0",""
"INV-022695","C0132","Keystone Contracting","Contractor","West","Maya Brennan","High","105000.00","COL-04","Tomas Okafor","Commercial","NET60","60","0.00","2025-07-14","2025-09-12","1427.54","0.00","0.00","0.00","0.00","1427.54","0.00","1","1","110","5","90+","1.00","0",""
"INV-022716","C0271","Riverbend Electric - Midwest 3","Contractor","Midwest","Hana Sato","High","140000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2025-07-14","2025-08-13","800.28","0.00","0.00","0.00","0.00","800.28","0.00","1","1","140","5","90+","1.00","0",""
"INV-022723","C0324","Pioneer Construction","Contractor","Southeast","Dana Whitfield","High","145000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2025-07-14","2025-08-13","3324.72","0.00","0.00","0.00","0.00","3324.72","0.00","1","1","140","5","90+","1.00","0",""
"INV-022785","C0302","Crestview Contracting - Northeast 3","Contractor","Northeast","Nadia Farouk","High","125000.00","COL-04","Tomas Okafor","Commercial","2/10NET30","30","2.00","2025-07-15","2025-08-14","2018.09","0.00","0.00","0.00","0.00","2018.09","0.00","1","1","139","5","90+","1.00","0",""
"INV-022787","C0324","Pioneer Construction","Contractor","Southeast","Dana Whitfield","High","145000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2025-07-15","2025-08-14","953.56","0.00","0.00","0.00","0.00","953.56","0.00","1","1","139","5","90+","1.00","0",""
"INV-022841","C0297","Apex Mechanical - Southeast 3","Contractor","Southeast","Dana Whitfield","High","30000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2025-07-16","2025-08-15","913.98","0.00","0.00","0.00","0.00","913.98","0.00","1","1","138","5","90+","1.00","0",""
"INV-022973","C0232","Titan Builders - Southwest","Contractor","Southwest","Kevin Ames","High","105000.00","COL-04","Tomas Okafor","Commercial","2/10NET30","30","2.00","2025-07-18","2025-08-17","2240.13","0.00","0.00","0.00","0.00","2240.13","0.00","1","1","136","5","90+","1.00","0",""
"INV-022977","C0271","Riverbend Electric - Midwest 3","Contractor","Midwest","Hana Sato","High","140000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2025-07-18","2025-08-17","6130.11","0.00","0.00","0.00","0.00","6130.11","0.00","1","1","136","5","90+","1.00","0",""
"INV-022982","C0323","Titan Parts & Service - Southwest 3","MRO Reseller","Southwest","Kevin Ames","Low","30000.00","COL-05","Grace Lindqvist","Small Business","NET30","30","0.00","2025-07-18","2025-08-17","462.58","185.03","0.00","0.00","0.00","277.55","0.00","1","1","136","5","90+","1.00","0",""
"INV-023049","C0386","Bluewater Electric","Contractor","West","Maya Brennan","High","100000.00","COL-03","Elena Ruiz","Commercial","NET60","60","0.00","2025-07-21","2025-09-19","1494.17","0.00","0.00","0.00","0.00","1494.17","0.00","1","1","103","5","90+","1.00","0",""
"INV-023073","C0128","Summit Builders","Contractor","Southwest","Kevin Ames","Low","125000.00","COL-03","Elena Ruiz","Commercial","NET60","60","0.00","2025-07-22","2025-09-20","847.17","0.00","0.00","0.00","0.00","847.17","0.00","1","1","102","5","90+","1.00","0",""
"INV-023080","C0163","Keystone Fabrication","OEM Manufacturer","Midwest","Ben Kowalczyk","Medium","600000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2025-07-22","2025-09-20","6170.49","0.00","0.00","0.00","0.00","6170.49","0.00","1","1","102","5","90+","1.00","0",""
"INV-023102","C0297","Apex Mechanical - Southeast 3","Contractor","Southeast","Dana Whitfield","High","30000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2025-07-22","2025-08-21","977.22","0.00","0.00","0.00","0.00","977.22","0.00","1","1","132","5","90+","1.00","0",""
"INV-023156","C0232","Titan Builders - Southwest","Contractor","Southwest","Kevin Ames","High","105000.00","COL-04","Tomas Okafor","Commercial","2/10NET30","30","2.00","2025-07-23","2025-08-22","7679.16","0.00","0.00","0.00","0.00","7679.16","0.00","1","1","131","5","90+","1.00","0",""
"INV-023227","C0283","Apex Industries","OEM Manufacturer","Midwest","Hana Sato","Low","390000.00","COL-01","Priya Natarajan","Strategic Accounts","NET60","60","0.00","2025-07-24","2025-09-22","2194.90","0.00","0.00","0.00","0.00","2194.90","0.00","1","1","100","5","90+","1.00","0",""
"INV-023239","C0386","Bluewater Electric","Contractor","West","Maya Brennan","High","100000.00","COL-03","Elena Ruiz","Commercial","NET60","60","0.00","2025-07-24","2025-09-22","2595.67","0.00","0.00","0.00","0.00","2595.67","0.00","1","1","100","5","90+","1.00","0",""
"INV-023249","C0059","Apex Mechanical","Contractor","Midwest","Ben Kowalczyk","High","150000.00","COL-02","Marcus Bell","Strategic Accounts","NET30","30","0.00","2025-07-25","2025-08-24","800.31","0.00","0.00","0.00","0.00","800.31","0.00","1","1","129","5","90+","1.00","0",""
"INV-023273","C0271","Riverbend Electric - Midwest 3","Contractor","Midwest","Hana Sato","High","140000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2025-07-25","2025-08-24","1652.37","0.00","0.00","0.00","0.00","1652.37","0.00","1","1","129","5","90+","1.00","0",""
"INV-023277","C0297","Apex Mechanical - Southeast 3","Contractor","Southeast","Dana Whitfield","High","30000.00","COL-04","Tomas Okafor","Commercial","NET30","30","0.00","2025-07-25","2025-08-24","4759.35","0.00","0.00","0.00","0.00","4759.35","0.00","1","1","129","5","90+","1.00","0",""
"INV-023334","C0302","Crestview Contracting - Northeast 3","Contractor","Northeast","Nadia Farouk","High","125000.00","COL-04","Tomas Okafor","Commercial","2/10NET30","30","2.00","2025-07-28","2025-08-27","6536.75","0.00","0.00","0.00","0.00","6536.75","0.00","1","1","126","5","90+","1.00","0",""
"INV-023377","C0139","Harbor Machine Works","OEM Manufacturer","Midwest","Ben Kowalczyk","Medium","570000.00","COL-01","Priya Natarajan","Strategic Accounts","NET45","45","0.00","2025-07-29","2025-09-12","6203.01","3721.81","0.00","0.00","0.00","2481.20","0.00","1","1","110","5","90+","1.00","0",""
"INV-023407","C0324","Pioneer Construction","Contractor","Southeast","Dana Whitfield","High","145000.00","COL-03","Elena Ruiz","Commercial","2/10NET30","30","2.00","2025-07-29","2025-08-28","826.01","0.00","0.00","0.00","0.00","826.01","0.00","1","1","125","5","90+","1.00","0",""
