"YearMonth","MonthEndDate","Region","InvoiceCount","CreditSales","BillingLagDays"
"2025-04","2025-04-30","Midwest","287","1250177.05","1.44"
"2025-04","2025-04-30","Northeast","290","1341879.06","1.53"
"2025-04","2025-04-30","Southeast","241","837579.53","2.51"
"2025-04","2025-04-30","Southwest","274","1163264.17","1.55"
"2025-04","2025-04-30","West","227","885996.07","1.46"
"2025-05","2025-05-31","Midwest","298","1237232.78","1.51"
"2025-05","2025-05-31","Northeast","284","1275898.43","1.48"
"2025-05","2025-05-31","Southeast","245","1017851.03","2.72"
"2025-05","2025-05-31","Southwest","267","1106136.43","1.53"
"2025-05","2025-05-31","West","242","993875.56","1.52"
"2025-06","2025-06-30","Midwest","258","1052850.39","1.56"
"2025-06","2025-06-30","Northeast","280","1220346.50","1.53"
"2025-06","2025-06-30","Southeast","237","998186.05","3.07"
"2025-06","2025-06-30","Southwest","243","1005103.35","1.46"
"2025-06","2025-06-30","West","231","894306.10","1.56"
"2025-07","2025-07-31","Midwest","303","1383757.58","1.53"
"2025-07","2025-07-31","Northeast","306","1369484.39","1.48"
"2025-07","2025-07-31","Southeast","277","1142704.61","3.26"
"2025-07","2025-07-31","Southwest","292","1212378.56","1.48"
"2025-07","2025-07-31","West","247","951618.19","1.48"
"2025-08","2025-08-31","Midwest","271","1219243.16","1.46"
"2025-08","2025-08-31","Northeast","296","1198498.94","1.54"
"2025-08","2025-08-31","Southeast","226","895168.81","3.69"
"2025-08","2025-08-31","Southwest","253","1167853.09","1.43"
"2025-08","2025-08-31","West","255","968778.69","1.52"
"2025-09","2025-09-30","Midwest","270","1250311.84","1.53"
"2025-09","2025-09-30","Northeast","317","1360326.55","1.44"
"2025-09","2025-09-30","Southeast","237","855794.35","3.85"
"2025-09","2025-09-30","Southwest","282","1197443.15","1.51"
"2025-09","2025-09-30","West","265","1065988.16","1.48"
"2025-10","2025-10-31","Midwest","268","1306854.46","1.50"
"2025-10","2025-10-31","Northeast","278","1243461.91","1.56"
"2025-10","2025-10-31","Southeast","247","977000.33","4.21"
"2025-10","2025-10-31","Southwest","266","1199398.70","1.50"
"2025-10","2025-10-31","West","268","1100868.12","1.45"
"2025-11","2025-11-30","Midwest","256","1172815.66","1.54"
"2025-11","2025-11-30","Northeast","241","976603.30","1.47"
"2025-11","2025-11-30","Southeast","219","853589.74","4.46"
"2025-11","2025-11-30","Southwest","214","1015084.01","1.46"
"2025-11","2025-11-30","West","202","791024.34","1.48"
"2025-12","2025-12-31","Midwest","237","1152339.72","1.50"
"2025-12","2025-12-31","Northeast","306","1405248.94","1.54"
"2025-12","2025-12-31","Southeast","221","810206.65","4.78"
"2025-12","2025-12-31","Southwest","282","1176147.77","1.45"
"2025-12","2025-12-31","West","257","1104688.78","1.48"
