"CustomerKey","CustomerID","CustomerName","Segment","Region","CollectorName","UnappliedCash","UnappliedReceipts","FullyUnappliedReceipts","NoRemittanceAdvice","OldestUnappliedDays","OpenBalance","PastDueBalance","NetExposure","WronglyChaseable"
"246","C0246","Lakeshore Industrial Supply","MRO Reseller","Southeast","Sam Horowitz","471.72","1","0","1","487","14261.24","1502.17","13789.52","471.72"
"206","C0206","Oakmont Manufacturing","OEM Manufacturer","Southeast","Priya Natarajan","5843.74","2","0","2","479","84060.86","20774.67","78217.12","5843.74"
"42","C0042","Bluewater Industries","OEM Manufacturer","Southwest","Priya Natarajan","3658.04","1","0","1","479","93887.29","53541.39","90229.25","3658.04"
"298","C0298","Cedar Ridge Contracting - Northeast","Contractor","Northeast","Priya Natarajan","1591.96","2","2","1","456","11454.01","1857.57","9862.05","1591.96"
"58","C0058","Lakeshore Builders","Contractor","Southwest","Elena Ruiz","1653.18","1","0","1","455","12680.10","1653.18","11026.92","1653.18"
"68","C0068","Harbor Industries","OEM Manufacturer","Southwest","Priya Natarajan","11304.99","3","0","3","454","150420.44","32505.92","139115.45","11304.99"
"170","C0170","Titan Industries","OEM Manufacturer","Northeast","Priya Natarajan","1529.01","1","0","1","426","122676.78","1529.01","121147.77","1529.01"
"328","C0328","Westbrook Industries","OEM Manufacturer","Midwest","Priya Natarajan","3169.41","1","0","1","409","73047.34","5883.67","69877.93","3169.41"
"34","C0034","Crestview Contracting","Contractor","Southwest","Tomas Okafor","1402.84","1","1","1","394","4962.52","1402.84","3559.68","1402.84"
"107","C0107","Silverline Mechanical","Contractor","Southeast","Elena Ruiz","4840.27","1","0","1","392","7599.96","4939.05","2759.69","4840.27"
"301","C0301","Titan Builders - Midwest 4","Contractor","Midwest","Elena Ruiz","2303.59","1","1","1","391","10973.06","6878.46","8669.47","2303.59"
"1","C0001","Silverline MRO Services","MRO Reseller","Northeast","Grace Lindqvist","2272.26","2","1","1","390","13872.98","8767.54","11600.72","2272.26"
"393","C0393","Silverline Components - West 3","OEM Manufacturer","West","Priya Natarajan","2607.46","1","0","1","389","69926.78","7987.73","67319.32","2607.46"
"380","C0380","Silverline Construction","Contractor","Southwest","Tomas Okafor","3971.58","1","0","1","384","10996.37","3971.58","7024.79","3971.58"
"49","C0049","Westbrook Mechanical","Contractor","Southwest","Elena Ruiz","3610.11","1","0","1","350","7011.58","7011.58","3401.47","3610.11"
"8","C0008","Silverline Maintenance Supply","MRO Reseller","Southwest","Sam Horowitz","507.20","1","0","1","342","12272.84","507.20","11765.64","507.20"
"17","C0017","Silverline Fabrication","OEM Manufacturer","Southwest","Priya Natarajan","3923.60","1","0","1","307","107560.49","3923.60","103636.89","3923.60"
"134","C0134","Frontier MRO Services","MRO Reseller","Northeast","Grace Lindqvist","884.09","1","1","1","285","9406.40","902.13","8522.31","884.09"
"226","C0226","Lakeshore Industries","OEM Manufacturer","Midwest","Priya Natarajan","4228.56","1","1","1","277","72568.38","26820.84","68339.82","4228.56"
"126","C0126","Oakmont Parts & Service","MRO Reseller","West","Sam Horowitz","450.00","1","0","1","271","15136.15","1287.56","14686.15","450.00"
"349","C0349","Granite Manufacturing","OEM Manufacturer","Northeast","Marcus Bell","17275.24","4","2","2","263","125695.79","49623.92","108420.55","17275.24"
"38","C0038","Summit Fabrication","OEM Manufacturer","Northeast","Priya Natarajan","4494.00","1","0","1","261","77044.35","18633.09","72550.35","4494.00"
"139","C0139","Harbor Machine Works","OEM Manufacturer","Midwest","Priya Natarajan","8939.70","3","1","2","254","82930.18","10532.97","73990.48","8939.70"
"257","C0257","Granite Supply Co.","MRO Reseller","West","Sam Horowitz","635.50","1","0","1","236","6226.76","2017.06","5591.26","635.50"
"186","C0186","Redline Parts & Service - Northeast","MRO Reseller","Northeast","Grace Lindqvist","1041.56","1","1","1","235","6839.92","1041.56","5798.36","1041.56"
"359","C0359","Stonegate Fabrication - West","OEM Manufacturer","West","Marcus Bell","3522.98","1","0","1","234","75601.21","47161.13","72078.23","3522.98"
"183","C0183","Oakmont Maintenance Supply","MRO Reseller","West","Grace Lindqvist","1677.21","1","0","1","229","6474.81","3682.24","4797.60","1677.21"
"31","C0031","Stonegate Machine Works","OEM Manufacturer","Northeast","Marcus Bell","1675.15","1","0","1","220","150926.78","85720.95","149251.63","1675.15"
"76","C0076","Cedar Ridge Construction","Contractor","West","Tomas Okafor","365.01","1","0","1","214","11130.61","365.01","10765.60","365.01"
"28","C0028","Keystone Parts & Service","MRO Reseller","Southeast","Sam Horowitz","465.74","1","0","1","195","3324.65","1054.76","2858.91","465.74"
"36","C0036","Harbor Builders - West","Contractor","West","Elena Ruiz","1786.89","2","0","2","195","22168.21","5780.36","20381.32","1786.89"
"119","C0119","Titan Builders","Contractor","Northeast","Tomas Okafor","877.69","1","0","1","191","6348.50","2614.61","5470.81","877.69"
"265","C0265","Westbrook Mechanical - Southwest 3","Contractor","Southwest","Tomas Okafor","822.99","1","1","1","187","28932.36","822.99","28109.37","822.99"
"48","C0048","Stonegate Industries","OEM Manufacturer","Northeast","Priya Natarajan","1838.06","1","0","1","177","78932.51","29973.52","77094.45","1838.06"
"9","C0009","Ironbridge Fabrication","OEM Manufacturer","Northeast","Marcus Bell","3054.07","2","0","2","167","155363.14","15639.43","152309.07","3054.07"
"45","C0045","Lakeshore Machine Works","OEM Manufacturer","Southeast","Marcus Bell","2288.75","1","1","1","156","27739.38","2288.75","25450.63","2288.75"
"23","C0023","Harbor Builders","Contractor","West","Tomas Okafor","1085.45","1","0","1","147","45615.67","14979.10","44530.22","1085.45"
"323","C0323","Titan Parts & Service - Southwest 3","MRO Reseller","Southwest","Grace Lindqvist","277.55","1","0","1","138","8214.18","5146.81","7936.63","277.55"
"389","C0389","Ironbridge Components - Southeast","OEM Manufacturer","Southeast","Marcus Bell","9541.80","1","1","1","138","118321.01","13114.17","108779.21","9541.80"
"238","C0238","Oakmont Builders - Midwest","Contractor","Midwest","Tomas Okafor","843.00","1","0","1","114","32487.23","843.00","31644.23","843.00"
"391","C0391","Keystone MRO Services - Northeast","MRO Reseller","Northeast","Grace Lindqvist","6074.20","2","2","1","105","8584.88","6254.84","2510.68","6074.20"
"307","C0307","Westbrook Contracting - Northeast","Contractor","Northeast","Elena Ruiz","1806.13","1","0","1","104","6751.30","1806.13","4945.17","1806.13"
"163","C0163","Keystone Fabrication","OEM Manufacturer","Midwest","Priya Natarajan","6170.49","1","0","1","103","93975.84","36293.49","87805.35","6170.49"
"283","C0283","Apex Industries","OEM Manufacturer","Midwest","Priya Natarajan","2194.90","1","0","1","100","92573.02","8147.59","90378.12","2194.90"
"128","C0128","Summit Builders","Contractor","Southwest","Elena Ruiz","1188.03","2","1","1","93","28993.47","1188.03","27805.44","1188.03"
"376","C0376","Summit Components - Midwest","OEM Manufacturer","Midwest","Priya Natarajan","11897.85","2","1","1","91","98197.19","27755.26","86299.34","11897.85"
"80","C0080","Frontier Maintenance Supply","MRO Reseller","Northeast","Grace Lindqvist","1576.11","1","1","1","83","21192.47","1576.11","19616.36","1576.11"
"79","C0079","Cedar Ridge Machine Works","OEM Manufacturer","West","Priya Natarajan","5393.12","1","0","1","79","85429.68","20528.43","80036.56","5393.12"
"294","C0294","Titan Components","OEM Manufacturer","Northeast","Priya Natarajan","2883.43","1","0","1","65","49151.53","2883.43","46268.10","2883.43"
"54","C0054","Titan Manufacturing","OEM Manufacturer","Midwest","Priya Natarajan","6661.59","1","0","1","51","112760.39","20972.11","106098.80","6661.59"
"180","C0180","Titan Contracting","Contractor","Southwest","Elena Ruiz","2126.20","1","1","1","45","10549.44","2126.20","8423.24","2126.20"
"185","C0185","Harbor Supply Co.","MRO Reseller","Southwest","Sam Horowitz","2387.01","1","1","1","43","4918.35","2387.01","2531.34","2387.01"
"138","C0138","Ironbridge Mechanical - Midwest 4","Contractor","Midwest","Tomas Okafor","5718.64","1","1","1","37","18461.95","6650.25","12743.31","5718.64"
"130","C0130","Keystone Mechanical","Contractor","Southeast","Tomas Okafor","2477.70","2","1","1","36","6621.13","5821.01","4143.43","2477.70"
"66","C0066","Summit Industries","OEM Manufacturer","Midwest","Marcus Bell","3672.29","1","0","1","27","91519.74","14750.26","87847.45","3672.29"
"219","C0219","Titan Construction - Southwest 3","Contractor","Southwest","Elena Ruiz","6397.83","1","1","1","24","48336.70","14205.25","41938.87","6397.83"
"234","C0234","Redline University Facilities - Midwest 3","Institutional","Midwest","Tomas Okafor","8221.59","1","1","0","8","30367.54","19450.60","22145.95","8221.59"
"385","C0385","Cedar Ridge Maintenance Supply - Southeast","MRO Reseller","Southeast","Grace Lindqvist","921.70","1","1","0","7","9077.63","3231.70","8155.93","921.70"
"262","C0262","Titan Industrial Supply","MRO Reseller","Midwest","Grace Lindqvist","3099.30","1","1","0","6","9711.72","3099.30","6612.42","3099.30"
"218","C0218","Riverbend Parts & Service - Midwest","MRO Reseller","Midwest","Sam Horowitz","1498.04","1","0","1","5","19062.14","1498.04","17564.10","1498.04"
"350","C0350","Crestview Industries","OEM Manufacturer","West","Marcus Bell","10085.17","1","1","0","4","33344.03","10085.17","23258.86","10085.17"
"122","C0122","Frontier Fabrication - Northeast","OEM Manufacturer","Northeast","Priya Natarajan","16589.03","1","1","0","4","62245.00","17423.12","45655.97","16589.03"
"291","C0291","Redline Contracting","Contractor","Southeast","Tomas Okafor","1384.50","1","1","0","3","10161.73","1384.50","8777.23","1384.50"
"235","C0235","Riverbend Electric - Southeast","Contractor","Southeast","Tomas Okafor","8274.16","1","1","0","2","10798.11","9108.22","2523.95","8274.16"
"264","C0264","Crestview Electric - Midwest","Contractor","Midwest","Elena Ruiz","1499.82","1","1","0","2","12024.06","1499.82","10524.24","1499.82"
"351","C0351","Ironbridge Components","OEM Manufacturer","Midwest","Priya Natarajan","7056.36","1","1","0","2","171140.07","132293.14","164083.71","7056.36"
"195","C0195","Redline Manufacturing","OEM Manufacturer","Southwest","Priya Natarajan","4996.89","1","1","0","1","58855.62","4996.89","53858.73","4996.89"
"300","C0300","Cedar Ridge Contracting - West 3","Contractor","West","Tomas Okafor","2395.99","1","1","0","1","2395.99","2395.99","0.00","2395.99"
"177","C0177","Frontier Builders - West","Contractor","West","Tomas Okafor","1733.71","1","1","0","1","5886.26","0.00","4152.55","0.00"
"211","C0211","Ironbridge Builders","Contractor","West","Tomas Okafor","2982.07","1","1","0","1","19129.87","5733.22","16147.80","2982.07"
"317","C0317","Apex Industrial Supply","MRO Reseller","West","Sam Horowitz","4424.97","1","1","0","1","9464.29","4944.54","5039.32","4424.97"
"239","C0239","Northfield Supply Co. - Northeast","MRO Reseller","Northeast","Grace Lindqvist","3623.52","1","1","0","0","8404.84","0.00","4781.32","0.00"
"51","C0051","Silverline Builders","Contractor","West","Tomas Okafor","6456.32","1","1","0","0","15090.94","6456.32","8634.62","6456.32"
"35","C0035","Summit Mechanical","Contractor","Northeast","Tomas Okafor","3300.84","1","1","0","0","17742.65","0.00","14441.81","0.00"
"258","C0258","Riverbend Contracting - Midwest","Contractor","Midwest","Tomas Okafor","2837.15","1","1","0","0","5265.61","2428.46","2428.46","2428.46"
"25","C0025","Oakmont County Facilities","Institutional","West","Elena Ruiz","1228.27","1","1","0","0","8881.87","2594.37","7653.60","1228.27"
"327","C0327","Ironbridge Water Authority","Institutional","Midwest","Priya Natarajan","6421.52","1","1","0","0","51196.88","17807.08","44775.36","6421.52"
"299","C0299","Silverline Industries","OEM Manufacturer","Southwest","Marcus Bell","15580.18","1","1","0","0","90910.94","19833.51","75330.76","15580.18"
