"PromiseNo","CustomerID","CustomerName","RiskTier","Segment","CollectorName","PromiseMadeDate","PromisedPayDate","PromisedAmount","CashInWindow","PctOfPromise","DaysSincePromised","PromiseStatus"
"PTP-000039","C0143","Northfield Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-01-04","2025-01-13","4608.33","4716.17","102.34","352","Kept"
"PTP-000040","C0281","Westbrook Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-01-02","2025-01-13","11887.51","19261.21","162.03","352","Kept"
"PTP-000041","C0292","Cedar Ridge Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-01-03","2025-01-13","3851.84","8432.67","218.93","352","Kept"
"PTP-000042","C0214","Bluewater Industries - Midwest 3","Low","OEM Manufacturer","Marcus Bell","2025-01-10","2025-01-14","3211.41","3566.64","111.06","351","Kept"
"PTP-000044","C0292","Cedar Ridge Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-01-07","2025-01-15","3954.66","8432.67","213.23","350","Kept"
"PTP-000043","C0074","Frontier Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-01-07","2025-01-15","10721.12","28776.70","268.41","350","Kept"
"PTP-000046","C0067","Cedar Ridge Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-01-07","2025-01-16","1543.33","2148.13","139.19","349","Kept"
"PTP-000045","C0026","Northfield Components","Low","OEM Manufacturer","Priya Natarajan","2025-01-13","2025-01-16","1723.84","1741.37","101.02","349","Kept"
"PTP-000047","C0374","Bluewater University Facilities - West","Low","Institutional","Elena Ruiz","2025-01-08","2025-01-16","3918.97","3946.43","100.70","349","Kept"
"PTP-000051","C0359","Stonegate Fabrication - West","High","OEM Manufacturer","Marcus Bell","2025-01-07","2025-01-17","3139.29","10439.82","332.55","348","Kept"
"PTP-000048","C0031","Stonegate Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-01-07","2025-01-17","2703.49","2817.67","104.22","348","Kept"
"PTP-000049","C0192","Keystone MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-01-06","2025-01-17","4020.55","4176.59","103.88","348","Kept"
"PTP-000050","C0273","Oakmont Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-01-06","2025-01-17","1648.93","14725.60","893.04","348","Kept"
"PTP-000052","C0190","Harbor Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-01-09","2025-01-18","1475.70","15035.71","1018.89","347","Kept"
"PTP-000053","C0362","Ironbridge Construction","Medium","Contractor","Tomas Okafor","2025-01-06","2025-01-18","819.58","908.64","110.87","347","Kept"
"PTP-000055","C0227","Cedar Ridge County Facilities","Low","Institutional","Elena Ruiz","2025-01-13","2025-01-19","8632.26","9278.49","107.49","346","Kept"
"PTP-000057","C0316","Bluewater Parts & Service - Midwest 3","Medium","MRO Reseller","Sam Horowitz","2025-01-11","2025-01-19","2377.19","2464.51","103.67","346","Kept"
"PTP-000056","C0312","Pioneer University Facilities - Southeast","Low","Institutional","Marcus Bell","2025-01-15","2025-01-19","4597.27","4770.04","103.76","346","Kept"
"PTP-000058","C0326","Pioneer Manufacturing","Low","OEM Manufacturer","Priya Natarajan","2025-01-16","2025-01-19","1909.53","2007.75","105.14","346","Kept"
"PTP-000054","C0182","Lakeshore Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-01-10","2025-01-19","671.66","681.62","101.48","346","Kept"
"PTP-000059","C0062","Keystone Electric","Medium","Contractor","Elena Ruiz","2025-01-08","2025-01-20","6087.22","6619.47","108.74","345","Kept"
"PTP-000060","C0352","Pioneer Construction - Midwest","Low","Contractor","Tomas Okafor","2025-01-11","2025-01-20","734.54","800.16","108.93","345","Kept"
"PTP-000061","C0124","Riverbend MRO Services - West","High","MRO Reseller","Grace Lindqvist","2025-01-14","2025-01-21","4520.24","4738.14","104.82","344","Kept"
"PTP-000063","C0112","Ironbridge Fabrication - Midwest","Low","OEM Manufacturer","Marcus Bell","2025-01-20","2025-01-22","5024.55","12200.92","242.83","343","Kept"
"PTP-000062","C0018","Redline Industries","Low","OEM Manufacturer","Marcus Bell","2025-01-18","2025-01-22","3842.49","14671.21","381.82","343","Kept"
"PTP-000065","C0337","Keystone Manufacturing","Low","OEM Manufacturer","Priya Natarajan","2025-01-11","2025-01-22","16151.09","40693.12","251.95","343","Kept"
"PTP-000066","C0351","Ironbridge Components","High","OEM Manufacturer","Priya Natarajan","2025-01-14","2025-01-22","16337.60","16768.90","102.64","343","Kept"
"PTP-000064","C0283","Apex Industries","Low","OEM Manufacturer","Priya Natarajan","2025-01-16","2025-01-22","10221.83","10607.22","103.77","343","Kept"
"PTP-000067","C0396","Ironbridge Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-01-17","2025-01-22","13090.87","13253.99","101.25","343","Kept"
"PTP-000069","C0191","Bluewater Builders - Midwest","High","Contractor","Tomas Okafor","2025-01-19","2025-01-23","4831.04","6269.96","129.78","342","Kept"
"PTP-000068","C0107","Silverline Mechanical","Low","Contractor","Elena Ruiz","2025-01-11","2025-01-23","6926.50","7397.52","106.80","342","Kept"
"PTP-000070","C0042","Bluewater Industries","High","OEM Manufacturer","Priya Natarajan","2025-01-18","2025-01-24","2005.65","2009.78","100.21","341","Kept"
"PTP-000071","C0053","Stonegate University Facilities","Low","Institutional","Tomas Okafor","2025-01-19","2025-01-24","1248.97","1306.32","104.59","341","Kept"
"PTP-000072","C0206","Oakmont Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-01-11","2025-01-24","4644.34","39002.33","839.78","341","Kept"
"PTP-000074","C0267","Redline Manufacturing - Southwest","Low","OEM Manufacturer","Marcus Bell","2025-01-17","2025-01-25","576.37","604.51","104.88","340","Kept"
"PTP-000073","C0019","Northfield Supply Co.","Medium","MRO Reseller","Sam Horowitz","2025-01-16","2025-01-25","2448.32","6545.88","267.36","340","Kept"
"PTP-000075","C0086","Crestview Contracting - Southeast","Medium","Contractor","Tomas Okafor","2025-01-20","2025-01-26","7432.19","7982.69","107.41","339","Kept"
"PTP-000076","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-01-14","2025-01-27","5444.68","9295.82","170.73","338","Kept"
"PTP-000077","C0267","Redline Manufacturing - Southwest","Low","OEM Manufacturer","Marcus Bell","2025-01-20","2025-01-27","1573.76","1628.76","103.49","338","Kept"
"PTP-000079","C0054","Titan Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-01-25","2025-01-28","2612.33","6735.93","257.85","337","Kept"
"PTP-000078","C0042","Bluewater Industries","High","OEM Manufacturer","Priya Natarajan","2025-01-21","2025-01-28","1659.00","1717.78","103.54","337","Kept"
"PTP-000080","C0399","Riverbend Electric - West 5","Medium","Contractor","Elena Ruiz","2025-01-25","2025-01-28","2975.77","3302.40","110.98","337","Kept"
"PTP-000085","C0392","Apex Industrial Supply - Southwest 3","High","MRO Reseller","Grace Lindqvist","2025-01-21","2025-01-29","1129.39","4700.89","416.23","336","Kept"
"PTP-000081","C0038","Summit Fabrication","High","OEM Manufacturer","Priya Natarajan","2025-01-27","2025-01-29","9546.52","14445.92","151.32","336","Kept"
"PTP-000082","C0094","Bluewater Industries - Southeast","Low","OEM Manufacturer","Marcus Bell","2025-01-20","2025-01-29","1627.05","25442.29","1563.71","336","Kept"
"PTP-000084","C0185","Harbor Supply Co.","Low","MRO Reseller","Sam Horowitz","2025-01-18","2025-01-29","1890.39","1987.42","105.13","336","Kept"
"PTP-000083","C0152","Summit Supply Co.","Medium","MRO Reseller","Grace Lindqvist","2025-01-16","2025-01-29","1814.27","1917.15","105.67","336","Kept"
"PTP-000086","C0040","Apex MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-01-25","2025-01-30","2372.95","2433.72","102.56","335","Kept"
"PTP-000087","C0313","Oakmont Industrial Supply","Low","MRO Reseller","Grace Lindqvist","2025-01-25","2025-01-30","873.10","887.20","101.61","335","Kept"
"PTP-000089","C0262","Titan Industrial Supply","Medium","MRO Reseller","Grace Lindqvist","2025-01-23","2025-01-31","1847.11","2014.95","109.09","334","Kept"
"PTP-000088","C0227","Cedar Ridge County Facilities","Low","Institutional","Elena Ruiz","2025-01-20","2025-01-31","1336.30","1467.07","109.79","334","Kept"
"PTP-000092","C0231","Silverline Components - Northeast","Medium","OEM Manufacturer","Priya Natarajan","2025-01-29","2025-02-01","12933.22","13300.97","102.84","333","Kept"
"PTP-000090","C0032","Cedar Ridge Components","Low","OEM Manufacturer","Marcus Bell","2025-01-27","2025-02-01","1829.09","6167.70","337.20","333","Kept"
"PTP-000091","C0163","Keystone Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-01-22","2025-02-01","742.52","2828.83","380.98","333","Kept"
"PTP-000094","C0124","Riverbend MRO Services - West","High","MRO Reseller","Grace Lindqvist","2025-01-30","2025-02-02","821.59","867.22","105.55","332","Kept"
"PTP-000093","C0067","Cedar Ridge Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-01-26","2025-02-02","4622.96","5220.04","112.92","332","Kept"
"PTP-000095","C0007","Cedar Ridge Industrial Supply","High","MRO Reseller","Sam Horowitz","2025-01-23","2025-02-03","1691.80","1845.41","109.08","331","Kept"
"PTP-000096","C0274","Summit Contracting - Midwest","Medium","Contractor","Tomas Okafor","2025-01-20","2025-02-03","7366.73","10975.49","148.99","331","Kept"
"PTP-000099","C0267","Redline Manufacturing - Southwest","Low","OEM Manufacturer","Marcus Bell","2025-01-31","2025-02-04","16462.46","16472.68","100.06","330","Kept"
"PTP-000100","C0306","Apex Builders - Southwest 3","Low","Contractor","Tomas Okafor","2025-01-31","2025-02-04","1274.21","1386.61","108.82","330","Kept"
"PTP-000097","C0031","Stonegate Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-01-28","2025-02-04","3691.77","30210.94","818.33","330","Kept"
"PTP-000098","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-01-24","2025-02-04","9903.57","15278.13","154.27","330","Kept"
"PTP-000101","C0387","Apex Industrial Supply - Southeast","Medium","MRO Reseller","Sam Horowitz","2025-01-30","2025-02-04","1217.51","3238.36","265.98","330","Kept"
"PTP-000104","C0376","Summit Components - Midwest","High","OEM Manufacturer","Priya Natarajan","2025-01-31","2025-02-05","3910.69","18352.62","469.29","329","Kept"
"PTP-000102","C0125","Summit MRO Services","High","MRO Reseller","Grace Lindqvist","2025-02-02","2025-02-05","1149.88","2628.18","228.56","329","Kept"
"PTP-000103","C0226","Lakeshore Industries","Medium","OEM Manufacturer","Priya Natarajan","2025-01-27","2025-02-05","1754.12","1771.17","100.97","329","Kept"
"PTP-000107","C0121","Apex Manufacturing","Low","OEM Manufacturer","Marcus Bell","2025-01-26","2025-02-06","5109.20","12094.18","236.71","328","Kept"
"PTP-000106","C0049","Westbrook Mechanical","Medium","Contractor","Elena Ruiz","2025-02-04","2025-02-06","5063.91","5583.59","110.26","328","Kept"
"PTP-000105","C0031","Stonegate Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-01-28","2025-02-06","4294.36","23695.68","551.79","328","Kept"
"PTP-000108","C0396","Ironbridge Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-01-29","2025-02-06","2704.98","10841.47","400.80","328","Kept"
"PTP-000109","C0035","Summit Mechanical","Low","Contractor","Tomas Okafor","2025-02-03","2025-02-07","783.56","800.60","102.17","327","Kept"
"PTP-000110","C0053","Stonegate University Facilities","Low","Institutional","Tomas Okafor","2025-01-31","2025-02-07","4738.54","4772.33","100.71","327","Kept"
"PTP-000111","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-01-24","2025-02-07","4212.95","6581.35","156.22","327","Kept"
"PTP-000112","C0139","Harbor Machine Works","Medium","OEM Manufacturer","Priya Natarajan","2025-01-26","2025-02-07","13198.59","16178.43","122.58","327","Kept"
"PTP-000113","C0279","Ironbridge Medical Center - Northeast","Low","Institutional","Marcus Bell","2025-01-29","2025-02-07","1048.22","1152.57","109.95","327","Kept"
"PTP-000116","C0349","Granite Manufacturing","High","OEM Manufacturer","Marcus Bell","2025-02-01","2025-02-08","2361.92","16067.71","680.28","326","Kept"
"PTP-000115","C0272","Frontier Industrial Supply","Low","MRO Reseller","Grace Lindqvist","2025-01-30","2025-02-08","497.26","1124.08","226.05","326","Kept"
"PTP-000114","C0037","Westbrook Builders","High","Contractor","Tomas Okafor","2025-01-28","2025-02-08","4827.34","4891.07","101.32","326","Kept"
"PTP-000118","C0073","Lakeshore Manufacturing","High","OEM Manufacturer","Priya Natarajan","2025-02-01","2025-02-09","9710.10","13241.80","136.37","325","Kept"
"PTP-000117","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-02-01","2025-02-09","1881.48","4582.62","243.56","325","Kept"
"PTP-000120","C0131","Bluewater Mechanical","High","Contractor","Tomas Okafor","2025-01-29","2025-02-09","3049.82","3359.07","110.14","325","Kept"
"PTP-000119","C0087","Riverbend Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-01-30","2025-02-09","893.79","1946.85","217.82","325","Kept"
"PTP-000121","C0194","Riverbend Mechanical - Southeast","Medium","Contractor","Priya Natarajan","2025-02-01","2025-02-09","5030.09","6597.34","131.16","325","Kept"
"PTP-000122","C0311","Bluewater University Facilities","Low","Institutional","Tomas Okafor","2025-02-02","2025-02-09","5124.35","6561.92","128.05","325","Kept"
"PTP-000123","C0370","Cedar Ridge Construction - West 4","Low","Contractor","Tomas Okafor","2025-02-04","2025-02-09","862.78","902.01","104.55","325","Kept"
"PTP-000127","C0217","Apex Contracting - Southeast","Low","Contractor","Tomas Okafor","2025-02-06","2025-02-10","753.46","806.81","107.08","324","Kept"
"PTP-000124","C0100","Stonegate University Facilities - Southeast","Low","Institutional","Marcus Bell","2025-01-30","2025-02-10","3604.98","3709.11","102.89","324","Kept"
"PTP-000125","C0142","Riverbend Mechanical","Low","Contractor","Tomas Okafor","2025-02-04","2025-02-10","5153.86","5675.40","110.12","324","Kept"
"PTP-000126","C0163","Keystone Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-02-07","2025-02-10","4017.68","12124.32","301.77","324","Kept"
"PTP-000128","C0275","Cedar Ridge Machine Works - Southwest","High","OEM Manufacturer","Priya Natarajan","2025-01-29","2025-02-11","8052.51","9389.65","116.61","323","Kept"
"PTP-000129","C0384","Riverbend Industries - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-01-29","2025-02-11","6651.74","9280.05","139.51","323","Kept"
"PTP-000132","C0334","Titan Fabrication - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-02-08","2025-02-12","2868.12","5127.83","178.79","322","Kept"
"PTP-000131","C0139","Harbor Machine Works","Medium","OEM Manufacturer","Priya Natarajan","2025-01-29","2025-02-12","4801.17","35127.46","731.64","322","Kept"
"PTP-000130","C0067","Cedar Ridge Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-02-02","2025-02-12","1575.78","1671.34","106.06","322","Kept"
"PTP-000133","C0001","Silverline MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-02-02","2025-02-13","607.03","636.42","104.84","321","Kept"
"PTP-000134","C0225","Titan Parts & Service","High","MRO Reseller","Sam Horowitz","2025-02-09","2025-02-13","489.81","2244.59","458.26","321","Kept"
"PTP-000135","C0355","Oakmont University Facilities","Low","Institutional","Elena Ruiz","2025-02-04","2025-02-13","1196.96","1275.88","106.59","321","Kept"
"PTP-000138","C0236","Northfield Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-02-05","2025-02-14","3567.88","3589.92","100.62","320","Kept"
"PTP-000136","C0086","Crestview Contracting - Southeast","Medium","Contractor","Tomas Okafor","2025-02-07","2025-02-14","943.34","2613.43","277.04","320","Kept"
"PTP-000137","C0132","Keystone Contracting","High","Contractor","Tomas Okafor","2025-02-06","2025-02-14","422.14","0.00","0.00","320","Broken"
"PTP-000139","C0018","Redline Industries","Low","OEM Manufacturer","Marcus Bell","2025-02-04","2025-02-15","4257.03","10691.43","251.15","319","Kept"
"PTP-000140","C0026","Northfield Components","Low","OEM Manufacturer","Priya Natarajan","2025-02-12","2025-02-15","6314.76","25392.84","402.12","319","Kept"
"PTP-000141","C0032","Cedar Ridge Components","Low","OEM Manufacturer","Marcus Bell","2025-02-07","2025-02-15","4233.15","4654.03","109.94","319","Kept"
"PTP-000142","C0382","Summit Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-02-04","2025-02-15","11777.67","12516.90","106.28","319","Kept"
"PTP-000145","C0385","Cedar Ridge Maintenance Supply - Southeast","Medium","MRO Reseller","Grace Lindqvist","2025-02-06","2025-02-16","730.89","745.31","101.97","318","Kept"
"PTP-000143","C0136","Crestview Industrial Supply - West","High","MRO Reseller","Grace Lindqvist","2025-02-09","2025-02-16","1599.03","1772.25","110.83","318","Kept"
"PTP-000144","C0271","Riverbend Electric - Midwest 3","High","Contractor","Elena Ruiz","2025-02-02","2025-02-16","3073.77","0.00","0.00","318","Broken"
"PTP-000147","C0038","Summit Fabrication","High","OEM Manufacturer","Priya Natarajan","2025-02-04","2025-02-17","2941.10","3164.76","107.60","317","Kept"
"PTP-000146","C0025","Oakmont County Facilities","Low","Institutional","Elena Ruiz","2025-02-11","2025-02-17","7702.97","8388.14","108.89","317","Kept"
"PTP-000149","C0381","Redline Electric","Medium","Contractor","Elena Ruiz","2025-02-04","2025-02-17","1233.16","1356.35","109.99","317","Kept"
"PTP-000148","C0360","Bluewater Medical Center - Northeast","Medium","Institutional","Marcus Bell","2025-02-09","2025-02-17","5361.82","6950.15","129.62","317","Kept"
"PTP-000152","C0356","Stonegate University Facilities - Midwest 3","Low","Institutional","Elena Ruiz","2025-02-13","2025-02-18","3388.32","5127.53","151.33","316","Kept"
"PTP-000153","C0384","Riverbend Industries - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-02-06","2025-02-18","10574.76","10936.58","103.42","316","Kept"
"PTP-000154","C0387","Apex Industrial Supply - Southeast","Medium","MRO Reseller","Sam Horowitz","2025-02-13","2025-02-18","764.38","1437.59","188.07","316","Kept"
"PTP-000150","C0061","Riverbend Industries","Low","OEM Manufacturer","Marcus Bell","2025-02-13","2025-02-18","12021.53","18540.57","154.23","316","Kept"
"PTP-000151","C0109","Frontier Builders","Medium","Contractor","Tomas Okafor","2025-02-14","2025-02-18","3891.68","4222.68","108.51","316","Kept"
"PTP-000155","C0111","Harbor Manufacturing","Medium","OEM Manufacturer","Marcus Bell","2025-02-15","2025-02-19","1653.06","1740.37","105.28","315","Kept"
"PTP-000156","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-01-31","2025-02-20","2761.78","0.00","0.00","314","Broken"
"PTP-000159","C0106","Cedar Ridge Industrial Supply - Midwest","Low","MRO Reseller","Grace Lindqvist","2025-02-16","2025-02-22","2350.45","2385.06","101.47","312","Kept"
"PTP-000158","C0088","Westbrook Builders - West","High","Contractor","Elena Ruiz","2025-02-11","2025-02-22","2826.64","2955.62","104.56","312","Kept"
"PTP-000160","C0169","Apex Components","Medium","OEM Manufacturer","Marcus Bell","2025-02-09","2025-02-22","7516.49","9291.63","123.62","312","Kept"
"PTP-000157","C0006","Pioneer Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-02-14","2025-02-22","1444.17","5014.46","347.22","312","Kept"
"PTP-000161","C0389","Ironbridge Components - Southeast","Medium","OEM Manufacturer","Marcus Bell","2025-02-12","2025-02-22","6922.70","19908.72","287.59","312","Kept"
"PTP-000162","C0400","Titan Supply Co. - Southeast 3","Low","MRO Reseller","Sam Horowitz","2025-02-20","2025-02-22","3654.63","3995.87","109.34","312","Kept"
"PTP-000163","C0073","Lakeshore Manufacturing","High","OEM Manufacturer","Priya Natarajan","2025-02-11","2025-02-23","5293.65","5773.61","109.07","311","Kept"
"PTP-000164","C0100","Stonegate University Facilities - Southeast","Low","Institutional","Marcus Bell","2025-02-14","2025-02-23","3428.99","3536.39","103.13","311","Kept"
"PTP-000166","C0200","Harbor Mechanical","High","Contractor","Tomas Okafor","2025-02-14","2025-02-23","6906.31","7335.79","106.22","311","Kept"
"PTP-000165","C0186","Redline Parts & Service - Northeast","Low","MRO Reseller","Grace Lindqvist","2025-02-17","2025-02-23","3182.60","3243.66","101.92","311","Kept"
"PTP-000167","C0351","Ironbridge Components","High","OEM Manufacturer","Priya Natarajan","2025-02-10","2025-02-23","13675.44","13853.65","101.30","311","Kept"
"PTP-000173","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-02-04","2025-02-24","688.31","0.00","0.00","310","Broken"
"PTP-000172","C0261","Stonegate Maintenance Supply","Low","MRO Reseller","Sam Horowitz","2025-02-20","2025-02-24","2061.07","5905.14","286.51","310","Kept"
"PTP-000170","C0248","Lakeshore Contracting - Midwest","Medium","Contractor","Tomas Okafor","2025-02-20","2025-02-24","3613.87","3696.82","102.30","310","Kept"
"PTP-000171","C0253","Summit Industrial Supply","High","MRO Reseller","Sam Horowitz","2025-02-13","2025-02-24","1520.06","6397.56","420.88","310","Kept"
"PTP-000169","C0087","Riverbend Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-02-19","2025-02-24","4352.20","4380.28","100.65","310","Kept"
"PTP-000168","C0031","Stonegate Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-02-18","2025-02-24","2652.68","14815.89","558.53","310","Kept"
"PTP-000174","C0132","Keystone Contracting","High","Contractor","Tomas Okafor","2025-01-31","2025-02-25","2062.13","0.00","0.00","309","Broken"
