"PriorityRank","CollectorRank","CustomerID","CustomerName","Segment","Region","RiskTier","CollectorID","CollectorName","Team","TermsCode","OpenBalance","PastDueBalance","Balance90Plus","DisputedBalance","WeightedExposure","DisputedWeightedExposure","CollectableExposure","NetCollectablePosition","IsFullyOffsetByCash","OldestDaysPastDue","CreditUtilizationPct","AvgDaysLateHistoric","UnappliedCash","NetExposure","BrokenPromises90d","ActionCode","CreditHoldFlag","IsTodaysWorklist","RecommendedAction"
"11","4","C0132","Keystone Contracting","Contractor","West","High","COL-04","Tomas Okafor","Commercial","NET60","84970.22","41199.26","9337.53","0.00","25099.35","0.00","25099.35","25099.35","0","122","80.92","24.2","0.00","84970.22","10","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"12","4","C0094","Bluewater Industries - Southeast","OEM Manufacturer","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","125485.34","87648.64","0.00","17811.56","27862.93","4216.65","24700.44","24700.44","0","69","23.46","58.6","0.00","125485.34","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"13","5","C0364","Redline Industries - Northeast","OEM Manufacturer","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","152726.53","58576.86","0.00","0.00","21504.84","0.00","21504.84","21504.84","0","44","45.59","55.7","0.00","152726.53","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"14","2","C0164","Lakeshore Fabrication","OEM Manufacturer","Southwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","127031.86","51164.87","0.00","15908.30","20707.50","0.00","20707.50","20707.50","0","47","52.93","67.8","0.00","127031.86","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"15","6","C0255","Riverbend Fabrication","OEM Manufacturer","Southwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","90154.01","52664.06","0.00","9987.40","15834.62","2496.85","13961.98","13961.98","0","47","36.80","59.9","0.00","90154.01","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"16","3","C0275","Cedar Ridge Machine Works - Southwest","OEM Manufacturer","Southwest","High","COL-01","Priya Natarajan","Strategic Accounts","NET60","159690.80","50936.25","0.00","0.00","12734.06","0.00","12734.06","12734.06","0","18","29.85","24.1","0.00","159690.80","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"17","5","C0277","Lakeshore Construction - West","Contractor","West","High","COL-04","Tomas Okafor","Commercial","2/10NET30","24570.62","16849.82","8126.02","0.00","12487.92","0.00","12487.92","12487.92","0","111","98.28","9.2","0.00","24570.62","1","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"18","4","C0042","Bluewater Industries","OEM Manufacturer","Southwest","High","COL-01","Priya Natarajan","Strategic Accounts","NET60","93887.29","53541.39","3658.04","0.00","16128.88","0.00","12470.84","12470.84","0","502","26.45","24.4","3658.04","90229.25","0","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"19","5","C0074","Frontier Fabrication","OEM Manufacturer","Southeast","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","116620.23","44023.40","0.00","11224.60","11005.85","0.00","11005.85","11005.85","0","4","19.44","15.5","0.00","116620.23","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"20","7","C0359","Stonegate Fabrication - West","OEM Manufacturer","West","High","COL-02","Marcus Bell","Strategic Accounts","NET60","75601.21","47161.13","3522.98","0.00","14432.52","0.00","10909.54","10909.54","0","277","19.90","21.6","3522.98","72078.23","0","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"21","6","C0329","Northfield School District - Midwest","Institutional","Midwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET90","65440.55","31983.14","0.00","0.00","7995.79","0.00","7995.79","7995.79","0","24","28.45","19.4","0.00","65440.55","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"22","7","C0163","Keystone Fabrication","OEM Manufacturer","Midwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET60","93975.84","36293.49","6170.49","9126.86","13701.24","0.00","7530.75","7530.75","0","102","15.66","12.5","6170.49","87805.35","1","FINAL_NOTICE","0","1","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"23","8","C0048","Stonegate Industries","OEM Manufacturer","Northeast","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","78932.51","29973.52","1838.06","0.00","8871.93","0.00","7033.87","7033.87","0","185","19.02","14.5","1838.06","77094.45","0","FINAL_NOTICE","0","1","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"24","8","C0377","Northfield Machine Works","OEM Manufacturer","West","High","COL-02","Marcus Bell","Strategic Accounts","NET60","50863.84","21628.98","0.00","16359.42","6762.21","0.00","6762.21","6762.21","0","33","31.79","23.6","0.00","50863.84","0","RESOLVE_DISPUTE","0","1","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"25","9","C0279","Ironbridge Medical Center - Northeast","Institutional","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET90","44688.48","25939.03","0.00","0.00","6484.76","0.00","6484.76","6484.76","0","20","28.83","20.0","0.00","44688.48","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"26","9","C0226","Lakeshore Industries","OEM Manufacturer","Midwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET60","72568.38","26820.84","4228.56","1692.77","10043.11","0.00","5814.55","5814.55","0","278","17.70","12.9","4228.56","68339.82","0","FINAL_NOTICE","0","1","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"27","10","C0231","Silverline Components - Northeast","OEM Manufacturer","Northeast","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET60","61259.17","19774.86","0.00","0.00","5618.91","0.00","5618.91","5618.91","0","37","20.08","11.8","0.00","61259.17","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"28","11","C0190","Harbor Fabrication","OEM Manufacturer","West","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","103438.85","34815.87","12428.36","0.00","18025.24","0.00","5596.88","5596.88","0","656","17.83","11.8","12428.36","91010.49","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"29","10","C0349","Granite Manufacturing","OEM Manufacturer","Northeast","High","COL-02","Marcus Bell","Strategic Accounts","NET60","125695.79","49623.92","13478.79","11376.55","22763.21","0.00","5487.97","5487.97","0","289","25.65","22.8","17275.24","108420.55","0","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"30","12","C0079","Cedar Ridge Machine Works","OEM Manufacturer","West","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","85429.68","20528.43","5393.12","0.00","10177.45","0.00","4784.33","4784.33","0","128","15.39","4.6","5393.12","80036.56","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"31","4","C0088","Westbrook Builders - West","Contractor","West","High","COL-03","Elena Ruiz","Commercial","NET60","41775.73","14282.11","0.00","0.00","4395.41","0.00","4395.41","4395.41","0","47","28.81","22.7","0.00","41775.73","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"32","13","C0068","Harbor Industries","OEM Manufacturer","Southwest","High","COL-01","Priya Natarajan","Strategic Accounts","NET60","150420.44","32505.92","8694.91","6072.76","15517.17","0.00","4212.18","4212.18","0","471","25.07","22.5","11304.99","139115.45","0","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"33","11","C0121","Apex Manufacturing","OEM Manufacturer","Midwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","68171.58","15767.53","0.00","0.00","3941.88","0.00","3941.88","3941.88","0","5","17.71","7.3","0.00","68171.58","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"34","12","C0201","Titan Machine Works","OEM Manufacturer","Southwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","98989.55","19830.90","0.00","12695.10","6176.09","3173.78","3795.76","3795.76","0","44","18.86","6.9","0.00","98989.55","1","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"35","14","C0206","Oakmont Manufacturing","OEM Manufacturer","Southeast","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET60","84060.86","20774.67","5843.74","2945.97","9576.47","0.00","3732.73","3732.73","0","477","14.25","14.0","5843.74","78217.12","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"36","15","C0038","Summit Fabrication","OEM Manufacturer","Northeast","High","COL-01","Priya Natarajan","Strategic Accounts","NET45","77044.35","18633.09","4494.00","0.00","8028.77","0.00","3534.77","3534.77","0","268","17.92","26.5","4494.00","72550.35","0","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"37","16","C0056","Northfield Components - Southwest","OEM Manufacturer","Southwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET60","70100.92","14025.85","0.00","0.00","3506.46","0.00","3506.46","3506.46","0","3","29.21","12.8","0.00","70100.92","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"38","13","C0153","Redline Water Authority","Institutional","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET90","18148.57","6941.34","0.00","0.00","3470.67","0.00","3470.67","3470.67","0","31","9.07","24.1","0.00","18148.57","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"39","17","C0063","Oakmont Medical Center","Institutional","Midwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET90","31260.66","12913.50","0.00","0.00","3228.38","0.00","3228.38","3228.38","0","9","14.89","23.5","0.00","31260.66","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"40","5","C0158","Frontier Mechanical","Contractor","Southeast","High","COL-03","Elena Ruiz","Commercial","NET30","30720.72","11665.34","0.00","6161.75","3197.40","0.00","3197.40","3197.40","0","33","30.72","26.2","0.00","30720.72","0","RESOLVE_DISPUTE","0","1","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"41","6","C0399","Riverbend Electric - West 5","Contractor","West","Medium","COL-03","Elena Ruiz","Commercial","NET60","44168.19","12244.51","0.00","0.00","3141.64","0.00","3141.64","3141.64","0","33","40.15","13.2","0.00","44168.19","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"42","6","C0023","Harbor Builders","Contractor","West","High","COL-04","Tomas Okafor","Commercial","NET60","45615.67","14979.10","1085.45","1850.58","4558.86","462.65","3126.42","3126.42","0","157","38.01","20.9","1085.45","44530.22","0","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"43","14","C0050","Redline University Facilities","Institutional","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","17260.25","12347.69","0.00","0.00","3086.92","0.00","3086.92","3086.92","0","16","8.85","23.2","0.00","17260.25","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"44","18","C0378","Silverline Fabrication - Southwest","OEM Manufacturer","Southwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","120937.72","26147.37","10190.22","4987.02","14179.51","1246.76","3054.22","3054.22","0","683","20.67","12.9","10190.22","110747.50","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"45","7","C0129","Northfield Builders","Contractor","Northeast","Medium","COL-03","Elena Ruiz","Commercial","NET30","4038.23","4038.23","0.00","0.00","3028.67","0.00","3028.67","3028.67","0","62","3.51","11.2","0.00","4038.23","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"46","7","C0191","Bluewater Builders - Midwest","Contractor","Midwest","High","COL-04","Tomas Okafor","Commercial","NET30","19334.33","11567.79","0.00","0.00","2891.95","0.00","2891.95","2891.95","0","14","42.97","28.7","0.00","19334.33","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"47","15","C0009","Ironbridge Fabrication","OEM Manufacturer","Northeast","Medium","COL-02","Marcus Bell","Strategic Accounts","NET45","155363.14","15639.43","3054.07","1625.91","6200.41","406.48","2841.48","2841.48","0","207","26.33","13.2","3054.07","152309.07","1","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"48","19","C0073","Lakeshore Manufacturing","OEM Manufacturer","Northeast","High","COL-01","Priya Natarajan","Strategic Accounts","NET45","70006.17","11214.84","0.00","0.00","2803.71","0.00","2803.71","2803.71","0","10","23.34","24.6","0.00","70006.17","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"49","1","C0333","Oakmont Maintenance Supply - Southwest","MRO Reseller","Southwest","Medium","COL-05","Grace Lindqvist","Small Business","NET30","7492.13","4052.41","0.00","0.00","2733.93","0.00","2733.93","2733.93","0","76","9.99","14.1","0.00","7492.13","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"50","16","C0146","Harbor Components","OEM Manufacturer","West","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","35409.29","10508.22","0.00","0.00","2627.06","0.00","2627.06","2627.06","0","3","21.46","6.5","0.00","35409.29","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"51","8","C0254","Pioneer Medical Center - West","Institutional","West","Low","COL-03","Elena Ruiz","Commercial","NET90","24404.75","10466.03","0.00","0.00","2616.51","0.00","2616.51","2616.51","0","3","25.69","24.2","0.00","24404.75","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"52","17","C0165","Northfield School District","Institutional","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","22083.31","10400.54","0.00","0.00","2600.14","0.00","2600.14","2600.14","0","16","14.72","19.7","0.00","22083.31","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"53","9","C0212","Westbrook Mechanical - Northeast","Contractor","Northeast","Medium","COL-03","Elena Ruiz","Commercial","2/10NET30","14824.21","9094.98","0.00","0.00","2581.02","0.00","2581.02","2581.02","0","40","13.48","-8.1","0.00","14824.21","1","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"54","8","C0306","Apex Builders - Southwest 3","Contractor","Southwest","Low","COL-04","Tomas Okafor","Commercial","NET60","33086.43","7426.30","0.00","0.00","2509.96","0.00","2509.96","2509.96","0","39","36.76","7.4","0.00","33086.43","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"55","20","C0296","Crestview Manufacturing","OEM Manufacturer","Midwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","76511.53","9520.63","0.00","1678.33","2380.16","0.00","2380.16","2380.16","0","13","12.97","13.2","0.00","76511.53","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"56","1","C0253","Summit Industrial Supply","MRO Reseller","Southwest","High","COL-06","Sam Horowitz","Small Business","NET30","14636.57","9517.76","0.00","0.00","2379.44","0.00","2379.44","2379.44","0","20","26.61","22.2","0.00","14636.57","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"57","9","C0103","Northfield Electric","Contractor","Southeast","Medium","COL-04","Tomas Okafor","Commercial","NET30","19853.54","15673.92","0.00","8212.75","3918.48","2053.19","2378.59","2378.59","0","10","17.26","16.7","0.00","19853.54","0","RESOLVE_DISPUTE","0","1","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"58","10","C0228","Granite School District","Institutional","Southeast","Low","COL-04","Tomas Okafor","Commercial","NET60","19661.54","9480.86","0.00","0.00","2370.22","0.00","2370.22","2370.22","0","5","17.87","19.2","0.00","19661.54","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"59","21","C0005","Lakeshore Medical Center","Institutional","West","Low","COL-01","Priya Natarajan","Strategic Accounts","NET90","25208.86","9137.02","0.00","0.00","2284.26","0.00","2284.26","2284.26","0","28","12.93","18.9","0.00","25208.86","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"60","22","C0353","Summit Mechanical - Southwest 3","Contractor","Southwest","High","COL-01","Priya Natarajan","Strategic Accounts","2/10NET30","15991.27","9114.77","0.00","0.00","2278.69","0.00","2278.69","2278.69","0","11","10.66","9.2","0.00","15991.27","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"61","10","C0108","Cedar Ridge Construction - Southeast","Contractor","Southeast","Medium","COL-03","Elena Ruiz","Commercial","NET30","37193.18","9003.44","0.00","0.00","2250.86","0.00","2250.86","2250.86","0","12","27.55","11.8","0.00","37193.18","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"62","11","C0216","Bluewater Construction - West","Contractor","West","Medium","COL-04","Tomas Okafor","Commercial","NET60","25660.94","8427.02","0.00","0.00","2228.32","0.00","2228.32","2228.32","0","36","64.15","14.2","0.00","25660.94","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"63","12","C0210","Harbor Construction - Southwest","Contractor","Southwest","Low","COL-04","Tomas Okafor","Commercial","NET60","34035.98","12020.78","3195.97","0.00","5402.17","0.00","2206.20","2206.20","0","507","42.54","5.7","3195.97","30840.01","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"64","18","C0018","Redline Industries","OEM Manufacturer","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","117153.76","4336.31","0.00","10110.17","2168.16","0.00","2168.16","2168.16","0","32","26.93","3.7","0.00","117153.76","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"65","19","C0360","Bluewater Medical Center - Northeast","Institutional","Northeast","Medium","COL-02","Marcus Bell","Strategic Accounts","NET90","42547.70","8463.43","0.00","0.00","2115.86","0.00","2115.86","2115.86","0","1","26.59","23.5","0.00","42547.70","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"66","2","C0367","Bluewater Parts & Service - Southeast 5","MRO Reseller","Southeast","Medium","COL-06","Sam Horowitz","Small Business","2/10NET30","20878.73","9622.59","0.00","5443.51","2796.55","939.32","2092.06","2092.06","0","41","19.88","-0.5","0.00","20878.73","0","RESOLVE_DISPUTE","0","1","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"67","2","C0338","Crestview Supply Co. - Southeast","MRO Reseller","Southeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","15244.85","8299.14","0.00","0.00","2074.79","0.00","2074.79","2074.79","0","11","30.49","14.0","0.00","15244.85","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"68","11","C0355","Oakmont University Facilities","Institutional","Midwest","Low","COL-03","Elena Ruiz","Commercial","NET60","27521.64","7767.59","0.00","0.00","1941.90","0.00","1941.90","1941.90","0","5","26.21","19.2","0.00","27521.64","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"69","3","C0087","Riverbend Maintenance Supply","MRO Reseller","Southeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","21068.37","9292.57","0.00","5979.27","2535.72","796.53","1938.32","1938.32","0","33","22.18","16.9","0.00","21068.37","0","RESOLVE_DISPUTE","0","1","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"70","20","C0111","Harbor Manufacturing","OEM Manufacturer","West","Medium","COL-02","Marcus Bell","Strategic Accounts","NET45","90049.99","15046.40","0.00","10462.36","3761.60","2615.59","1799.91","1799.91","0","13","22.23","11.3","0.00","90049.99","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"71","21","C0101","Redline University Facilities - Northeast","Institutional","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","19759.29","7158.44","0.00","0.00","1789.61","0.00","1789.61","1789.61","0","19","10.98","18.7","0.00","19759.29","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"72","23","C0273","Oakmont Fabrication","OEM Manufacturer","Southeast","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","48609.28","12807.43","0.00","9223.11","3493.07","2305.78","1763.74","1763.74","0","90","12.31","14.8","0.00","48609.28","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"73","22","C0095","Stonegate Fabrication","OEM Manufacturer","West","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","155416.91","40638.24","21587.89","16123.50","26350.48","4030.88","1739.43","1739.43","0","618","25.90","5.5","21587.89","133829.02","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"74","12","C0004","Ironbridge Mechanical","Contractor","Northeast","Medium","COL-03","Elena Ruiz","Commercial","2/10NET30","28709.04","6823.17","0.00","0.00","1705.79","0.00","1705.79","1705.79","0","12","21.27","-0.8","0.00","28709.04","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"75","4","C0341","Summit Supply Co. - Southeast","MRO Reseller","Southeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","16304.50","7583.46","0.00","1069.35","1895.87","267.34","1695.37","1695.37","0","20","14.82","11.8","0.00","16304.50","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"76","24","C0154","Frontier University Facilities - Southeast","Institutional","Southeast","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET60","18051.85","6695.63","0.00","0.00","1673.91","0.00","1673.91","1673.91","0","5","11.28","30.4","0.00","18051.85","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"77","5","C0167","Lakeshore MRO Services","MRO Reseller","Northeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","9170.44","6656.44","0.00","0.00","1664.11","0.00","1664.11","1664.11","0","13","10.79","11.6","0.00","9170.44","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"78","13","C0200","Harbor Mechanical","Contractor","Southwest","High","COL-04","Tomas Okafor","Commercial","NET60","27292.95","6581.77","0.00","0.00","1645.44","0.00","1645.44","1645.44","0","11","30.33","21.8","0.00","27292.95","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"79","14","C0208","Keystone University Facilities","Institutional","Southwest","Low","COL-04","Tomas Okafor","Commercial","NET90","25450.39","6497.77","0.00","0.00","1624.44","0.00","1624.44","1624.44","0","6","26.79","19.6","0.00","25450.39","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"80","6","C0245","Ironbridge Industrial Supply - West","MRO Reseller","West","High","COL-05","Grace Lindqvist","Small Business","2/10NET30","10633.42","6573.68","0.00","1521.65","1899.75","380.41","1614.44","1614.44","0","34","12.51","17.8","0.00","10633.42","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"81","25","C0361","Titan University Facilities - Midwest","Institutional","Midwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET90","24658.59","6000.40","0.00","0.00","1500.10","0.00","1500.10","1500.10","0","14","14.94","22.7","0.00","24658.59","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"82","26","C0283","Apex Industries","OEM Manufacturer","Midwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","92573.02","8147.59","2194.90","0.00","3683.07","0.00","1488.17","1488.17","0","100","23.74","4.0","2194.90","90378.12","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
