"BuildID","BuildNumber","BuildDate","IsReleaseCandidate","SubsystemCode","SubsystemName","LinesChanged"
"B-025","25","2025-06-23","0","FLT-CTRL","Flight Control Interface","680"
"B-025","25","2025-06-23","0","GND-CTRL","Ground Control Software","907"
"B-025","25","2025-06-23","0","NAV-SENS","Navigation & Sensor Fusion","895"
"B-025","25","2025-06-23","0","PWR-MGMT","Power Management","370"
"B-026","26","2025-06-30","0","DIAG-LOG","Diagnostics & Logging","35"
"B-026","26","2025-06-30","0","GND-CTRL","Ground Control Software","582"
"B-026","26","2025-06-30","0","REL-MECH","Payload Release Mechanism","822"
"B-027","27","2025-07-07","0","COMM-LNK","Command & Telemetry Link","498"
"B-027","27","2025-07-07","0","DIAG-LOG","Diagnostics & Logging","555"
"B-027","27","2025-07-07","0","NAV-SENS","Navigation & Sensor Fusion","35"
"B-027","27","2025-07-07","0","REL-MECH","Payload Release Mechanism","385"
"B-028","28","2025-07-14","0","NAV-SENS","Navigation & Sensor Fusion","264"
"B-029","29","2025-07-21","0","COMM-LNK","Command & Telemetry Link","773"
"B-029","29","2025-07-21","0","FLT-CTRL","Flight Control Interface","331"
"B-030","30","2025-07-28","0","COMM-LNK","Command & Telemetry Link","868"
"B-030","30","2025-07-28","0","STRUCT-I","Structural Interface","494"
"B-031","31","2025-08-04","0","DIAG-LOG","Diagnostics & Logging","385"
"B-031","31","2025-08-04","0","GND-CTRL","Ground Control Software","283"
"B-031","31","2025-08-04","0","PWR-MGMT","Power Management","801"
"B-032","32","2025-08-11","0","COMM-LNK","Command & Telemetry Link","818"
"B-032","32","2025-08-11","0","REL-MECH","Payload Release Mechanism","722"
"B-033","33","2025-08-18","0","FLT-CTRL","Flight Control Interface","266"
"B-033","33","2025-08-18","0","GND-CTRL","Ground Control Software","781"
"B-033","33","2025-08-18","0","STRUCT-I","Structural Interface","90"
"B-034","34","2025-08-25","0","FLT-CTRL","Flight Control Interface","685"
"B-034","34","2025-08-25","0","GND-CTRL","Ground Control Software","97"
"B-035","35","2025-09-01","0","COMM-LNK","Command & Telemetry Link","440"
"B-035","35","2025-09-01","0","FLT-CTRL","Flight Control Interface","377"
"B-035","35","2025-09-01","0","STRUCT-I","Structural Interface","679"
"B-037","37","2025-09-15","0","FLT-CTRL","Flight Control Interface","488"
"B-037","37","2025-09-15","0","STRUCT-I","Structural Interface","210"
"B-038","38","2025-09-22","0","COMM-LNK","Command & Telemetry Link","605"
"B-038","38","2025-09-22","0","FLT-CTRL","Flight Control Interface","344"
"B-038","38","2025-09-22","0","GND-CTRL","Ground Control Software","527"
"B-038","38","2025-09-22","0","REL-MECH","Payload Release Mechanism","279"
"B-039","39","2025-09-29","0","REL-MECH","Payload Release Mechanism","102"
"B-040","40","2025-10-06","0","NAV-SENS","Navigation & Sensor Fusion","27"
"B-040","40","2025-10-06","0","REL-MECH","Payload Release Mechanism","795"
"B-041","41","2025-10-13","0","COMM-LNK","Command & Telemetry Link","699"
"B-041","41","2025-10-13","0","FLT-CTRL","Flight Control Interface","283"
"B-042","42","2025-10-20","0","COMM-LNK","Command & Telemetry Link","507"
"B-042","42","2025-10-20","0","NAV-SENS","Navigation & Sensor Fusion","266"
"B-043","43","2025-10-27","0","COMM-LNK","Command & Telemetry Link","368"
"B-043","43","2025-10-27","0","PWR-MGMT","Power Management","73"
"B-043","43","2025-10-27","0","REL-MECH","Payload Release Mechanism","683"
"B-043","43","2025-10-27","0","STRUCT-I","Structural Interface","28"
"B-044","44","2025-11-03","0","COMM-LNK","Command & Telemetry Link","852"
"B-044","44","2025-11-03","0","FLT-CTRL","Flight Control Interface","609"
"B-044","44","2025-11-03","0","PWR-MGMT","Power Management","165"
"B-044","44","2025-11-03","0","STRUCT-I","Structural Interface","685"
"B-045","45","2025-11-10","0","NAV-SENS","Navigation & Sensor Fusion","722"
"B-045","45","2025-11-10","0","REL-MECH","Payload Release Mechanism","803"
"B-046","46","2025-11-17","0","DIAG-LOG","Diagnostics & Logging","551"
"B-046","46","2025-11-17","0","FLT-CTRL","Flight Control Interface","301"
"B-046","46","2025-11-17","0","NAV-SENS","Navigation & Sensor Fusion","620"
"B-046","46","2025-11-17","0","REL-MECH","Payload Release Mechanism","154"
"B-047","47","2025-11-24","0","DIAG-LOG","Diagnostics & Logging","251"
"B-047","47","2025-11-24","0","NAV-SENS","Navigation & Sensor Fusion","187"
"B-048","48","2025-12-01","0","DIAG-LOG","Diagnostics & Logging","174"
"B-049","49","2025-12-08","0","COMM-LNK","Command & Telemetry Link","652"
"B-049","49","2025-12-08","0","DIAG-LOG","Diagnostics & Logging","435"
"B-049","49","2025-12-08","0","FLT-CTRL","Flight Control Interface","256"
"B-050","50","2025-12-15","0","NAV-SENS","Navigation & Sensor Fusion","669"
"B-051","51","2025-12-22","0","FLT-CTRL","Flight Control Interface","769"
"B-052","52","2025-12-29","0","NAV-SENS","Navigation & Sensor Fusion","464"
"B-052","52","2025-12-29","0","STRUCT-I","Structural Interface","518"
"B-053","53","2026-01-05","0","COMM-LNK","Command & Telemetry Link","378"
"B-053","53","2026-01-05","0","FLT-CTRL","Flight Control Interface","810"
"B-053","53","2026-01-05","0","PWR-MGMT","Power Management","273"
"B-054","54","2026-01-12","0","COMM-LNK","Command & Telemetry Link","735"
"B-054","54","2026-01-12","0","GND-CTRL","Ground Control Software","716"
"B-055","55","2026-01-19","0","GND-CTRL","Ground Control Software","271"
"B-056","56","2026-01-26","0","NAV-SENS","Navigation & Sensor Fusion","317"
"B-057","57","2026-02-02","0","COMM-LNK","Command & Telemetry Link","782"
"B-057","57","2026-02-02","0","PWR-MGMT","Power Management","881"
"B-058","58","2026-02-09","0","FLT-CTRL","Flight Control Interface","764"
"B-058","58","2026-02-09","0","REL-MECH","Payload Release Mechanism","130"
"B-059","59","2026-02-16","0","COMM-LNK","Command & Telemetry Link","104"
"B-059","59","2026-02-16","0","GND-CTRL","Ground Control Software","862"
"B-060","60","2026-02-23","0","COMM-LNK","Command & Telemetry Link","917"
"B-060","60","2026-02-23","0","FLT-CTRL","Flight Control Interface","707"
"B-060","60","2026-02-23","0","NAV-SENS","Navigation & Sensor Fusion","712"
"B-060","60","2026-02-23","0","REL-MECH","Payload Release Mechanism","155"
"B-060","60","2026-02-23","0","STRUCT-I","Structural Interface","187"
"B-061","61","2026-03-02","0","GND-CTRL","Ground Control Software","598"
"B-061","61","2026-03-02","0","NAV-SENS","Navigation & Sensor Fusion","87"
"B-062","62","2026-03-09","0","FLT-CTRL","Flight Control Interface","50"
"B-062","62","2026-03-09","0","REL-MECH","Payload Release Mechanism","74"
"B-063","63","2026-03-16","0","DIAG-LOG","Diagnostics & Logging","202"
"B-063","63","2026-03-16","0","FLT-CTRL","Flight Control Interface","224"
"B-063","63","2026-03-16","0","GND-CTRL","Ground Control Software","47"
"B-063","63","2026-03-16","0","REL-MECH","Payload Release Mechanism","443"
"B-064","64","2026-03-23","0","REL-MECH","Payload Release Mechanism","393"
"B-065","65","2026-03-30","0","FLT-CTRL","Flight Control Interface","616"
"B-065","65","2026-03-30","0","REL-MECH","Payload Release Mechanism","566"
"B-066","66","2026-04-06","0","COMM-LNK","Command & Telemetry Link","909"
"B-066","66","2026-04-06","0","DIAG-LOG","Diagnostics & Logging","48"
"B-066","66","2026-04-06","0","FLT-CTRL","Flight Control Interface","714"
"B-066","66","2026-04-06","0","REL-MECH","Payload Release Mechanism","682"
"B-067","67","2026-04-13","0","DIAG-LOG","Diagnostics & Logging","249"
"B-068","68","2026-04-20","0","FLT-CTRL","Flight Control Interface","898"
"B-068","68","2026-04-20","0","REL-MECH","Payload Release Mechanism","106"
"B-069","69","2026-04-27","0","FLT-CTRL","Flight Control Interface","785"
"B-070","70","2026-05-04","0","FLT-CTRL","Flight Control Interface","624"
"B-070","70","2026-05-04","0","REL-MECH","Payload Release Mechanism","211"
"B-071","71","2026-05-11","0","FLT-CTRL","Flight Control Interface","765"
"B-071","71","2026-05-11","0","GND-CTRL","Ground Control Software","142"
"B-071","71","2026-05-11","0","REL-MECH","Payload Release Mechanism","733"
"B-071","71","2026-05-11","0","STRUCT-I","Structural Interface","563"
"B-072","72","2026-05-18","0","REL-MECH","Payload Release Mechanism","597"
"B-073","73","2026-05-25","0","REL-MECH","Payload Release Mechanism","610"
"B-074","74","2026-06-01","0","FLT-CTRL","Flight Control Interface","790"
"B-074","74","2026-06-01","0","REL-MECH","Payload Release Mechanism","343"
"B-075","75","2026-06-08","0","FLT-CTRL","Flight Control Interface","225"
"B-075","75","2026-06-08","0","REL-MECH","Payload Release Mechanism","810"
"B-076","76","2026-06-15","0","DIAG-LOG","Diagnostics & Logging","517"
"B-076","76","2026-06-15","0","FLT-CTRL","Flight Control Interface","638"
"B-076","76","2026-06-15","0","REL-MECH","Payload Release Mechanism","686"
"B-077","77","2026-06-22","0","FLT-CTRL","Flight Control Interface","166"
"B-077","77","2026-06-22","0","NAV-SENS","Navigation & Sensor Fusion","756"
"B-077","77","2026-06-22","0","REL-MECH","Payload Release Mechanism","749"
"B-078","78","2026-06-29","0","FLT-CTRL","Flight Control Interface","259"
"B-078","78","2026-06-29","0","REL-MECH","Payload Release Mechanism","434"
"B-079","79","2026-07-06","0","REL-MECH","Payload Release Mechanism","402"
"B-080","80","2026-07-13","0","DIAG-LOG","Diagnostics & Logging","550"
"B-080","80","2026-07-13","0","FLT-CTRL","Flight Control Interface","829"
"B-080","80","2026-07-13","0","NAV-SENS","Navigation & Sensor Fusion","670"
"B-080","80","2026-07-13","0","REL-MECH","Payload Release Mechanism","21"
"B-080","80","2026-07-13","0","STRUCT-I","Structural Interface","672"
"B-081","81","2026-07-20","0","FLT-CTRL","Flight Control Interface","394"
"B-082","82","2026-07-27","0","FLT-CTRL","Flight Control Interface","193"
"B-083","83","2026-08-03","0","FLT-CTRL","Flight Control Interface","759"
"B-083","83","2026-08-03","0","REL-MECH","Payload Release Mechanism","385"
"B-084","84","2026-08-10","0","FLT-CTRL","Flight Control Interface","493"
"B-085","85","2026-08-17","0","FLT-CTRL","Flight Control Interface","351"
"B-086","86","2026-08-24","0","REL-MECH","Payload Release Mechanism","787"
"B-087","87","2026-08-31","0","GND-CTRL","Ground Control Software","531"
"B-088","88","2026-09-07","1","FLT-CTRL","Flight Control Interface","582"
"B-088","88","2026-09-07","1","REL-MECH","Payload Release Mechanism","602"
