"RequirementID","Title","ReqType","Priority","SubsystemCode","SubsystemName","Criticality","MinTestLevel","RequiresIndependentTester","TotalCases","CasesWithRuns","PassingCases","BlockedCases","LastPassBuild","LastGoodBuild","PassingButUnderLevelled","PassingButSelfVerified","HasEvidence","MeetsPolicy","StaleByCode","StaleByRequirement","IsCurrent","VerificationState","InterveningBuilds","AsOfBuild"
"REQ-0104","The system shall provide structural interface behaviour case 104","Functional","ShouldShip","STRUCT-I","Structural Interface","Safety","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0105","The subsystem shall complete, within budget, diagnostics & logging behaviour case 105","Performance","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","HIL","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0106","The payload shall inhibit release when flight control interface behaviour case 106","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","2","2","2","0","42","42","0","0","1","1","1","0","0","Stale - subsystem changed","27","88"
"REQ-0107","The subsystem shall complete, within budget, ground control software behaviour case 107","Performance","ShouldShip","GND-CTRL","Ground Control Software","Support","HIL","0","3","3","3","0","69","69","0","0","1","1","1","0","0","Stale - subsystem changed","2","88"
"REQ-0108","The subsystem shall complete, within budget, structural interface behaviour case 108","Performance","Nice","STRUCT-I","Structural Interface","Safety","HIL","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0109","The payload shall inhibit release when payload release mechanism behaviour case 109","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","1","1","1","0","39","","1","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0110","The system shall provide command & telemetry link behaviour case 110","Functional","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0111","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 111","Performance","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0112","The system shall provide diagnostics & logging behaviour case 112","Functional","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","4","4","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0113","The system shall record, for certification, payload release mechanism behaviour case 113","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","Field","1","3","3","2","1","88","31","1","0","1","1","1","0","0","Stale - subsystem changed","29","88"
"REQ-0114","The system shall provide navigation & sensor fusion behaviour case 114","Functional","Nice","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","4","4","4","0","88","67","1","0","1","1","1","0","0","Stale - subsystem changed","2","88"
"REQ-0115","The system shall provide flight control interface behaviour case 115","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0116","The payload shall inhibit release when command & telemetry link behaviour case 116","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","1","4","4","3","0","88","","2","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0117","The subsystem shall complete, within budget, ground control software behaviour case 117","Performance","ShouldShip","GND-CTRL","Ground Control Software","Support","HIL","0","3","3","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0118","The system shall provide payload release mechanism behaviour case 118","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","2","2","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0119","The subsystem shall complete, within budget, power management behaviour case 119","Performance","Nice","PWR-MGMT","Power Management","Mission","HIL","0","3","3","2","1","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0120","The subsystem shall complete, within budget, flight control interface behaviour case 120","Performance","Nice","FLT-CTRL","Flight Control Interface","Safety","HIL","0","2","2","2","0","63","63","0","0","1","1","1","0","0","Stale - subsystem changed","18","88"
"REQ-0121","The interface shall exchange, without loss, ground control software behaviour case 121","Interface","ShouldShip","GND-CTRL","Ground Control Software","Support","Integration","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0122","The payload shall inhibit release when command & telemetry link behaviour case 122","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","1","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0123","The interface shall exchange, without loss, flight control interface behaviour case 123","Interface","Nice","FLT-CTRL","Flight Control Interface","Safety","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0124","The payload shall inhibit release when power management behaviour case 124","Safety","MustShip","PWR-MGMT","Power Management","Mission","HIL","1","1","1","1","0","88","","0","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0125","The interface shall exchange, without loss, flight control interface behaviour case 125","Interface","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0126","The subsystem shall complete, within budget, command & telemetry link behaviour case 126","Performance","Nice","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","4","4","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0127","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 127","Performance","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0128","The system shall provide payload release mechanism behaviour case 128","Functional","Nice","REL-MECH","Payload Release Mechanism","Safety","Integration","0","3","3","3","0","49","49","1","0","1","1","1","0","0","Stale - subsystem changed","22","88"
"REQ-0129","The subsystem shall complete, within budget, flight control interface behaviour case 129","Performance","Nice","FLT-CTRL","Flight Control Interface","Safety","HIL","0","3","3","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0130","The system shall provide ground control software behaviour case 130","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0131","The interface shall exchange, without loss, power management behaviour case 131","Interface","Nice","PWR-MGMT","Power Management","Mission","Integration","0","1","1","1","0","46","46","0","0","1","1","1","0","0","Stale - subsystem changed","2","88"
