"PONumber","PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","IsSingleSource","VendorID","VendorName","Country","VendorTier","LumenRevenueSharePct","BuyerID","BuyerName","Team","OrderDate","PromisedDate","OrderYear","OrderYearMonth","OrderQty","UnitPrice","FreightAmount","ExpediteFee","IsExpedited","ExtendedPrice","LandedCost","AgreementNo","ContractedUnitPrice","AgreementsInForce","IsOnContract","PPVAmount","ContractedExtended","QtyReceived","QtyAccepted","QtyRejected","Receipts","IsReceived","AcceptanceRatePct","CostPerAcceptedUnit","RejectedValue","LastReceiptDate","DaysLate","IsOnTime"
"PO-000011","LOM-0072","Laser Diode Component 0072","Laser Diode","Commodity","3","1","0","VEN-012","Aperture Industries","Germany","Preferred","4.72","BUY-02","Rafael Duarte","Optoelectronics","2023-01-20","2023-02-17","2023","2023-01","137","206.2888","658.96","0.00","0","28261.57","28920.53","PA-0000328","206.2888","1","1","0.00","28261.57","137","135","2","1","1","98.54","214.2261","412.58","2023-02-17","0","1"
"PO-000012","LOM-0014","Fibre Connector Component 0014","Fibre Connector","Commodity","2","0","0","VEN-020","Meridian Photonics Industries","Japan","Approved","12.07","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-23","2023-02-12","2023","2023-01","544","12.8643","60.85","0.00","0","6998.18","7059.03","PA-0000060","12.8643","1","1","0.00","6998.18","544","542","2","1","1","99.63","13.0240","25.73","2023-02-11","-1","1"
"PO-000013","LOM-0054","Fibre Connector Component 0054","Fibre Connector","Commodity","3","1","0","VEN-001","Lumitek GmbH","United States","Strategic","1.37","BUY-04","Johan Lindberg","Optics & Coatings","2023-01-23","2023-02-06","2023","2023-01","216","28.7181","37.54","0.00","0","6203.11","6240.65","PA-0000238","28.7181","1","1","0.00","6203.11","216","213","3","1","1","98.61","29.2988","86.15","2023-02-05","-1","1"
"PO-000014","LOM-0071","Thermal Control Component 0071","Thermal Control","Commodity","3","1","0","VEN-005","Helix Optics GmbH","Switzerland","Strategic","1.75","BUY-06","Tomas Varga","Mechanical & Thermal","2023-01-24","2023-02-07","2023","2023-01","33","83.8156","28.70","0.00","0","2765.91","2794.61","PA-0000319","79.9559","1","1","127.37","2638.54","33","33","0","1","1","100.00","84.6853","0.00","2023-02-06","-1","1"
"PO-000015","LOM-0109","Precision Mount Assy 0109","Precision Mount","Critical","1","7","1","VEN-010","Vectra GmbH","United Kingdom","Preferred","5.43","BUY-05","Priya Raghunathan","Mechanical & Thermal","2023-01-24","2023-03-16","2023","2023-01","137","211.7856","196.35","0.00","0","29014.63","29210.98","PA-0000497","211.7856","1","1","0.00","29014.63","137","136","1","1","1","99.27","214.7866","211.79","2023-03-16","0","1"
"PO-000016","LOM-0004","Optical Coating Module 0004","Optical Coating","Standard","2","2","0","VEN-029","Helix Optics Technologies","Switzerland","Transactional","36.48","BUY-04","Johan Lindberg","Optics & Coatings","2023-01-25","2023-02-19","2023","2023-01","111","76.0924","154.46","0.00","0","8446.26","8600.72","PA-0000013","76.0924","1","1","0.00","8446.26","111","110","1","1","1","99.10","78.1883","76.09","2023-02-18","-1","1"
"PO-000017","LOM-0036","Optical Coating Module 0036","Optical Coating","Standard","2","4","0","VEN-020","Meridian Photonics Industries","Japan","Approved","12.07","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-25","2023-02-20","2023","2023-01","123","45.9910","103.25","0.00","0","5656.89","5760.14","PA-0000157","45.9910","1","1","0.00","5656.89","123","122","1","1","1","99.19","47.2143","45.99","2023-02-17","-3","1"
"PO-000018","LOM-0014","Fibre Connector Component 0014","Fibre Connector","Commodity","2","0","0","VEN-028","Spectra Technologies","United Kingdom","Approved","8.62","BUY-04","Johan Lindberg","Optics & Coatings","2023-01-26","2023-02-22","2023","2023-01","858","12.8643","285.85","0.00","0","11037.57","11323.42","PA-0000063","12.8643","1","1","0.00","11037.57","858","855","3","1","1","99.65","13.2438","38.59","2023-02-20","-2","1"
"PO-000019","LOM-0013","Precision Mount Component 0013","Precision Mount","Commodity","1","0","1","VEN-008","Meridian Photonics GmbH","Japan","Preferred","5.01","BUY-06","Tomas Varga","Mechanical & Thermal","2023-01-27","2023-02-13","2023","2023-01","52","207.4813","270.33","0.00","0","10789.03","11059.36","PA-0000057","207.4813","1","1","0.00","10789.03","52","52","0","1","1","100.00","212.6800","0.00","2023-02-10","-3","1"
"PO-000020","LOM-0014","Fibre Connector Component 0014","Fibre Connector","Commodity","2","0","0","VEN-020","Meridian Photonics Industries","Japan","Approved","12.07","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-27","2023-02-12","2023","2023-01","308","12.8643","36.39","0.00","0","3962.20","3998.59","PA-0000060","12.8643","1","1","0.00","3962.20","308","305","3","1","1","99.03","13.1101","38.59","2023-02-11","-1","1"
"PO-000021","LOM-0054","Fibre Connector Component 0054","Fibre Connector","Commodity","3","1","0","VEN-001","Lumitek GmbH","United States","Strategic","1.37","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-30","2023-02-20","2023","2023-01","581","28.7181","123.91","0.00","0","16685.22","16809.13","PA-0000238","28.7181","1","1","0.00","16685.22","581","574","7","1","1","98.80","29.2842","201.03","2023-02-21","1","0"
"PO-000022","LOM-0054","Fibre Connector Component 0054","Fibre Connector","Commodity","3","1","0","VEN-001","Lumitek GmbH","United States","Strategic","1.37","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-01-30","2023-02-22","2023","2023-01","673","28.7181","165.02","0.00","0","19327.28","19492.30","PA-0000238","28.7181","1","1","0.00","19327.28","673","665","8","1","1","98.81","29.3117","229.74","2023-02-19","-3","1"
"PO-000023","LOM-0094","Fibre Connector Module 0094","Fibre Connector","Standard","3","5","0","VEN-005","Helix Optics GmbH","Switzerland","Strategic","1.75","BUY-04","Johan Lindberg","Optics & Coatings","2023-01-30","2023-02-28","2023","2023-01","544","24.6179","98.73","0.00","0","13392.14","13490.87","PA-0000427","24.6179","1","1","0.00","13392.14","544","538","6","1","1","98.90","25.0760","147.71","2023-02-26","-2","1"
"PO-000024","LOM-0099","Lens Assembly Module 0099","Lens Assembly","Standard","3","4","0","VEN-006","Northlight GmbH","Germany","Strategic","4.77","BUY-04","Johan Lindberg","Optics & Coatings","2023-01-30","2023-03-08","2023","2023-01","136","107.2827","256.07","458.05","1","14590.45","15304.57","PA-0000446","107.2827","1","1","0.00","14590.45","136","135","1","1","1","99.26","113.3672","107.28","2023-03-08","0","1"
"PO-000025","LOM-0072","Laser Diode Component 0072","Laser Diode","Commodity","3","1","0","VEN-009","Oribel GmbH","Taiwan","Preferred","9.47","BUY-02","Rafael Duarte","Optoelectronics","2023-01-31","2023-02-22","2023","2023-01","91","214.7429","125.99","0.00","0","19541.60","19667.59","","","0","0","","","91","90","1","1","1","98.90","218.5288","214.74","2023-02-22","0","1"
"PO-000026","LOM-0046","Fibre Connector Module 0046","Fibre Connector","Standard","1","2","1","VEN-033","Oribel Technologies","Taiwan","Transactional","17.66","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-02","2023-03-09","2023","2023-02","844","24.6870","208.81","0.00","0","20835.83","21044.64","PA-0000205","24.6870","1","1","0.00","20835.83","844","832","12","1","1","98.58","25.2940","296.24","2023-03-09","0","1"
"PO-000027","LOM-0072","Laser Diode Component 0072","Laser Diode","Commodity","3","1","0","VEN-004","Spectra GmbH","United Kingdom","Strategic","1.51","BUY-02","Rafael Duarte","Optoelectronics","2023-02-02","2023-03-03","2023","2023-02","146","206.2888","395.36","0.00","0","30118.16","30513.52","PA-0000325","206.2888","1","1","0.00","30118.16","146","133","13","1","1","91.10","229.4250","2681.75","2023-03-09","6","0"
"PO-000028","LOM-0084","Optical Coating Module 0084","Optical Coating","Standard","2","3","0","VEN-016","Spectra Industries","United Kingdom","Preferred","7.82","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-02","2023-03-12","2023","2023-02","286","152.1308","278.33","0.00","0","43509.41","43787.74","PA-0000377","152.1308","1","1","0.00","43509.41","286","285","1","1","1","99.65","153.6412","152.13","2023-03-19","7","0"
"PO-000029","LOM-0099","Lens Assembly Module 0099","Lens Assembly","Standard","3","4","0","VEN-010","Vectra GmbH","United Kingdom","Preferred","5.43","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-02","2023-03-10","2023","2023-02","129","107.2827","247.86","0.00","0","13839.47","14087.33","PA-0000449","107.2827","1","1","0.00","13839.47","129","128","1","1","1","99.22","110.0573","107.28","2023-03-10","0","1"
"PO-000030","LOM-0114","Optical Fibre Assy 0114","Optical Fibre","Critical","3","11","0","VEN-027","Crystalline Technologies","Taiwan","Approved","14.24","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-02","2023-03-17","2023","2023-02","1082","15.4622","188.33","0.00","0","16730.10","16918.43","PA-0000525","15.4622","1","1","0.00","16730.10","1082","1076","6","1","1","99.45","15.7234","92.77","2023-03-14","-3","1"
"PO-000031","LOM-0123","Lens Assembly Assy 0123","Lens Assembly","Critical","3","11","0","VEN-002","Photonica GmbH","Japan","Strategic","2.49","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-02","2023-03-24","2023","2023-02","126","239.1274","597.51","972.12","1","30130.05","31699.68","PA-0000565","239.1274","1","1","0.00","30130.05","126","123","3","1","1","97.62","257.7210","717.38","2023-03-21","-3","1"
"PO-000032","LOM-0071","Thermal Control Component 0071","Thermal Control","Commodity","3","1","0","VEN-013","Lumitek Industries","United States","Preferred","9.15","BUY-06","Tomas Varga","Mechanical & Thermal","2023-02-03","2023-02-17","2023","2023-02","30","79.9559","60.46","0.00","0","2398.68","2459.14","PA-0000322","79.9559","1","1","0.00","2398.68","30","30","0","1","1","100.00","81.9712","0.00","2023-02-17","0","1"
"PO-000033","LOM-0096","Laser Diode Module 0096","Laser Diode","Standard","1","2","1","VEN-011","Kestrel Optical GmbH","Switzerland","Preferred","3.73","BUY-01","Adaeze Okonkwo","Optoelectronics","2023-02-03","2023-03-08","2023","2023-02","105","416.4004","652.65","0.00","0","43722.04","44374.69","PA-0000434","416.4004","1","1","0.00","43722.04","105","104","1","1","1","99.05","426.6797","416.40","2023-03-06","-2","1"
"PO-000034","LOM-0124","Optical Coating Module 0124","Optical Coating","Standard","3","5","0","VEN-031","Quantex Technologies","United States","Transactional","14.93","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-03","2023-03-13","2023","2023-02","294","147.5500","588.22","0.00","0","43379.70","43967.92","PA-0000572","147.5500","1","1","0.00","43379.70","294","292","2","1","1","99.32","150.5751","295.10","2023-03-10","-3","1"
"PO-000035","LOM-0138","Optical Fibre Module 0138","Optical Fibre","Standard","3","4","0","VEN-010","Vectra GmbH","United Kingdom","Preferred","5.43","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-03","2023-02-26","2023","2023-02","432","39.8613","369.88","0.00","0","17220.08","17589.96","","","0","0","","","432","427","5","1","1","98.84","41.1943","199.31","2023-02-25","-1","1"
"PO-000036","LOM-0053","Precision Mount Assy 0053","Precision Mount","Critical","3","11","0","VEN-026","Photonica Technologies","Japan","Approved","9.22","BUY-06","Tomas Varga","Mechanical & Thermal","2023-02-06","2023-03-19","2023","2023-02","58","164.8845","111.48","0.00","0","9563.30","9674.78","PA-0000237","164.8845","1","1","0.00","9563.30","58","57","1","1","1","98.28","169.7330","164.88","2023-03-19","0","1"
"PO-000037","LOM-0080","Laser Diode Module 0080","Laser Diode","Standard","3","5","0","VEN-004","Spectra GmbH","United Kingdom","Strategic","1.51","BUY-01","Adaeze Okonkwo","Optoelectronics","2023-02-06","2023-03-02","2023","2023-02","35","501.9232","285.32","0.00","0","17567.31","17852.63","PA-0000361","501.9232","1","1","0.00","17567.31","35","32","3","1","1","91.43","557.8948","1505.77","2023-02-26","-4","1"
"PO-000038","LOM-0027","Lens Assembly Component 0027","Lens Assembly","Commodity","3","1","0","VEN-011","Kestrel Optical GmbH","Switzerland","Preferred","3.73","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-07","2023-03-01","2023","2023-02","88","303.3489","558.13","814.89","1","26694.70","28067.72","","","0","0","","","88","87","1","1","1","98.86","322.6175","303.35","2023-03-06","5","0"
"PO-000039","LOM-0062","Fibre Connector Module 0062","Fibre Connector","Standard","2","3","0","VEN-034","Vectra Technologies","United Kingdom","Transactional","34.49","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-07","2023-03-10","2023","2023-02","605","10.6486","130.98","0.00","0","6442.40","6573.38","PA-0000277","10.6486","1","1","0.00","6442.40","605","601","4","1","1","99.34","10.9374","42.59","2023-03-11","1","0"
"PO-000040","LOM-0093","Precision Mount Module 0093","Precision Mount","Standard","2","4","0","VEN-034","Vectra Technologies","United Kingdom","Transactional","34.49","BUY-06","Tomas Varga","Mechanical & Thermal","2023-02-08","2023-03-01","2023","2023-02","12","89.5497","17.64","0.00","0","1074.60","1092.24","PA-0000424","95.0857","1","1","-66.43","1141.03","12","12","0","1","1","100.00","91.0197","0.00","2023-02-28","-1","1"
"PO-000041","LOM-0114","Optical Fibre Assy 0114","Optical Fibre","Critical","3","11","0","VEN-027","Crystalline Technologies","Taiwan","Approved","14.24","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-08","2023-03-16","2023","2023-02","392","15.4622","135.14","0.00","0","6061.18","6196.32","PA-0000525","15.4622","1","1","0.00","6061.18","392","388","4","1","1","98.98","15.9699","61.85","2023-03-16","0","1"
"PO-000042","LOM-0114","Optical Fibre Assy 0114","Optical Fibre","Critical","3","11","0","VEN-027","Crystalline Technologies","Taiwan","Approved","14.24","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-08","2023-03-21","2023","2023-02","815","15.4622","196.86","0.00","0","12601.69","12798.55","PA-0000525","15.4622","1","1","0.00","12601.69","815","812","3","1","1","99.63","15.7618","46.39","2023-03-19","-2","1"
"PO-000043","LOM-0035","Lens Assembly Assy 0035","Lens Assembly","Critical","1","8","1","VEN-017","Helix Optics Industries","Switzerland","Approved","10.21","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-10","2023-03-19","2023","2023-02","28","138.2560","62.24","0.00","0","3871.17","3933.41","PA-0000155","138.2560","1","1","0.00","3871.17","28","28","0","1","1","100.00","140.4789","0.00","2023-03-19","0","1"
"PO-000044","LOM-0089","Photodetector Assy 0089","Photodetector","Critical","1","8","1","VEN-014","Photonica Industries","Japan","Preferred","4.81","BUY-02","Rafael Duarte","Optoelectronics","2023-02-10","2023-03-18","2023","2023-02","22","247.3183","53.57","0.00","0","5441.00","5494.57","PA-0000403","247.3183","1","1","0.00","5441.00","22","22","0","1","1","100.00","249.7533","0.00","2023-03-18","0","1"
"PO-000045","LOM-0035","Lens Assembly Assy 0035","Lens Assembly","Critical","1","8","1","VEN-017","Helix Optics Industries","Switzerland","Approved","10.21","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-13","2023-03-25","2023","2023-02","50","138.2560","152.97","0.00","0","6912.80","7065.77","PA-0000155","138.2560","1","1","0.00","6912.80","50","49","1","1","1","98.00","144.1994","138.26","2023-03-25","0","1"
"PO-000046","LOM-0055","Thermal Control Component 0055","Thermal Control","Commodity","3","1","0","VEN-025","Lumitek Technologies","United States","Approved","14.26","BUY-05","Priya Raghunathan","Mechanical & Thermal","2023-02-13","2023-03-13","2023","2023-02","138","113.5119","395.35","0.00","0","15664.64","16059.99","PA-X000002","117.4848","2","1","-548.26","16212.90","138","136","2","1","1","98.55","118.0882","227.02","2023-03-13","0","1"
"PO-000047","LOM-0084","Optical Coating Module 0084","Optical Coating","Standard","2","3","0","VEN-016","Spectra Industries","United Kingdom","Preferred","7.82","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-13","2023-03-12","2023","2023-02","127","152.1308","373.86","0.00","0","19320.61","19694.47","PA-0000377","152.1308","1","1","0.00","19320.61","127","126","1","1","1","99.21","156.3053","152.13","2023-03-11","-1","1"
"PO-000048","LOM-0093","Precision Mount Module 0093","Precision Mount","Standard","2","4","0","VEN-034","Vectra Technologies","United Kingdom","Transactional","34.49","BUY-06","Tomas Varga","Mechanical & Thermal","2023-02-13","2023-03-22","2023","2023-02","140","99.6119","324.85","0.00","0","13945.67","14270.52","PA-0000424","95.0857","1","1","633.67","13312.00","140","139","1","1","1","99.29","102.6656","99.61","2023-03-20","-2","1"
"PO-000049","LOM-0013","Precision Mount Component 0013","Precision Mount","Commodity","1","0","1","VEN-008","Meridian Photonics GmbH","Japan","Preferred","5.01","BUY-05","Priya Raghunathan","Mechanical & Thermal","2023-02-14","2023-03-09","2023","2023-02","103","207.4813","476.48","0.00","0","21370.57","21847.05","PA-0000057","207.4813","1","1","0.00","21370.57","103","103","0","1","1","100.00","212.1073","0.00","2023-03-08","-1","1"
"PO-000050","LOM-0027","Lens Assembly Component 0027","Lens Assembly","Commodity","3","1","0","VEN-013","Lumitek Industries","United States","Preferred","9.15","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-14","2023-03-10","2023","2023-02","107","264.1759","521.08","886.53","1","28266.82","29674.43","PA-0000120","264.1759","1","1","0.00","28266.82","107","106","1","1","1","99.07","279.9475","264.18","2023-03-20","10","0"
"PO-000051","LOM-0041","Photodetector Component 0041","Photodetector","Commodity","3","1","0","VEN-009","Oribel GmbH","Taiwan","Preferred","9.47","BUY-01","Adaeze Okonkwo","Optoelectronics","2023-02-14","2023-03-02","2023","2023-02","45","397.8700","156.71","0.00","0","17904.15","18060.86","PA-0000185","397.8700","1","1","0.00","17904.15","45","44","1","1","1","97.78","410.4741","397.87","2023-03-02","0","1"
"PO-000052","LOM-0055","Thermal Control Component 0055","Thermal Control","Commodity","3","1","0","VEN-025","Lumitek Technologies","United States","Approved","14.26","BUY-05","Priya Raghunathan","Mechanical & Thermal","2023-02-14","2023-03-14","2023","2023-02","138","113.5119","231.23","0.00","0","15664.64","15895.87","PA-X000002","117.4848","2","1","-548.26","16212.90","138","137","1","1","1","99.28","116.0283","113.51","2023-03-11","-3","1"
"PO-000053","LOM-0103","Thermal Control Component 0103","Thermal Control","Commodity","3","1","0","VEN-012","Aperture Industries","Germany","Preferred","4.72","BUY-06","Tomas Varga","Mechanical & Thermal","2023-02-14","2023-02-26","2023","2023-02","13","194.9136","42.98","0.00","0","2533.88","2576.86","PA-0000467","194.9136","1","1","0.00","2533.88","13","13","0","1","1","100.00","198.2198","0.00","2023-03-08","10","0"
"PO-000054","LOM-0131","Lens Assembly Assy 0131","Lens Assembly","Critical","1","6","1","VEN-006","Northlight GmbH","Germany","Strategic","4.77","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-14","2023-04-01","2023","2023-02","100","206.0489","364.78","0.00","0","20604.89","20969.67","PA-0000605","206.0489","1","1","0.00","20604.89","100","98","2","1","1","98.00","213.9762","412.10","2023-04-11","10","0"
"PO-000055","LOM-0138","Optical Fibre Module 0138","Optical Fibre","Standard","3","4","0","VEN-020","Meridian Photonics Industries","Japan","Approved","12.07","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-15","2023-03-09","2023","2023-02","302","37.1436","119.22","0.00","0","11217.37","11336.59","PA-0000632","37.1436","1","1","0.00","11217.37","302","299","3","1","1","99.01","37.9150","111.43","2023-03-13","4","0"
"PO-000056","LOM-0027","Lens Assembly Component 0027","Lens Assembly","Commodity","3","1","0","VEN-013","Lumitek Industries","United States","Preferred","9.15","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-16","2023-03-11","2023","2023-02","100","264.1759","417.30","0.00","0","26417.59","26834.89","PA-0000120","264.1759","1","1","0.00","26417.59","100","99","1","1","1","99.00","271.0595","264.18","2023-03-08","-3","1"
"PO-000057","LOM-0080","Laser Diode Module 0080","Laser Diode","Standard","3","5","0","VEN-004","Spectra GmbH","United Kingdom","Strategic","1.51","BUY-01","Adaeze Okonkwo","Optoelectronics","2023-02-16","2023-03-17","2023","2023-02","77","501.9232","432.73","1232.21","1","38648.09","40313.03","PA-0000361","501.9232","1","1","0.00","38648.09","77","71","6","1","1","92.21","567.7891","3011.54","2023-03-14","-3","1"
"PO-000058","LOM-0094","Fibre Connector Module 0094","Fibre Connector","Standard","3","5","0","VEN-014","Photonica Industries","Japan","Preferred","4.81","BUY-03","Mei-Ling Chow","Optics & Coatings","2023-02-16","2023-03-18","2023","2023-02","571","24.6179","110.77","0.00","0","14056.82","14167.59","PA-0000428","24.6179","1","1","0.00","14056.82","571","563","8","1","1","98.60","25.1645","196.94","2023-03-17","-1","1"
"PO-000059","LOM-0100","Optical Coating Module 0100","Optical Coating","Standard","2","3","0","VEN-026","Photonica Technologies","Japan","Approved","9.22","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-16","2023-03-10","2023","2023-02","65","144.4130","123.76","0.00","0","9386.85","9510.61","PA-0000455","144.4130","1","1","0.00","9386.85","65","64","1","1","1","98.46","148.6032","144.41","2023-03-07","-3","1"
"PO-000060","LOM-0103","Thermal Control Component 0103","Thermal Control","Commodity","3","1","0","VEN-012","Aperture Industries","Germany","Preferred","4.72","BUY-06","Tomas Varga","Mechanical & Thermal","2023-02-16","2023-03-06","2023","2023-02","58","194.9136","189.76","353.31","1","11304.99","11848.06","PA-0000467","194.9136","1","1","0.00","11304.99","58","57","1","1","1","98.28","207.8607","194.91","2023-03-06","0","1"
"PO-000061","LOM-0013","Precision Mount Component 0013","Precision Mount","Commodity","1","0","1","VEN-008","Meridian Photonics GmbH","Japan","Preferred","5.01","BUY-06","Tomas Varga","Mechanical & Thermal","2023-02-17","2023-03-09","2023","2023-02","79","207.4813","361.00","524.29","1","16391.02","17276.31","PA-0000057","207.4813","1","1","0.00","16391.02","79","78","1","1","1","98.73","221.4912","207.48","2023-03-06","-3","1"
"PO-000062","LOM-0042","Optical Fibre Assy 0042","Optical Fibre","Critical","1","6","1","VEN-032","Meridian Photonics Technologies","Japan","Transactional","28.30","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-17","2023-04-03","2023","2023-02","1256","59.4097","765.53","0.00","0","74618.58","75384.11","PA-0000189","59.4097","1","1","0.00","74618.58","1256","1242","14","1","1","98.89","60.6957","831.74","2023-04-02","-1","1"
"PO-000063","LOM-0138","Optical Fibre Module 0138","Optical Fibre","Standard","3","4","0","VEN-020","Meridian Photonics Industries","Japan","Approved","12.07","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-17","2023-03-19","2023","2023-02","1149","37.1436","645.66","0.00","0","42678.00","43323.66","PA-0000632","37.1436","1","1","0.00","42678.00","1149","1137","12","1","1","98.96","38.1035","445.72","2023-03-20","1","0"
"PO-000064","LOM-0004","Optical Coating Module 0004","Optical Coating","Standard","2","2","0","VEN-001","Lumitek GmbH","United States","Strategic","1.37","BUY-04","Johan Lindberg","Optics & Coatings","2023-02-20","2023-03-14","2023","2023-02","64","76.0924","124.68","0.00","0","4869.91","4994.59","PA-0000012","76.0924","1","1","0.00","4869.91","64","63","1","1","1","98.44","79.2793","76.09","2023-03-13","-1","1"
