"PriorityRank","BuyerRank","PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","IsSingleSource","VendorID","VendorName","VendorTier","LumenRevenueSharePct","BuyerID","BuyerName","Team","FirstPrice","LastPrice","ExpectedPrice","BenchmarkErosionPct","ActualErosionPct","ErosionCapturePct","ErosionGapPerUnit","TTMQty","TTMSpend","AnnualOpportunity","RejectedValue","PPV","OffContractSpend","AcceptanceRatePct","LeverageScore","ActionCode","IsThisQuarter","RecommendedAction"
"11","6","LOM-0120","Laser Diode Component 0120","Laser Diode","Commodity","3","0","0","VEN-016","Spectra Industries","Preferred","7.82","BUY-01","Adaeze Okonkwo","Optoelectronics","1008.4116","947.0531","820.3755","8.00","2.505","31.31","126.6776","675","646871.89","85507.38","8674.26","-3184.75","0.00","98.67","77.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"12","3","LOM-0123","Lens Assembly Assy 0123","Lens Assembly","Critical","3","11","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-03","Mei-Ling Chow","Optics & Coatings","231.4630","264.5891","214.1721","3.00","-5.388","-179.60","50.4170","1548","410583.38","78045.54","5312.16","","410583.38","98.43","61.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"13","2","LOM-0134","Fibre Connector Assy 0134","Fibre Connector","Critical","1","7","1","VEN-010","Vectra GmbH","Preferred","5.43","BUY-04","Johan Lindberg","Optics & Coatings","39.0427","39.3292","31.7295","7.00","-0.256","-3.66","7.5997","9567","375755.12","72706.70","2512.01","359.32","0.00","99.12","27.0","DUAL_SOURCE","1","Sole source with real money at stake and a reachable requalification. Qualify a second supplier, then reopen the price."
"14","4","LOM-0098","Optical Fibre Component 0098","Optical Fibre","Commodity","3","1","0","VEN-028","Spectra Technologies","Approved","8.62","BUY-03","Mei-Ling Chow","Optics & Coatings","41.8861","41.3811","37.6759","4.00","0.466","11.65","3.7052","17826","739415.54","66048.73","3333.92","-4513.82","625911.87","99.40","90.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"15","3","LOM-0074","Optical Fibre Assy 0074","Optical Fibre","Critical","1","6","1","VEN-027","Crystalline Technologies","Approved","14.24","BUY-04","Johan Lindberg","Optics & Coatings","33.6975","33.5533","30.3166","4.00","0.166","4.15","3.2367","19787","667640.96","64044.58","3746.83","3309.11","0.00","99.27","36.0","DUAL_SOURCE","1","Sole source with real money at stake and a reachable requalification. Qualify a second supplier, then reopen the price."
"16","7","LOM-0016","Laser Diode Assy 0016","Laser Diode","Critical","1","8","1","VEN-017","Helix Optics Industries","Approved","10.21","BUY-01","Adaeze Okonkwo","Optoelectronics","277.7121","276.7181","224.8378","8.00","0.142","1.78","51.8803","1229","341330.30","63760.89","2214.74","1085.55","0.00","99.35","36.0","DUAL_SOURCE","1","Sole source with real money at stake and a reachable requalification. Qualify a second supplier, then reopen the price."
"17","8","LOM-0097","Photodetector Module 0097","Photodetector","Standard","3","5","0","VEN-014","Photonica Industries","Preferred","4.81","BUY-01","Adaeze Okonkwo","Optoelectronics","493.6902","466.4701","413.8146","6.50","2.137","32.88","52.6555","1173","548805.62","61764.90","3744.06","-4017.96","0.00","99.22","70.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"18","4","LOM-0043","Lens Assembly Module 0043","Lens Assembly","Standard","1","2","1","VEN-029","Helix Optics Technologies","Transactional","36.48","BUY-04","Johan Lindberg","Optics & Coatings","291.2355","319.6986","268.3817","3.00","-3.536","-117.87","51.3169","1203","378324.53","61734.18","4989.08","0.00","373648.30","98.67","64.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"19","3","LOM-0001","Photodetector Assy 0001","Photodetector","Critical","1","7","1","VEN-015","Crystalline Industries","Preferred","3.57","BUY-02","Rafael Duarte","Optoelectronics","356.6531","351.4468","296.9268","6.50","0.538","8.28","54.5200","1109","403455.27","60462.65","2515.61","","403455.27","99.15","23.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"20","5","LOM-0034","Optical Fibre Assy 0034","Optical Fibre","Critical","2","9","0","VEN-016","Spectra Industries","Preferred","7.82","BUY-03","Mei-Ling Chow","Optics & Coatings","48.7896","47.5173","43.9339","4.00","1.024","25.60","3.5834","15253","742352.47","54657.48","4865.56","0.00","548411.66","99.34","47.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"21","4","LOM-0048","Laser Diode Module 0048","Laser Diode","Standard","3","5","0","VEN-014","Photonica Industries","Preferred","4.81","BUY-02","Rafael Duarte","Optoelectronics","770.4723","772.2882","611.9825","8.00","-0.085","-1.06","160.3057","311","241053.34","49855.09","1534.40","","241053.34","99.16","74.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"22","1","LOM-0125","Precision Mount Component 0125","Precision Mount","Commodity","2","0","0","VEN-009","Oribel GmbH","Preferred","9.47","BUY-05","Priya Raghunathan","Mechanical & Thermal","190.5134","227.3285","180.4508","2.00","-6.799","-339.95","46.8777","1042","235463.37","48846.59","1817.91","","235463.37","99.02","76.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"23","9","LOM-0041","Photodetector Component 0041","Photodetector","Commodity","3","1","0","VEN-009","Oribel GmbH","Preferred","9.47","BUY-01","Adaeze Okonkwo","Optoelectronics","397.8700","370.5631","328.2054","6.50","2.452","37.72","42.3577","1078","412368.80","45661.64","3817.99","","412368.80","99.06","90.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"24","5","LOM-0083","Lens Assembly Assy 0083","Lens Assembly","Critical","1","8","1","VEN-003","Crystalline GmbH","Strategic","3.69","BUY-04","Johan Lindberg","Optics & Coatings","360.3215","361.6906","332.9883","3.00","-0.147","-4.90","28.7023","1518","550211.70","43570.09","8343.48","1153.07","0.00","98.40","19.0","DUAL_SOURCE","1","Sole source with real money at stake and a reachable requalification. Qualify a second supplier, then reopen the price."
"25","6","LOM-0042","Optical Fibre Assy 0042","Optical Fibre","Critical","1","6","1","VEN-032","Meridian Photonics Technologies","Transactional","28.30","BUY-03","Mei-Ling Chow","Optics & Coatings","59.4097","56.7890","53.1206","4.00","1.633","40.83","3.6684","11552","660641.39","42377.36","4293.41","2169.26","0.00","99.35","46.0","DUAL_SOURCE","1","Sole source with real money at stake and a reachable requalification. Qualify a second supplier, then reopen the price."
"26","7","LOM-0086","Fibre Connector Assy 0086","Fibre Connector","Critical","1","8","1","VEN-004","Spectra GmbH","Strategic","1.51","BUY-03","Mei-Ling Chow","Optics & Coatings","31.1466","30.6557","25.7423","7.00","0.603","8.61","4.9134","8454","264990.97","41537.77","1970.28","2140.01","0.00","99.20","19.0","DUAL_SOURCE","1","Sole source with real money at stake and a reachable requalification. Qualify a second supplier, then reopen the price."
"27","8","LOM-0012","Optical Coating Component 0012","Optical Coating","Commodity","3","1","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-03","Mei-Ling Chow","Optics & Coatings","99.5340","109.0634","87.9375","5.00","-3.859","-77.18","21.1259","1932","208598.07","40815.32","3115.06","0.00","162967.31","98.50","81.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"28","9","LOM-0118","Fibre Connector Component 0118","Fibre Connector","Commodity","2","0","0","VEN-028","Spectra Technologies","Approved","8.62","BUY-03","Mei-Ling Chow","Optics & Coatings","40.5090","41.1374","33.7608","7.00","-0.615","-8.79","7.3766","5413","221109.18","39929.54","1829.63","-1582.36","0.00","99.17","72.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"29","10","LOM-0121","Photodetector Component 0121","Photodetector","Commodity","2","0","0","VEN-010","Vectra GmbH","Preferred","5.43","BUY-01","Adaeze Okonkwo","Optoelectronics","290.7632","283.7632","243.8672","6.50","0.927","14.26","39.8960","996","301642.47","39736.42","3061.66","0.00","291742.31","98.89","67.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"30","2","LOM-0127","Thermal Control Assy 0127","Thermal Control","Critical","2","9","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-05","Priya Raghunathan","Mechanical & Thermal","148.4254","161.3254","128.7344","5.50","-3.368","-61.24","32.5910","1204","193171.34","39239.57","1599.14","","193171.34","99.11","47.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"31","10","LOM-0030","Fibre Connector Component 0030","Fibre Connector","Commodity","1","0","1","VEN-013","Lumitek Industries","Preferred","9.15","BUY-03","Mei-Ling Chow","Optics & Coatings","20.5480","20.4936","16.8281","7.00","0.096","1.37","3.6655","10035","208052.08","36783.37","1560.98","481.80","0.00","99.14","50.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"32","11","LOM-0008","Laser Diode Component 0008","Laser Diode","Commodity","2","0","0","VEN-014","Photonica Industries","Preferred","4.81","BUY-01","Adaeze Okonkwo","Optoelectronics","762.9303","645.1402","601.8125","8.00","5.725","71.56","43.3277","847","550530.44","36698.52","3245.43","1019.70","0.00","99.37","63.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"33","12","LOM-0136","Laser Diode Assy 0136","Laser Diode","Critical","1","9","1","VEN-002","Photonica GmbH","Strategic","2.49","BUY-01","Adaeze Okonkwo","Optoelectronics","590.3609","502.8981","471.2727","8.00","5.761","72.01","31.6254","1158","601807.02","36622.18","4690.56","","601807.02","99.15","17.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"34","6","LOM-0019","Lens Assembly Assy 0019","Lens Assembly","Critical","1","6","1","VEN-005","Helix Optics GmbH","Strategic","1.75","BUY-04","Johan Lindberg","Optics & Coatings","194.7322","213.8472","180.4542","3.00","-3.817","-127.23","33.3930","1093","230122.71","36498.53","3172.04","307.71","187680.47","98.63","23.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"35","5","LOM-0137","Photodetector Module 0137","Photodetector","Standard","3","5","0","VEN-002","Photonica GmbH","Strategic","2.49","BUY-02","Rafael Duarte","Optoelectronics","457.4209","496.6837","391.6961","6.50","-3.632","-55.88","104.9876","335","163550.84","35170.85","1943.44","","163550.84","98.81","66.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"36","11","LOM-0108","Optical Coating Module 0108","Optical Coating","Standard","2","3","0","VEN-023","Kestrel Optical Industries","Approved","6.75","BUY-03","Mei-Ling Chow","Optics & Coatings","124.3326","123.1701","108.6979","5.00","0.358","7.16","14.4722","2388","295175.16","34559.66","3591.75","-3335.09","0.00","98.48","56.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"37","7","LOM-0046","Fibre Connector Module 0046","Fibre Connector","Standard","1","2","1","VEN-033","Oribel Technologies","Transactional","17.66","BUY-04","Johan Lindberg","Optics & Coatings","24.6870","24.4065","20.0105","7.00","0.394","5.63","4.3960","7718","190069.43","33928.10","1476.80","","190069.43","99.11","64.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"38","3","LOM-0047","Thermal Control Component 0047","Thermal Control","Commodity","2","0","0","VEN-026","Photonica Technologies","Approved","9.22","BUY-05","Priya Raghunathan","Mechanical & Thermal","221.7389","231.3716","191.4316","5.50","-1.650","-30.00","39.9400","838","196044.88","33469.70","1404.96","","196044.88","99.28","76.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"39","6","LOM-0128","Laser Diode Assy 0128","Laser Diode","Critical","2","9","0","VEN-033","Oribel Technologies","Transactional","17.66","BUY-02","Rafael Duarte","Optoelectronics","859.4604","784.5348","714.3438","8.00","4.030","50.38","70.1910","474","371869.50","33270.53","2353.59","0.00","0.00","99.37","62.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"40","13","LOM-0081","Photodetector Module 0081","Photodetector","Standard","2","3","0","VEN-032","Meridian Photonics Technologies","Transactional","28.30","BUY-01","Adaeze Okonkwo","Optoelectronics","374.9974","361.0871","314.3888","6.50","1.431","22.02","46.6983","703","251919.65","32828.88","2501.68","-312.96","0.00","99.00","75.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"41","4","LOM-0005","Precision Mount Component 0005","Precision Mount","Commodity","3","0","0","VEN-007","Quantex GmbH","Preferred","10.21","BUY-05","Priya Raghunathan","Mechanical & Thermal","228.6361","246.3088","216.3194","2.00","-2.754","-137.70","29.9894","1007","245216.27","30199.29","1694.49","1040.34","0.00","99.19","86.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"42","8","LOM-0067","Lens Assembly Assy 0067","Lens Assembly","Critical","1","6","1","VEN-023","Kestrel Optical Industries","Approved","6.75","BUY-04","Johan Lindberg","Optics & Coatings","349.9393","348.2116","321.9097","3.00","0.181","6.03","26.3019","1146","398238.54","30141.98","3812.36","-1026.50","0.00","98.90","27.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"43","1","LOM-0135","Thermal Control Component 0135","Thermal Control","Commodity","3","1","0","VEN-011","Kestrel Optical GmbH","Preferred","3.73","BUY-06","Tomas Varga","Mechanical & Thermal","275.1270","262.5223","235.3958","5.50","1.687","30.67","27.1265","1056","278430.20","28645.58","2381.34","0.00","0.00","99.04","69.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"44","5","LOM-0111","Thermal Control Module 0111","Thermal Control","Standard","3","5","0","VEN-010","Vectra GmbH","Preferred","5.43","BUY-05","Priya Raghunathan","Mechanical & Thermal","248.1621","245.0563","215.5441","5.50","0.504","9.16","29.5122","942","231906.56","27800.51","2967.70","","231906.56","98.73","74.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"45","12","LOM-0035","Lens Assembly Assy 0035","Lens Assembly","Critical","1","8","1","VEN-017","Helix Optics Industries","Approved","10.21","BUY-03","Mei-Ling Chow","Optics & Coatings","139.9955","152.3499","128.2263","3.00","-2.977","-99.23","24.1236","1149","172940.94","27718.00","3012.42","0.00","159569.91","98.01","40.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"46","14","LOM-0129","Photodetector Module 0129","Photodetector","Standard","2","2","0","VEN-014","Photonica Industries","Preferred","4.81","BUY-01","Adaeze Okonkwo","Optoelectronics","388.5493","354.9012","321.5739","6.50","3.167","48.72","33.3273","807","293757.81","26895.15","2203.80","-2653.36","0.00","99.06","63.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"47","7","LOM-0056","Laser Diode Module 0056","Laser Diode","Standard","3","4","0","VEN-034","Vectra Technologies","Transactional","34.49","BUY-02","Rafael Duarte","Optoelectronics","615.0196","524.3169","491.2848","8.00","5.751","71.89","33.0321","793","402552.10","26194.43","3568.32","-5386.22","0.00","99.12","89.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"48","13","LOM-0059","Lens Assembly Component 0059","Lens Assembly","Commodity","2","0","0","VEN-007","Quantex GmbH","Preferred","10.21","BUY-03","Mei-Ling Chow","Optics & Coatings","245.5689","262.2010","227.6814","3.00","-2.674","-89.13","34.5196","719","182509.34","24819.56","2541.36","0.00","134581.95","98.61","76.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"49","15","LOM-0064","Laser Diode Component 0064","Laser Diode","Commodity","3","1","0","VEN-007","Quantex GmbH","Preferred","10.21","BUY-01","Adaeze Okonkwo","Optoelectronics","778.5967","656.6805","627.5259","8.00","6.370","79.63","29.1546","850","566653.15","24781.41","3359.17","-2773.55","0.00","99.33","86.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"50","9","LOM-0100","Optical Coating Module 0100","Optical Coating","Standard","2","3","0","VEN-019","Quantex Industries","Approved","16.00","BUY-04","Johan Lindberg","Optics & Coatings","144.4130","139.6701","125.3690","5.00","1.204","24.08","14.3011","1682","232154.42","24054.41","4264.03","337.49","0.00","98.16","75.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"51","10","LOM-0034","Optical Fibre Assy 0034","Optical Fibre","Critical","2","9","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-04","Johan Lindberg","Optics & Coatings","48.7896","46.9242","44.0920","4.00","1.559","38.98","2.8322","8489","398339.53","24042.55","2064.67","0.00","0.00","99.35","52.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"52","6","LOM-0053","Precision Mount Assy 0053","Precision Mount","Critical","3","11","0","VEN-026","Photonica Technologies","Approved","9.22","BUY-05","Priya Raghunathan","Mechanical & Thermal","164.8845","179.6180","155.5112","2.00","-2.999","-149.95","24.1068","966","170591.16","23287.18","1232.86","","170591.16","99.25","70.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"53","11","LOM-0026","Optical Fibre Module 0026","Optical Fibre","Standard","1","2","1","VEN-005","Helix Optics GmbH","Strategic","1.75","BUY-04","Johan Lindberg","Optics & Coatings","46.9167","44.8113","42.5642","4.00","1.907","47.68","2.2471","10320","469098.47","23190.07","3892.08","3378.60","0.00","99.17","33.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"54","14","LOM-0090","Optical Fibre Component 0090","Optical Fibre","Commodity","3","1","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-03","Mei-Ling Chow","Optics & Coatings","21.6570","21.0326","19.3557","4.00","1.058","26.45","1.6769","12880","270899.89","21598.47","1913.97","0.00","0.00","99.29","86.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"55","7","LOM-0103","Thermal Control Component 0103","Thermal Control","Commodity","3","1","0","VEN-012","Aperture Industries","Preferred","4.72","BUY-05","Priya Raghunathan","Mechanical & Thermal","194.9136","187.8918","165.7597","5.50","1.273","23.15","22.1321","945","179227.78","20914.81","2084.99","","179227.78","98.78","81.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"56","15","LOM-0006","Fibre Connector Component 0006","Fibre Connector","Commodity","2","0","0","VEN-001","Lumitek GmbH","Strategic","1.37","BUY-03","Mei-Ling Chow","Optics & Coatings","15.7440","15.8234","12.9661","7.00","-0.188","-2.69","2.8573","7248","114688.00","20709.71","1107.63","0.00","0.00","99.03","55.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"57","16","LOM-0115","Lens Assembly Module 0115","Lens Assembly","Standard","2","2","0","VEN-032","Meridian Photonics Technologies","Transactional","28.30","BUY-03","Mei-Ling Chow","Optics & Coatings","223.5653","242.6498","205.5266","3.00","-3.010","-100.33","37.1232","555","133552.26","20603.38","1913.67","0.00","126281.44","98.07","86.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"58","12","LOM-0084","Optical Coating Module 0084","Optical Coating","Standard","2","3","0","VEN-016","Spectra Industries","Preferred","7.82","BUY-04","Johan Lindberg","Optics & Coatings","152.1308","141.4869","131.5350","5.00","2.525","50.50","9.9519","2061","295051.96","20510.78","3320.29","-4149.38","0.00","98.88","56.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"59","13","LOM-0028","Optical Coating Module 0028","Optical Coating","Standard","3","5","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-04","Johan Lindberg","Optics & Coatings","144.1571","149.0299","125.2368","5.00","-1.219","-24.38","23.7931","858","131512.04","20414.48","2344.23","","131512.04","97.82","83.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"60","14","LOM-0107","Lens Assembly Module 0107","Lens Assembly","Standard","2","3","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-04","Johan Lindberg","Optics & Coatings","251.4969","249.8996","231.6273","3.00","0.236","7.87","18.2723","1100","273589.31","20099.53","4733.68","-1307.67","0.00","98.27","56.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"61","8","LOM-0025","Photodetector Module 0025","Photodetector","Standard","1","2","1","VEN-011","Kestrel Optical GmbH","Preferred","3.73","BUY-02","Rafael Duarte","Optoelectronics","104.4832","103.8735","86.5371","6.50","0.209","3.22","17.3364","1128","117169.32","19555.46","623.22","0.00","0.00","99.33","33.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"62","17","LOM-0002","Optical Fibre Component 0002","Optical Fibre","Commodity","3","1","0","VEN-013","Lumitek Industries","Preferred","9.15","BUY-03","Mei-Ling Chow","Optics & Coatings","23.2461","22.4269","20.8669","4.00","1.347","33.68","1.5600","12385","279640.29","19320.81","1720.22","","279640.29","99.20","90.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"63","8","LOM-0029","Precision Mount Component 0029","Precision Mount","Commodity","3","1","0","VEN-016","Spectra Industries","Preferred","7.82","BUY-05","Priya Raghunathan","Mechanical & Thermal","158.0091","169.6470","149.6059","2.00","-2.662","-133.10","20.0411","941","161059.34","18858.72","1198.16","","161059.34","99.26","81.0","PUT_ON_CONTRACT","1","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
