"PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","VendorID","VendorName","VendorTier","LumenRevenueSharePct","FirstDate","LastDate","YearsElapsed","Lines","TotalQty","TotalSpend","TTMQty","TTMSpend","FirstPrice","LastPrice","ExpectedPrice","BenchmarkErosionPct","ToleranceBandPct","ActualErosionPct","ErosionCapturePct","ErosionGapPerUnit","AnnualOpportunity"
"LOM-0007","Thermal Control Module 0007","Thermal Control","Standard","3","5","VEN-033","Oribel Technologies","Transactional","17.66","2023-03-23","2025-11-28","2.686","34","2880","446441.35","997","152579.23","157.1048","153.1823","134.9582","5.50","2.00","0.937","17.04","18.2241","18169.42"
"LOM-0058","Optical Fibre Module 0058","Optical Fibre","Standard","3","4","VEN-023","Kestrel Optical Industries","Approved","6.75","2023-01-16","2025-12-22","2.932","43","48760","2597636.51","15515","781906.11","55.5447","50.4158","49.2790","4.00","1.50","3.250","81.25","1.1368","17637.67"
"LOM-0113","Photodetector Module 0113","Photodetector","Standard","2","3","VEN-010","Vectra GmbH","Preferred","5.43","2023-04-20","2025-12-24","2.680","34","2835","980501.13","770","255417.23","354.3643","318.8069","295.9546","6.50","2.00","3.868","59.51","22.8523","17596.29"
"LOM-0098","Optical Fibre Component 0098","Optical Fibre","Commodity","3","1","VEN-021","Oribel Industries","Approved","7.24","2023-05-16","2025-12-24","2.609","13","11418","466847.62","5942","239544.16","41.8861","40.5531","37.6544","4.00","1.50","1.232","30.80","2.8987","17224.08"
"LOM-0131","Lens Assembly Assy 0131","Lens Assembly","Critical","1","6","VEN-006","Northlight GmbH","Strategic","4.77","2023-02-14","2025-11-24","2.776","47","3872","785876.57","1458","291900.54","206.0489","200.9084","189.3427","3.00","1.50","0.906","30.20","11.5657","16862.78"
"LOM-0023","Thermal Control Module 0023","Thermal Control","Standard","3","5","VEN-022","Vectra Industries","Approved","12.65","2023-04-26","2025-12-29","2.678","41","3108","784247.97","939","223646.53","255.6455","237.4212","219.7073","5.50","2.00","2.724","49.53","17.7139","16633.35"
"LOM-0121","Photodetector Component 0121","Photodetector","Commodity","2","0","VEN-009","Oribel GmbH","Preferred","9.47","2023-07-12","2025-12-17","2.434","14","1047","304158.86","381","110576.50","290.7632","290.1118","246.8851","6.50","2.00","0.092","1.42","43.2267","16469.37"
"LOM-0063","Thermal Control Component 0063","Thermal Control","Commodity","3","1","VEN-005","Helix Optics GmbH","Strategic","1.75","2023-09-07","2025-12-22","2.292","14","1081","274892.65","505","129357.78","257.9332","258.8171","226.5672","5.50","2.00","-0.149","-2.71","32.2499","16286.18"
"LOM-0028","Optical Coating Module 0028","Optical Coating","Standard","3","5","VEN-001","Lumitek GmbH","Strategic","1.37","2023-03-07","2025-12-17","2.782","31","4950","662734.66","2730","356890.28","144.1571","130.7909","124.9865","5.00","2.00","3.438","68.76","5.8044","15846.12"
"LOM-0094","Fibre Connector Module 0094","Fibre Connector","Standard","3","5","VEN-014","Photonica Industries","Preferred","4.81","2023-01-12","2025-11-06","2.817","35","18868","453542.12","4757","110300.62","24.6179","23.3143","20.0663","7.00","2.00","1.913","27.33","3.2480","15450.57"
"LOM-0092","Optical Coating Component 0092","Optical Coating","Commodity","3","0","VEN-012","Aperture Industries","Preferred","4.72","2023-02-24","2025-11-17","2.730","39","6505","399560.43","2178","132803.72","62.3935","61.2727","54.2406","5.00","2.00","0.662","13.24","7.0321","15315.89"
"LOM-0078","Fibre Connector Assy 0078","Fibre Connector","Critical","1","7","VEN-034","Vectra Technologies","Transactional","34.49","2023-04-19","2025-12-09","2.642","44","24807","249162.42","9725","96484.25","10.0604","9.8642","8.3051","7.00","2.00","0.743","10.61","1.5591","15162.23"
"LOM-0109","Precision Mount Assy 0109","Precision Mount","Critical","1","7","VEN-010","Vectra GmbH","Preferred","5.43","2023-01-16","2025-12-17","2.919","53","4606","973880.22","1624","343371.67","211.7856","208.8246","199.6574","2.00","1.50","0.481","24.05","9.1672","14887.57"
"LOM-0073","Photodetector Component 0073","Photodetector","Commodity","2","0","VEN-019","Quantex Industries","Approved","16.00","2023-04-04","2025-08-19","2.376","11","968","149011.92","442","71954.62","146.5396","158.1124","124.9118","6.50","2.00","-3.250","-50.00","33.2006","14674.67"
"LOM-0079","Thermal Control Module 0079","Thermal Control","Standard","1","2","VEN-028","Spectra Technologies","Approved","8.62","2023-04-06","2025-12-29","2.732","41","3332","499075.22","1010","146322.33","152.2891","144.5094","130.4814","5.50","2.00","1.901","34.56","14.0280","14168.28"
"LOM-0055","Thermal Control Component 0055","Thermal Control","Commodity","3","1","VEN-025","Lumitek Technologies","Approved","14.26","2023-02-13","2025-11-06","2.730","31","3099","344474.38","1160","125932.28","113.5119","108.5623","97.2681","5.50","2.00","1.620","29.45","11.2942","13101.27"
"LOM-0132","Optical Coating Assy 0132","Optical Coating","Critical","3","11","VEN-005","Helix Optics GmbH","Strategic","1.75","2023-03-16","2025-11-25","2.697","38","6364","908076.90","1997","272611.60","144.1750","132.0563","125.5482","5.00","2.00","3.203","64.06","6.5081","12996.75"
"LOM-0122","Optical Fibre Component 0122","Optical Fibre","Commodity","2","0","VEN-035","Kestrel Optical Technologies","Transactional","36.86","2023-04-14","2025-12-25","2.700","43","49809","608710.99","13437","163132.38","12.3870","12.0460","11.0943","4.00","1.50","1.029","25.73","0.9517","12788.36"
"LOM-0138","Optical Fibre Module 0138","Optical Fibre","Standard","3","4","VEN-026","Photonica Technologies","Approved","9.22","2023-04-12","2025-11-24","2.620","11","11196","408088.41","4839","173841.09","37.1436","35.9250","33.3760","4.00","1.50","1.265","31.63","2.5490","12334.61"
"LOM-0066","Optical Fibre Assy 0066","Optical Fibre","Critical","3","11","VEN-017","Helix Optics Industries","Approved","10.21","2023-02-21","2025-12-23","2.836","44","46352","1108624.60","17639","406880.67","25.0522","23.0060","22.3135","4.00","1.50","2.959","73.98","0.6925","12215.01"
"LOM-0010","Optical Fibre Module 0010","Optical Fibre","Standard","3","5","VEN-006","Northlight GmbH","Strategic","4.77","2023-05-01","2025-11-13","2.538","28","30404","1158095.33","10527","382655.51","39.4560","36.7183","35.5727","4.00","1.50","2.794","69.85","1.1456","12059.22"
"LOM-0044","Optical Coating Assy 0044","Optical Coating","Critical","3","11","VEN-006","Northlight GmbH","Strategic","4.77","2023-03-13","2025-10-24","2.617","36","6405","691976.39","1220","128326.03","108.7921","104.9778","95.1262","5.00","2.00","1.354","27.08","9.8516","12019.00"
"LOM-0118","Fibre Connector Component 0118","Fibre Connector","Commodity","2","0","VEN-029","Helix Optics Technologies","Transactional","36.48","2023-12-06","2025-12-12","2.018","10","7416","293315.66","4125","161639.83","41.2042","38.4880","35.5910","7.00","2.00","3.323","47.47","2.8970","11950.13"
"LOM-0102","Fibre Connector Component 0102","Fibre Connector","Commodity","2","0","VEN-010","Vectra GmbH","Preferred","5.43","2023-03-14","2025-10-17","2.595","17","10166","245533.36","4035","94243.88","24.7823","23.3566","20.5284","7.00","2.00","2.257","32.24","2.8282","11411.79"
"LOM-0076","Optical Coating Module 0076","Optical Coating","Standard","2","3","VEN-032","Meridian Photonics Technologies","Transactional","28.30","2023-08-21","2025-12-02","2.283","30","5732","421775.51","2132","154072.79","75.6437","72.6260","67.2846","5.00","2.00","1.767","35.34","5.3414","11387.83"
"LOM-0027","Lens Assembly Component 0027","Lens Assembly","Commodity","3","1","VEN-013","Lumitek Industries","Preferred","9.15","2023-02-14","2025-12-31","2.877","33","2633","684612.82","478","126145.13","264.1759","265.5166","242.0112","3.00","1.50","-0.176","-5.87","23.5054","11235.60"
"LOM-0139","Lens Assembly Assy 0139","Lens Assembly","Critical","2","10","VEN-017","Helix Optics Industries","Approved","10.21","2023-04-10","2025-12-30","2.724","39","3209","676343.03","966","201893.77","213.4624","207.9658","196.4661","3.00","1.50","0.953","31.77","11.4997","11108.71"
"LOM-0070","Fibre Connector Component 0070","Fibre Connector","Commodity","3","1","VEN-007","Quantex GmbH","Preferred","10.21","2023-03-01","2025-12-01","2.754","32","19486","306334.30","6655","102166.11","16.8221","15.3193","13.7747","7.00","2.00","3.341","47.73","1.5446","10279.31"
"LOM-0117","Precision Mount Component 0117","Precision Mount","Commodity","2","0","VEN-019","Quantex Industries","Approved","16.00","2023-05-03","2025-12-31","2.664","33","2901","482782.04","649","108826.11","161.5151","168.8391","153.0521","2.00","1.50","-1.679","-83.95","15.7870","10245.73"
"LOM-0018","Optical Fibre Component 0018","Optical Fibre","Commodity","3","1","VEN-004","Spectra GmbH","Strategic","1.51","2023-10-27","2025-08-22","1.821","11","13914","491272.03","7045","244452.42","36.2883","35.1199","33.6886","4.00","1.50","1.782","44.55","1.4313","10083.51"
"LOM-0119","Thermal Control Module 0119","Thermal Control","Standard","2","3","VEN-003","Crystalline GmbH","Strategic","3.69","2023-05-09","2025-12-05","2.576","41","3091","482928.60","1022","154190.83","162.8912","150.5781","140.8023","5.50","2.00","3.005","54.64","9.7758","9990.84"
"LOM-0062","Fibre Connector Module 0062","Fibre Connector","Standard","2","3","VEN-034","Vectra Technologies","Transactional","34.49","2023-02-07","2025-12-05","2.825","52","27905","286535.88","8400","83090.64","10.6486","9.8320","8.6747","7.00","2.00","2.784","39.77","1.1573","9721.16"
